tier,caseId,projection,N,dimension,d,beta,mu,gap,c,alpha,spectralAbscissa,spectralImagAtEdge,numericalAbscissa,frobeniusNorm,henriciRelativeDeparture,eigenvectorCondition,sampledTransientGain,sampledPeakTime,sampledLog10TransientGain,transientGainCensored,timeGridCount,resolventSampleScale,resolventPeak,sampledKreissLowerBound,epsilonRelative,pseudoRightExcursion,pseudospectralAbscissaLowerSample,projectionRankRemoved,qStarCompressionLeakage,finiteDimensionalOnly
broad,B0001,unprojected,18,37,0.0,0.0,1e-06,1e-06,4.0,1.0,0.9085523639145346,9.812940575260152e-17,1581136.497629253,3162276.531990164,0.9999999567686162,2971775.302894972,,,,,,,,,,,,0,3.6055522184547044,True
broad,B0001,qstar-Wxx,18,36,0.0,0.0,1e-06,1e-06,4.0,1.0,-1.2791659434709198e-06,-4.746914563438969e-16,0.1388224442565359,929.9237483849383,0.013139132879867352,2.279630165734275,,,,,,,,,,,,1,1.2000000000011015,True
broad,B0001,span-sin1-sin2,18,35,0.0,0.0,1e-06,1e-06,4.0,1.0,-1.0000000392557656e-06,-8.123365154916572e-15,-1.0000000258969456e-06,929.917626714976,0.012912700276257003,1.6858784287676956,,,,,,,,,,,,2,1.6259597405810153e-06,True
broad,B0002,unprojected,18,37,0.0,0.0,1e-06,1e-06,128.0,0.5,49.29792435578192,-1.1441319127012983e-14,50596420.624134496,101192844.65293224,0.9999999999592691,40992388.031304255,,,,,,,,,,,,0,3.605552218829758,True
broad,B0002,qstar-Wxx,18,36,0.0,0.0,1e-06,1e-06,128.0,0.5,10.442207381277433,-47.833845116721555,28.847070351727577,974.3036357674632,0.35584358947130906,8597.592225497441,,,,,,,,,,,,1,1.200000001127996,True
broad,B0002,span-sin1-sin2,18,35,0.0,0.0,1e-06,1e-06,128.0,0.5,2.1958453094343167,-1.3327588005710326e-15,23.855879480276116,969.6534818276658,0.3559414755879111,5344.842098665472,,,,,,,,,,,,2,5.2030711699521116e-05,True
broad,B0003,unprojected,18,37,0.0,0.0,1e-06,1e-06,4096.0,0.24999999999999997,1617.7586974514252,-9.16050600696129e-13,1619085512.6723464,3238171028.7572455,0.9999999999958943,2897350.015111331,,,,,,,,,,,,0,3.6055526028847065,True
broad,B0003,qstar-Wxx,18,36,0.0,0.0,1e-06,1e-06,4096.0,0.24999999999999997,427.2069919578719,-1543.6643465166014,1037.4654068978552,9353.442679500355,0.2752267063656607,169.8255052943403,,,,,,,,,,,,1,1.2000011550692822,True
broad,B0003,span-sin1-sin2,18,35,0.0,0.0,1e-06,1e-06,4096.0,0.24999999999999997,11.829501484440604,5.941893697703277e-13,911.2952939504399,8844.933928323599,0.23104295932842475,170.3902943245013,,,,,,,,,,,,2,0.0016649827743252439,True
broad,B0004,unprojected,18,37,0.0,0.0,1e-06,1e-06,131072.0,0.12499999999999999,51809.40248701505,-3.9000526721747203e-11,51810736458.21508,103621472920.2276,0.9999999999959085,2533729.6130528366,,,,,,,,,,,,0,3.6059458536788056,True
broad,B0004,qstar-Wxx,18,36,0.0,0.0,1e-06,1e-06,131072.0,0.12499999999999999,13808.747243630532,-49423.16361667298,33323.69555162304,297828.8303895452,0.2644972767613017,5.299775966086845,,,,,,,,,,,,1,1.2011822091823205,True
broad,B0004,span-sin1-sin2,18,35,0.0,0.0,1e-06,1e-06,131072.0,0.12499999999999999,353.70722835322863,60234.588444189285,29318.999290890104,281470.92968458385,0.21398714633700677,61.196878372857434,,,,,,,,,,,,2,0.053279448778407804,True
broad,B0005,unprojected,18,37,0.0,0.0,0.0001,0.0001,4.0,1.0,0.9083781055919685,4.242958611225291e-16,15809.055904890682,31635.18257527095,0.9995679317260968,29733.56149878393,,,,,,,,,,,,0,3.6056455783163956,True
broad,B0005,qstar-Wxx,18,36,0.0,0.0,0.0001,0.0001,4.0,1.0,-0.00012791680933070735,6.050114491238853e-16,0.13868967878899902,929.924195952927,0.013139080067291156,2.279496167831392,,,,,,,,,,,,1,1.2000000110135745,True
broad,B0005,span-sin1-sin2,18,35,0.0,0.0,0.0001,0.0001,4.0,1.0,-9.999999993850413e-05,-4.660581847006245e-15,-0.00010000000009987918,929.9180749320526,0.01291267517606095,1.685954684078454,,,,,,,,,,,,2,0.00016258099162635783,True
