tier,caseId,projection,N,dimension,d,beta,mu,gap,c,alpha,spectralAbscissa,spectralImagAtEdge,numericalAbscissa,frobeniusNorm,henriciRelativeDeparture,eigenvectorCondition,sampledTransientGain,sampledPeakTime,sampledLog10TransientGain,transientGainCensored,timeGridCount,resolventSampleScale,resolventPeak,sampledKreissLowerBound,epsilonRelative,pseudoRightExcursion,pseudospectralAbscissaLowerSample,projectionRankRemoved,qStarCompressionLeakage,finiteDimensionalOnly
target,T01-lowest-gap-c4,unprojected,12,25,0.0,0.0,1e-06,1e-06,4.0,1.0,0.9085523639145142,1.111909544000914e-16,1581136.4976292532,3162276.4144641426,0.9999999939306666,2971775.302225974,1.7976931348623157e+308,8.0,5493130.848449749,True,24,3162276.3952597533,2716.3384427105952,0.0,0.01,316227.63952597533,316228.54807833926,0,3.6055522184547044,True
target,T01-lowest-gap-c4,qstar-Wxx,12,24,0.0,0.0,1e-06,1e-06,4.0,1.0,-1.2791659939622239e-06,-2.3816049435456365e-15,0.13882244425655677,348.50915846094887,0.027253278235355356,2.2796301657284004,1.1287380180288704,1.8,0.052593153149634475,False,24,144.0046750112832,771.018729414421,1.1097270190058166,0.01,0.6684104915204091,0.6684092123544151,1,1.2000000000011015,True
target,T01-lowest-gap-c4,span-sin1-sin2,12,23,0.0,0.0,1e-06,1e-06,4.0,1.0,-1.000000021996738e-06,-5.65080979275062e-16,-1.000000018107225e-06,348.4928237368424,0.026472472353325248,1.6858784227887313,1.0,0.0,0.0,False,24,144.00467501128335,694.42189980287,0.9999999305578104,0.01,0.6684104915204098,0.6684094915203878,2,1.6259597405810153e-06,True
target,T01-lowest-gap-c4,unprojected,18,37,0.0,0.0,1e-06,1e-06,4.0,1.0,0.9085523639145346,9.812940575260152e-17,1581136.497629253,3162276.531990164,0.9999999567686162,2971775.302894972,1.7976931348623157e+308,8.0,5493130.848449748,True,24,3162276.395259754,2716.338442746064,0.0,0.01,316227.6395259754,316228.5480783393,0,3.6055522184547044,True
target,T01-lowest-gap-c4,qstar-Wxx,18,36,0.0,0.0,1e-06,1e-06,4.0,1.0,-1.2791659434709198e-06,-4.746914563438969e-16,0.1388224442565359,929.9237483849383,0.013139132879867352,2.279630165734275,1.1287380180288993,1.8,0.052593153149645536,False,24,324.0020408441385,342.635966102191,1.1097092345782833,0.01,1.5038842548499043,1.503882975683961,1,1.2000000000011015,True
target,T01-lowest-gap-c4,span-sin1-sin2,18,35,0.0,0.0,1e-06,1e-06,4.0,1.0,-1.0000000392557656e-06,-8.123365154916572e-15,-1.0000000258969456e-06,929.917626714976,0.012912700276257003,1.6858784287676956,1.0,0.0,0.0,False,24,324.0020408441381,308.6400312191886,0.999999969135997,0.01,1.5038842548499023,1.503883254849863,2,1.6259597405810153e-06,True
target,T01-lowest-gap-c4,unprojected,24,49,0.0,0.0,1e-06,1e-06,4.0,1.0,0.9085523639144907,-1.2562508783360248e-16,1581136.4976292523,3162276.952791378,0.9999998237025417,2971775.3029072457,1.7976931348623157e+308,8.0,5493130.848449745,True,24,3162276.395259754,2716.338442362222,0.0,0.01,316227.6395259754,316228.5480783393,0,3.6055522184547044,True
target,T01-lowest-gap-c4,qstar-Wxx,24,48,0.0,0.0,1e-06,1e-06,4.0,1.0,-1.2791659635898302e-06,-2.556345190287954e-16,0.13882244425662493,1877.801363547086,0.007695731856096231,2.2796301657337508,1.128738018028888,1.8,0.05259315314964126,False,24,576.0011349992959,192.69589315200741,1.1096840416247498,0.01,2.6735604363610177,2.6735591571950543,1,1.2000000000011015,True
target,T01-lowest-gap-c4,span-sin1-sin2,24,47,0.0,0.0,1e-06,1e-06,4.0,1.0,-1.0000001298413025e-06,6.294330152201398e-16,-1.000000064256221e-06,1877.7983319846182,0.007601135210712129,1.685878428790055,1.0,0.0,0.0,False,24,576.0011349992955,173.61076901762772,0.9999999826389236,0.01,2.6735604363610155,2.6735594363608857,2,1.6259597405810153e-06,True
target,T01-lowest-gap-c4,unprojected,32,65,0.0,0.0,1e-06,1e-06,4.0,1.0,0.9085523639144324,-2.8898681570094643e-17,1581136.4976292558,3162278.6866984665,0.9999992753972342,2971775.3028093837,1.7976931348623157e+308,8.0,5493130.848449758,True,24,3162276.395259753,2716.3384427304254,0.0,0.01,316227.63952597533,316228.54807833926,0,3.6055522184547044,True
