certificateId,s,d,mu,c,gain,bound,sourceCommit,certificateCommit
R073A-XMU-N03-M01-C01-T01,0,0.10000000000000001,0.001,-4,1.1224481183922257,3.7636829338213946,pending,pending
R073A-XMU-N03-M01-C01-T02,0,0.75,0.001,-4,1.5986888682200111,268.56957202641064,pending,pending
R073A-XMU-N03-M01-C01-T03,0.5,2,0.001,-4,1.2944530904634737,35.405503584680886,pending,pending
R073A-XMU-N03-M01-C02-T01,0,0.10000000000000001,0.001,-1,1.0123278565755749,1.3927420411535107,pending,pending
R073A-XMU-N03-M01-C02-T02,0,0.75,0.001,-1,1.0449050903558526,4.0459444074264743,pending,pending
R073A-XMU-N03-M01-C02-T03,0.5,2,0.001,-1,1.0174799561386008,2.4365712341556249,pending,pending
R073A-XMU-N03-M01-C03-T01,0,0.10000000000000001,0.001,0,0.99990000499983311,0.99990000499983334,pending,pending
R073A-XMU-N03-M01-C03-T02,0,0.75,0.001,0,0.99925028117970038,0.99925028117970072,pending,pending
R073A-XMU-N03-M01-C03-T03,0.5,2,0.001,0,0.99850112443771211,0.99850112443771089,pending,pending
R073A-XMU-N03-M01-C04-T01,0,0.10000000000000001,0.001,1,1.0123278565755751,1.3927420411535107,pending,pending
R073A-XMU-N03-M01-C04-T02,0,0.75,0.001,1,1.0449050903558523,4.0459444074264743,pending,pending
R073A-XMU-N03-M01-C04-T03,0.5,2,0.001,1,1.0174799561386008,2.4365712341556249,pending,pending
R073A-XMU-N03-M01-C05-T01,0,0.10000000000000001,0.001,4,1.1224481183922252,3.7636829338213946,pending,pending
R073A-XMU-N03-M01-C05-T02,0,0.75,0.001,4,1.5986888682200109,268.56957202641064,pending,pending
R073A-XMU-N03-M01-C05-T03,0.5,2,0.001,4,1.2944530904634735,35.405503584680886,pending,pending
R073A-XMU-N03-M02-C01-T01,0,0.10000000000000001,0.050000000000000003,-4,1.1099551751507812,3.7452859967506837,pending,pending
R073A-XMU-N03-M02-C01-T02,0,0.75,0.050000000000000003,-4,1.492541975298959,258.87879885318574,pending,pending
R073A-XMU-N03-M02-C01-T03,0.5,2,0.050000000000000003,-4,1.1773276994154118,32.896533140478212,pending,pending
