caseId,family,pathId,N,dimension,start,end,tau,mu,gammaAbs,c,Lambda,p,kappa,sign,norm,muWeightExponentA,laplacianWeightExponentB,gain,logGain,xmuLogBound,kineticLogBound,boundMargin,inputMeanFraction,inputK1Fraction,inputK2Fraction,inputTailFraction,outputMeanFraction,outputK1Fraction,outputK2Fraction,outputTailFraction,rk4Steps,finiteDimensionalOnly
R073B-W0001,power,p0-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,-1.0,-10000.0,0.0,1.0,-1,raw_q,-2.0,0.0,5719724.2838429045,15.559431160068854,0.33137449441925115,443.9564261368266,428.39699497675775,0.9999999999999828,7.868194792255723e-15,9.441810869007742e-15,4.13297524526882e-18,3.060598947489701e-14,0.312964892068184,0.6870351079317853,2.653454391005655e-20,40,True
R073B-W0001,power,p0-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,-1.0,-10000.0,0.0,1.0,-1,xmu,0.0,0.0,1.01244895902165,0.012372107885073204,0.33137449441925115,443.9564261368266,443.94405402894154,0.9139165717666328,0.08260212287664973,0.0034586930401140675,2.2612316603305584e-05,0.9103351040326711,0.0825863188988156,0.007033855371822368,4.47216966907445e-05,40,True
R073B-W0001,power,p0-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,-1.0,-10000.0,0.0,1.0,-1,hminus1,0.0,1.0,1.0111420242628255,0.011080409165977183,0.33137449441925115,443.9564261368266,443.94534572766065,0.9131089856183053,0.08522442858381306,0.0016324143612939785,3.417143658763596e-05,0.9122722344972419,0.08535919233839522,0.00235323331367066,1.53398506921848e-05,40,True
R073B-W0001,power,p0-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,-1.0,-10000.0,0.0,1.0,-1,balanced_l2,1.0,0.0,571.9737988308071,6.349093184090813,0.33137449441925115,443.9564261368266,437.6073329527358,0.9999982685991556,7.868145443370015e-07,9.44173005152376e-07,4.132949204663907e-10,3.060579001250477e-06,0.3129644225082801,0.6870325169127179,7.35805044729657e-16,40,True
R073B-W0001,power,p0-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,-1.0,-10000.0,0.0,1.0,-1,kinetic,1.0,1.0,398.22133346685075,5.987007964948538,0.33137449441925115,443.9564261368266,437.9694181718781,0.9999956480947249,3.3405264565198574e-06,1.0090539632128748e-06,2.324855522194127e-09,6.314016090990307e-06,0.6456532935162805,0.35434039246762494,3.762761131560451e-15,40,True
R073B-W0001,power,p0-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,-1.0,-10000.0,0.0,1.0,-1,kinetic_under,0.5,1.0,4.184698059777671,1.4314345531373587,0.33137449441925115,443.9564261368266,442.52499158368926,0.9625504535580082,0.02903354235888165,0.008395808657023222,2.0195426086839594e-05,0.055043385409971494,0.619549020300906,0.3254072939300224,3.003591002142281e-07,40,True
R073B-W0001,power,p0-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,-1.0,-10000.0,0.0,1.0,-1,kinetic_over,1.5,1.0,39821.920996964276,10.592172818467745,0.33137449441925115,443.9564261368266,433.36425331835886,0.9999999995648023,3.340577571868714e-10,1.0090740863282688e-10,2.3248911108258093e-13,6.314110823927457e-10,0.6456563008431331,0.354343698525456,5.159169482656057e-21,40,True
R073B-W0002,power,p0-k1,10,21,0.0,0.1,0.1,1e-07,0.00031622776601683794,-1.0,-3162.277660168379,0.0,1.0,-1,raw_q,-2.0,0.0,571972.398264161,13.2568460144147,0.3313744854192512,140.3913488363842,127.13450282196949,0.9999999999982686,7.868194745270086e-13,9.441812091495358e-13,4.132975364883638e-16,3.0605992141078796e-12,0.31296486305267873,0.6870351369442605,1.8753420671047343e-18,40,True
R073B-W0002,power,p0-k1,10,21,0.0,0.1,0.1,1e-07,0.00031622776601683794,-1.0,-3162.277660168379,0.0,1.0,-1,xmu,0.0,0.0,1.0124489481233796,0.012372097120806553,0.3313744854192512,140.3913488363842,140.37897673926338,0.9139165832517477,0.08260211149014389,0.0034586929471256975,2.2612310982706237e-05,0.9103351156171293,0.08258630752566556,0.007033855177825227,4.472167937993434e-05,40,True
R073B-W0002,power,p0-k1,10,21,0.0,0.1,0.1,1e-07,0.00031622776601683794,-1.0,-3162.277660168379,0.0,1.0,-1,hminus1,0.0,1.0,1.0111420134024265,0.011080398425251527,0.3313744854192512,140.3913488363842,140.38026843795893,0.9131089969950192,0.08522441731388379,0.0016324142610221082,3.417143007489642e-05,0.9122722467611261,0.08535918020108432,0.0023532331910260705,1.533984676347586e-05,40,True
