kind,N,epsilon,coarseFastStep,fineFastStep,fullLogDifference,topLogDifference,fullNormalizedRateDifference,topNormalizedRateDifference
step-halving,96,0.01,0.5,0.25,1.1113068243417956e-09,1.730997567506165e-10,1.1113068243417956e-09,1.730997567506165e-10
step-halving,96,0.01,0.25,0.125,2.5701663020072374e-12,4.005684672847565e-13,2.5701663020072374e-12,4.005684672847565e-13
step-halving,96,0.001,0.5,0.25,1.4143441973146764e-10,7.065925622384839e-11,1.4143464177607257e-11,7.065931173499962e-12
step-halving,96,0.001,0.25,0.125,8.837819365226096e-12,4.429789868254375e-12,8.837652831772402e-13,4.4297898682543746e-13
step-halving,96,0.0001,0.5,0.25,1.1652900866465643e-11,8.65085780787922e-12,1.1651790643441018e-13,8.651412919391532e-14
step-halving,96,0.0001,0.25,0.125,7.069900220812997e-13,5.613287612504791e-13,7.077671781985373e-15,5.6066262743570405e-15
cutoff-discrepancy-not-tail-bound,48,0.01,24,48,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15
cutoff-discrepancy-not-tail-bound,96,0.01,48,96,6.661338147750939e-16,8.881784197001252e-16,6.661338147750939e-16,8.881784197001252e-16
cutoff-discrepancy-not-tail-bound,48,0.001,24,48,8.881784197001252e-16,0.0,8.326672684688674e-17,0.0
cutoff-discrepancy-not-tail-bound,96,0.001,48,96,0.0,4.440892098500626e-16,0.0,5.551115123125783e-17
cutoff-discrepancy-not-tail-bound,48,0.0001,24,48,2.229989348734307e-08,4.234834705130197e-12,2.2299892488142348e-10,4.232725281383409e-14
cutoff-discrepancy-not-tail-bound,96,0.0001,48,96,0.0,3.552713678800501e-15,0.0,2.7755575615628914e-17
