schemaVersion,evidenceClass,diagnosticOnly,epsilon,absoluteLambda,coarseN,fineN,topEigenvalueRelativeChange,physicalH3ToL2RelativeChange,kz2LeakageRelativeChange,kz0LeakageRelativeChange,maximumRelativeChange,ordinaryCutoffAgreementIsTailBound
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.01,100,24,48,1.4205936957357585e-14,1.135682262929685e-15,4.4232740765622545e-15,9.8104253425002461e-15,1.4205936957357585e-14,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.01,100,48,96,1.266208085590447e-14,9.9372198006347445e-16,6.0615237345482754e-15,9.4099998183165656e-15,1.266208085590447e-14,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.01,100,96,128,9.6831534539844668e-15,5.3944907489159802e-15,1.63824965798603e-16,1.0010638104592082e-15,9.6831534539844668e-15,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.0050000000000000001,200,24,48,6.287967923287087e-15,9.6744468908755368e-15,1.2947036922383755e-15,7.9878669223881659e-15,9.6744468908755368e-15,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.0050000000000000001,200,48,96,1.3050620680970841e-14,1.4852319874724338e-14,3.2367592305959388e-16,6.144513017221678e-15,1.4852319874724338e-14,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.0050000000000000001,200,96,128,1.1118647245967108e-14,9.6744468908753932e-15,1.4565416537681731e-15,2.0481710057405591e-15,1.1118647245967108e-14,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.002,500,24,48,4.3178149629085173e-15,6.5183015119028269e-16,8.0212869259654358e-16,2.9106243587899094e-15,4.3178149629085173e-15,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.002,500,48,96,1.6701917924409343e-15,2.1119296898565172e-14,5.7753265866950804e-15,8.7318730763696778e-15,2.1119296898565172e-14,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.002,500,96,128,1.0054406582441342e-15,6.3879354816648691e-15,4.1710692015020025e-15,5.1975434978390936e-15,6.3879354816648691e-15,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.001,1000,24,48,6.4575003052154999e-15,4.5402206105148648e-13,3.5175890835659276e-15,5.8513938770979581e-15,4.5402206105148648e-13,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.001,1000,48,96,2.5738472271713683e-15,1.268218047629849e-15,3.1978082577872182e-16,1.2538701165209984e-15,2.5738472271713683e-15,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.001,1000,96,128,5.2446473716403528e-15,3.6778323381264264e-14,1.1352219315144499e-14,2.7167185857954924e-15,3.6778323381264264e-14,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.00050000000000000001,2000,24,48,6.0313168444917678e-15,4.1328028568542824e-10,8.8388301498925181e-13,1.1111024485792775e-12,4.1328028568542824e-10,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.00050000000000000001,2000,48,96,2.4108805686602575e-14,1.3404365222747235e-14,2.0748427581925614e-15,2.3047571062390407e-15,2.4108805686602575e-14,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.00050000000000000001,2000,96,128,8.3551202390606086e-15,4.964579712128581e-15,2.553652625467768e-15,8.3809349317783429e-16,8.3551202390606086e-15,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.00020000000000000001,5000,24,48,5.2708656351316262e-14,8.9901295193127248e-08,4.907789728169968e-11,6.3114960181912587e-11,8.9901295193127248e-08,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.00020000000000000001,5000,48,96,1.1551541370140162e-14,3.166477571255524e-15,7.9711249194583566e-16,6.2955472987660685e-16,1.1551541370140162e-14,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.00020000000000000001,5000,96,128,1.0144180452428795e-14,5.5900507892549443e-14,1.5942249838916699e-15,0,5.5900507892549443e-14,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.0001,10000,24,48,2.7697017275713151e-13,7.9160166262050972e-07,1.9955722844033239e-10,2.8303310544051884e-10,7.9160166262050972e-07,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.0001,10000,48,96,1.9076688486755862e-16,3.7443304965532969e-15,4.7808139142915841e-16,1.2597660381607784e-15,3.7443304965532969e-15,false
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,0.0001,10000,96,128,8.943008251850198e-15,5.7493590850302442e-14,3.1872092761943898e-16,2.3095710699614243e-15,5.7493590850302442e-14,false
