schemaVersion,evidenceClass,diagnosticOnly,smokeMode,kind,windowId,leftLabel,rightLabel,absoluteDifference,tolerance,passCheck,diagnosticInterpretation
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-quadrature,explicit-pilot,"q=32,N=24","q=64,N=24",3.3881317890172014e-21,9.9999999999999998e-13,true,finite quadrature agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-quadrature,explicit-pilot,"q=32,N=48","q=64,N=48",6.7762635780344027e-21,9.9999999999999998e-13,true,finite quadrature agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-quadrature,explicit-pilot,"q=32,N=96","q=64,N=96",1.6940658945086007e-20,9.9999999999999998e-13,true,finite quadrature agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-cutoff,explicit-pilot,N=24,N=48,1.3715157481941631e-17,9.9999999999999998e-13,true,ordinary finite cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,wkb-cutoff,explicit-pilot,N=24,N=48,3.3493227722530827e-14,1e-10,true,ordinary finite WKB cutoff agreement; not an asymptotic proof
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-cutoff,explicit-pilot,N=48,N=96,1.3552527156068805e-20,9.9999999999999998e-13,true,ordinary finite cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,wkb-cutoff,explicit-pilot,N=48,N=96,2.9815559743351372e-19,1e-10,true,ordinary finite WKB cutoff agreement; not an asymptotic proof
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-cutoff,explicit-pilot,N=24,N=48,1.3258283360073619e-12,9.9999999999999995e-08,true,ordinary finite selected-gain cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-cutoff,explicit-pilot,N=48,N=96,0,9.9999999999999995e-08,true,ordinary finite selected-gain cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-step,explicit-pilot,h=0.5,h=0.25,8.2778228716051672e-13,1e-08,true,finite fast-step agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-step,explicit-pilot,h=0.25,h=0.125,5.440092820663267e-14,1e-08,true,finite fast-step agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,independent-integrator,explicit-pilot,"RK4,N=24,h=0.05","CF4,N=24,h=0.25",7.4306560904346952e-11,9.9999999999999995e-07,true,independent time integrator on the same finite kinetic generator
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-quadrature,analytic-upper-bound,"q=32,N=24","q=64,N=24",2.7105054312137611e-20,9.9999999999999998e-13,true,finite quadrature agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-quadrature,analytic-upper-bound,"q=32,N=48","q=64,N=48",0,9.9999999999999998e-13,true,finite quadrature agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-quadrature,analytic-upper-bound,"q=32,N=96","q=64,N=96",1.3552527156068805e-19,9.9999999999999998e-13,true,finite quadrature agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-cutoff,analytic-upper-bound,N=24,N=48,1.0985678512709374e-16,9.9999999999999998e-13,true,ordinary finite cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,wkb-cutoff,analytic-upper-bound,N=24,N=48,3.3144277253316368e-13,1e-10,true,ordinary finite WKB cutoff agreement; not an asymptotic proof
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-cutoff,analytic-upper-bound,N=48,N=96,2.7105054312137611e-20,9.9999999999999998e-13,true,ordinary finite cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,wkb-cutoff,analytic-upper-bound,N=48,N=96,3.0357660829594124e-18,1e-10,true,ordinary finite WKB cutoff agreement; not an asymptotic proof
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-cutoff,analytic-upper-bound,N=24,N=48,1.0887291068684135e-11,9.9999999999999995e-08,true,ordinary finite selected-gain cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-cutoff,analytic-upper-bound,N=48,N=96,5.3290705182007514e-15,9.9999999999999995e-08,true,ordinary finite selected-gain cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-step,analytic-upper-bound,h=0.5,h=0.25,8.2245321664231597e-13,1e-08,true,finite fast-step agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-step,analytic-upper-bound,h=0.25,h=0.125,6.7501559897209518e-14,1e-08,true,finite fast-step agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,independent-integrator,analytic-upper-bound,"RK4,N=24,h=0.05","CF4,N=24,h=0.25",6.1260507777660678e-10,9.9999999999999995e-07,true,independent time integrator on the same finite kinetic generator
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-quadrature,one-over-450,"q=32,N=24","q=64,N=24",5.4210108624275222e-20,9.9999999999999998e-13,true,finite quadrature agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-quadrature,one-over-450,"q=32,N=48","q=64,N=48",1.6263032587282567e-19,9.9999999999999998e-13,true,finite quadrature agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-quadrature,one-over-450,"q=32,N=96","q=64,N=96",0,9.9999999999999998e-13,true,finite quadrature agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-cutoff,one-over-450,N=24,N=48,2.7430314963883262e-16,9.9999999999999998e-13,true,ordinary finite cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,wkb-cutoff,one-over-450,N=24,N=48,1.1509343825211182e-12,1e-10,true,ordinary finite WKB cutoff agreement; not an asymptotic proof
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,action-cutoff,one-over-450,N=48,N=96,1.6263032587282567e-19,9.9999999999999998e-13,true,ordinary finite cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,wkb-cutoff,one-over-450,N=48,N=96,1.214306433183765e-17,1e-10,true,ordinary finite WKB cutoff agreement; not an asymptotic proof
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-cutoff,one-over-450,N=24,N=48,2.7711166694643907e-11,9.9999999999999995e-08,true,ordinary finite selected-gain cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-cutoff,one-over-450,N=48,N=96,1.4210854715202004e-14,9.9999999999999995e-08,true,ordinary finite selected-gain cutoff agreement; not a tail enclosure
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-step,one-over-450,h=0.5,h=0.25,8.3844042819691822e-13,1e-08,true,finite fast-step agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,selected-gain-step,one-over-450,h=0.25,h=0.125,3.5527136788005009e-14,1e-08,true,finite fast-step agreement only
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,independent-integrator,one-over-450,"RK4,N=24,h=0.05","CF4,N=24,h=0.25",1.6356551668650354e-09,9.9999999999999995e-07,true,independent time integrator on the same finite kinetic generator
