N,sigma,parityNormalizedSigma,absoluteSigma,oneMinusAbsoluteSigma,absoluteSharpOverLAlpha,inverseAbsoluteSharpOverLAlpha,sigmaRelativePrecisionDifference
2,0.07237096406407005,0.07237096406407005,0.07237096406407005,0.9276290359359299,0.11143050925624995,8.974202906139116,2.2861623435512483e-44
3,0.030685105697926807,-0.030685105697926807,0.030685105697926807,0.9693148943020732,0.045169292065769154,22.13893453419507,8.491606424304241e-44
4,0.03955067805911164,0.03955067805911164,0.03955067805911164,0.9604493219408884,0.05846780373043495,17.103430199131253,3.5340722234814365e-44
5,0.01285700777506274,-0.01285700777506274,0.01285700777506274,0.9871429922249373,0.01853905963196675,53.94016847951166,1.4203824326022751e-43
6,0.030638210022513306,0.030638210022513306,0.030638210022513306,0.9693617899774867,0.04479676325837899,22.323041382079218,6.776387212658216e-45
7,0.003985831005851008,-0.003985831005851008,0.003985831005851008,0.996014168994149,0.005698668369584815,175.47959192313144,3.2483558293942386e-44
8,0.028024022539333237,0.028024022539333237,0.028024022539333237,0.9719759774606668,0.040828987360850326,24.492402693260757,6.602080168238431e-44
9,-0.002868057962099536,0.002868057962099536,0.002868057962099536,0.9971319420379005,0.004089982043439851,244.4998509477457,1.6561155675017358e-43
10,0.028672105147921303,0.028672105147921303,0.028672105147921303,0.9713278948520787,0.04177992965768863,23.934937377664376,9.153120963660475e-44
11,-0.009732877900070677,0.009732877900070677,0.009732877900070677,0.9902671220999293,0.013925860333657952,71.80884886394136,3.51006544225969e-44
12,0.0319307878148584,0.0319307878148584,0.0319307878148584,0.9680692121851416,0.04667026393450564,21.42691974922924,1.39873622277924e-43
13,-0.017741166502006876,0.017741166502006876,0.017741166502006876,0.9822588334979931,0.025562916562306588,39.11916692145117,1.055331892078712e-43
14,0.03795731134751083,0.03795731134751083,0.03795731134751083,0.9620426886524892,0.05581512649329728,17.9162901318532,3.0669914899529126e-44
15,-0.027923776036583393,0.027923776036583393,0.027923776036583393,0.9720762239634166,0.04063968916860462,24.606487413110678,4.102776204493947e-45
16,0.04738308053816714,0.04738308053816714,0.04738308053816714,0.9526169194618329,0.07035616612894671,14.213395286025527,3.3806611577630646e-44
17,-0.04145131818573836,0.04145131818573836,0.04145131818573836,0.9585486818142617,0.061167770461571694,16.34847882232759,4.566960878116779e-44
18,0.06125167385707377,0.06125167385707377,0.06125167385707377,0.9387483261429262,0.09228542097505929,10.835947752465216,1.5557066715419395e-44
19,-0.059771491418267216,0.059771491418267216,0.059771491418267216,0.9402285085817328,0.08991269498058353,11.121899974369004,6.276228327597491e-44
20,0.08102644916595289,0.08102644916595289,0.08102644916595289,0.9189735508340471,0.12470051807781284,8.01921287428816,3.4335524468317396e-44
21,-0.08468227062464243,0.08468227062464243,0.08468227062464243,0.9153177293753576,0.13084618017849015,7.64256166007963,5.764880670041962e-44
22,0.10858072114748248,0.10858072114748248,0.10858072114748248,0.8914192788525175,0.17226746950229108,5.804926506955513,3.204982802319328e-43
23,-0.11831132497278492,0.11831132497278492,0.11831132497278492,0.881688675027215,0.1897757134355626,5.269378161708479,1.3995544611922757e-43
24,0.14608641882011061,0.14608641882011061,0.14608641882011061,0.8539135811798894,0.24194765098477738,4.1331254754067315,2.5539717413152984e-43
25,-0.16292673662671384,0.16292673662671384,0.16292673662671384,0.8370732633732861,0.27526587471327424,3.6328513334303865,2.6768394691843385e-43
26,0.19569800931404785,0.19569800931404785,0.19569800931404785,0.8043019906859522,0.3441030592005966,2.9061061018264445,2.1097289836545693e-43
27,-0.2204830113422489,0.2204830113422489,0.2204830113422489,0.7795169886577511,0.4000087976129064,2.499945016128652,2.135749139287869e-43
28,0.25894232773124026,0.25894232773124026,0.25894232773124026,0.7410576722687597,0.49416251222074525,2.023625781539038,7.113935606940299e-44
29,-0.2918611885064555,0.2918611885064555,0.2918611885064555,0.7081388114935445,0.582875652800443,1.7156317907524032,1.5725050701632977e-43
30,0.33584382953457786,0.33584382953457786,0.33584382953457786,0.6641561704654221,0.7151290465160391,1.3983490180853277,2.366506379315711e-44
31,-0.3759557819398867,0.3759557819398867,0.3759557819398867,0.6240442180601133,0.8519972183651208,1.1737127521600113,9.418659564304962e-44
32,0.42407804554832434,0.42407804554832434,0.42407804554832434,0.5759219544516757,1.041354299855087,0.9602879636058141,6.79172852941418e-44
33,-0.4690612481161051,0.4690612481161051,0.4690612481161051,0.5309387518838949,1.2493991163820135,0.8003847504677138,1.7263214284418716e-45
34,0.5187189751394915,0.5187189751394915,0.5187189751394915,0.48128102486050856,1.5242254771194395,0.6560709127430753,2.8047391462204644e-44
35,-0.5651514786672412,0.5651514786672412,0.5651514786672412,0.4348485213327587,1.8379873248774328,0.5440733929254303,5.028784901123968e-44
36,0.6130694833187623,0.6130694833187623,0.6130694833187623,0.3869305166812377,2.24074384503435,0.4462803734644065,2.102994345320958e-44
37,-0.6572684626650793,0.6572684626650793,0.6572684626650793,0.3427315373349207,2.7120900976286912,0.3687193138879668,5.530335918433964e-44
38,0.7004223663583379,0.7004223663583379,0.7004223663583379,0.2995776336416621,3.306480157038453,0.3024364134989032,5.471333494063553e-44
39,-0.7394402611258966,0.7394402611258966,0.7394402611258966,0.2605597388741035,4.013386799049014,0.2491661158194255,3.748099033415036e-44
40,0.7758551776772572,0.7758551776772572,0.7758551776772572,0.2241448223227428,4.895162733113565,0.20428330058068378,1.848199748352366e-44
41,-0.8080917211776528,0.8080917211776528,0.8080917211776528,0.19190827882234723,5.955004435581662,0.16792598743082612,5.49587557731207e-44
42,0.8371198017818421,0.8371198017818421,0.8371198017818421,0.16288019821815788,7.268326641861494,0.13758324980065695,2.681812191546975e-44
43,-0.8623264184796982,0.8623264184796982,0.8623264184796982,0.13767358152030185,8.858010014073578,0.11289217311915466,3.103321797132101e-44
44,0.8844072726663209,0.8844072726663209,0.8844072726663209,0.11559272733367913,10.820239187803073,0.09241939874372025,3.7272513771130575e-44
45,-0.9032748171859143,0.9032748171859143,0.9032748171859143,0.09672518281408565,13.206732916488672,0.07571895383388082,5.151513413154106e-44
46,0.9194650815202396,0.9194650815202396,0.9194650815202396,0.08053491847976038,16.14604123752224,0.061934686359903,2.1415366769629416e-44
47,-0.9331243983308578,0.9331243983308578,0.9331243983308578,0.06687560166914223,19.732716373260693,0.050677260093550766,2.9255346229128036e-44
48,0.9446695599258654,0.9446695599258654,0.9446695599258654,0.0553304400741346,24.14520075274859,0.04141609797492216,2.5857744582281695e-44
49,-0.9543160221058642,0.9543160221058642,0.9543160221058642,0.045683977894135835,29.542233111212372,0.03384984460164127,3.069511153811745e-44
50,0.962380867588924,0.962380867588924,0.962380867588924,0.03761913241107592,36.17872177817688,0.0276405564058154,4.57387771358032e-44
51,-0.9690708923216605,0.9690708923216605,0.9690708923216605,0.030929107678339413,44.31014475156108,0.022568195288162972,2.2682769230445437e-44
52,0.974620403989209,0.974620403989209,0.974620403989209,0.025379596010790987,54.308249194550605,0.018413408917265225,4.72650484115479e-44
53,-0.9791994032029656,0.9791994032029656,0.9791994032029656,0.020800596797034377,66.57487351631177,0.015020681935730393,1.0700399697312355e-44
54,0.9829765105805309,0.9829765105805309,0.9829765105805309,0.01702348941946902,81.6600344296548,0.012245892461157848,1.416507949864297e-44
55,-0.9860808219919567,0.9860808219919567,0.9860808219919567,0.013919178008043286,100.18758913053148,0.009981276210740327,3.0589107847407755e-45
56,0.9886311405018956,0.9886311405018956,0.9886311405018956,0.011368859498104416,122.97940521876325,0.008131442807201248,1.0557520307146066e-44
57,-0.9907210520257417,0.9907210520257417,0.9907210520257417,0.00927894797425834,150.99676834592594,0.006622658292322195,3.7823679228396713e-44
58,0.992432921785331,0.992432921785331,0.992432921785331,0.007567078214668935,185.47609333055894,0.005391530423372577,3.163862988254692e-44
59,-0.993832648119543,0.993832648119543,0.993832648119543,0.006167351880456985,227.89223686418734,0.004388038898384903,2.1258248884667743e-44
60,0.9949766529965326,0.9949766529965326,0.9949766529965326,0.005023347003467457,280.11393211739886,0.003569975946719026,1.5295480533651626e-44
61,-0.9959104651188474,0.9959104651188474,0.9959104651188474,0.004089534881152609,344.3986006352219,0.0029036122625224433,4.332442333150017e-45
62,0.9966723924879872,0.9966723924879872,0.9966723924879872,0.0033276075120127653,423.57988809544867,0.0023608297468898287,3.627583273156541e-44
63,-0.9972934904741353,0.9972934904741353,0.9972934904741353,0.002706509525864726,521.1088188209709,0.0019189849871712767,4.106550445313409e-44
64,0.9977995965223649,0.9977995965223649,0.9977995965223649,0.0022004034776350466,641.2922621018789,0.0015593514207117238,7.211228758227937e-45
65,-0.9982117068487428,0.9982117068487428,0.9982117068487428,0.0017882931512572054,789.403311393652,0.0012667795860072466,1.1761658448661124e-44
66,0.9985471607279188,0.9985471607279188,0.9985471607279188,0.001452839272081207,971.999425958933,0.001028807191952241,1.0469799943547299e-44
67,-0.9988200643738788,0.9988200643738788,0.9988200643738788,0.001179935626121126,1197.1372429193925,0.000835326113120794,4.4558170121625545e-44
68,0.9990420090938777,0.9990420090938777,0.9990420090938777,0.0009579909061222299,1474.8143748513678,0.0006780514328122007,1.4400216453041708e-44
69,-0.9992224285225875,0.9992224285225875,0.9992224285225875,0.0007775714774125157,1817.342780481388,0.0005502539260838367,1.0485390118451514e-44
70,0.9993690478288716,0.9993690478288716,0.9993690478288716,0.0006309521711284076,2239.9816124785507,0.00044643223606353403,3.2778444809178934e-44
71,-0.9994881539309344,0.9994881539309344,0.9994881539309344,0.0005118460690656197,2761.5523269256573,0.0003621151735021679,2.26855348896905e-44
72,0.9995848826491024,0.9995848826491024,0.9995848826491024,0.0004151173508976266,3405.365964571991,0.0002936541947043529,4.983741546739842e-44
73,-0.9996634124752763,0.9996634124752763,0.9996634124752763,0.00033658752472359813,4200.2078273706675,0.00023808345708121794,9.275428431186002e-45
74,0.9997271507790457,0.9997271507790457,0.9997271507790457,0.0002728492209543239,5181.717911907151,0.0001929861904875378,1.1142863102707429e-44
75,-0.9997788686669095,0.9997788686669095,0.9997788686669095,0.0002211313330905676,6393.941626506338,0.00015639804965601506,8.232227564363842e-45
