degree,exact,decimal
2,8,8
3,27/4,6.75
4,182/27,6.74074074074074
5,5375/864,6.221064814814815
6,108583/18000,6.032388888888889
7,619801/108000,5.738898148148148
8,12921017/2315250,5.580830147932189
9,59153379/10976000,5.389338465743441
10,4214095003/800150400,5.266628627568017
11,41052569393/8001504000,5.130606620080425
12,4468050481313/887500152000,5.034422215302336
13,52528030942829/10650001824000,4.932208633472343
14,8114447626291421/1671289571952000,4.855201493786661
15,7448768433435029/1559870267155200,4.775248679506954
16,689115515839721/146237837545800,4.712292847081372
17,174000715535888089/37436886411724800,4.647841533140777
18,46956828995822807177/10218190163377996800,4.595415454697264
19,167088054190222876351/36785484588160788480,4.54222789398836
20,1418582343360065578279831/315389548487743560230400,4.497873661831865
21,1337596839975301534059391/300370998559755771648000,4.453149093584014
22,180841579412952388502713/40959681621784877952000,4.415111940635049
23,3944099698238163870469199/901112995679267314944000,4.37692022770692
24,1984418059820076569814838871/456826742434568559205152000,4.343918329396632
25,54015819690302642118668845/12530104935348166195341312,4.310883266262266
26,225705446871110607240503235643/52710777973219449139056000000,4.281960076282385
27,23986631633189929403582651827/5639836326352698261792000000,4.253072295929937
28,5586787238213407155334245636161/1321534504900001903414904000000,4.227500089856639
29,155486516177729355961494772228069/37002966137200053295617312000000,4.202001417973212
30,17959992404043777879826736698402267/4297454005334152856318145820800000,4.179216899529628
31,3751120751932804366413843973542833299/902465341120172099826810622368000000,4.156526108001865
32,1737501742186455777196004134747645771307/420083515270485109780320550796329500000,4.136086466205906
33,26825056899647809251028152131461503790187/6517659388439041703258306727506688000000,4.115750041683649
34,25919385097164463296432651839422529165387/6325963524073187535515415353168256000000,4.097302331657358
35,175462833944957113232580792448558271749229/43016551963697675241504824401544140800000,4.078960910047669
36,169888746463057756073049014074139091622109/41821647742483850929240801501501248000000,4.062220300576034
37,6090949440727440311211522961872901532160833/1505579318729418633452668854054044928000000,4.045585220888718
38,8088438103485691799279488906933327701893750777/2006897611357927422112579880642093098368000000,4.030319263777892
39,7851391104525212112100395807364269643951293977/1955438698246185693340462447805116352256000000,4.015155837698748
40,7628447128889062594498653987309045042639123617/1906552730790031051006950886609988443449600000,4.001172905261326
41,304079012147218390429118335139564380796377112257/76262109231601242040278035464399537737984000000,3.987288251151794
42,497377145639921539653716657535655070261926363407217/125144305484552123872809582910520965248561792000000,3.974428910001966
43,20822741483824422310657380795785528375469807670261531/5256060830351189202658002482241880540439595264000000,3.961662955569928
44,37513488941080582057585333272710968019038007279272999219/9497582464516636362175677348991027184743884105792000000,3.949793442829534
45,36570448764192988421111674481761008764782463382125493379/9286525076416266665238440074569004358416242236774400000,3.938012169596787
46,35675573583038761537802847791183676663506199288346275619/9084644096494173911646300072947939046276758709888000000,3.927019397139202
47,1636517291157466605588194235903035380606309856808522090893/417893628438731999935729803355605196128730900654848000000,3.916109698230058
48,3530521943763209826534968630077642156972420006804898606110037/903895212195718175610984903620604130784858922889339248000000,3.905897382935529
49,492785298738006247776926104808339883562258504829433869003891/126492624447214205333315671643699703433449645185680128000000,3.895763099955659
50,1156682147678403675769479891129055661451110276799173869805464307/297634615471806080865185109064192528184838346129001627581440000,3.88624873435789
51,1131247186093075556232709980260422668067940425939593376029092627/291798642619417726338416773592345615867488574636276105472000000,3.876807568185023
