degree,exact,decimal
2,8,8.0
3,27/4,6.75
4,182/27,6.74074074074074074
5,5375/864,6.22106481481481481
6,108583/18000,6.03238888888888889
7,619801/108000,5.73889814814814815
8,12921017/2315250,5.58083014793218875
9,59153379/10976000,5.38933846574344023
10,4214095003/800150400,5.26662862756801721
11,41052569393/8001504000,5.13060662008042488
12,4468050481313/887500152000,5.03442221530233608
13,52528030942829/10650001824000,4.93220863347234296
14,8114447626291421/1671289571952000,4.85520149378666181
15,7448768433435029/1559870267155200,4.77524867950695441
16,689115515839721/146237837545800,4.71229284708137173
17,174000715535888089/37436886411724800,4.64784153314077627
18,46956828995822807177/10218190163377996800,4.59541545469726397
19,167088054190222876351/36785484588160788480,4.54222789398836065
20,1418582343360065578279831/315389548487743560230400,4.49787366183186472
21,1337596839975301534059391/300370998559755771648000,4.45314909358401382
22,180841579412952388502713/40959681621784877952000,4.41511194063504912
23,3944099698238163870469199/901112995679267314944000,4.3769202277069204
24,1984418059820076569814838871/456826742434568559205152000,4.34391832939663204
25,54015819690302642118668845/12530104935348166195341312,4.31088326626226601
26,225705446871110607240503235643/52710777973219449139056000000,4.28196007628238492
27,23986631633189929403582651827/5639836326352698261792000000,4.25307229592993657
28,5586787238213407155334245636161/1321534504900001903414904000000,4.22750008985663913
29,155486516177729355961494772228069/37002966137200053295617312000000,4.20200141797321159
30,17959992404043777879826736698402267/4297454005334152856318145820800000,4.17921689952962757
31,3751120751932804366413843973542833299/902465341120172099826810622368000000,4.15652610800186497
32,1737501742186455777196004134747645771307/420083515270485109780320550796329500000,4.13608646620590664
33,26825056899647809251028152131461503790187/6517659388439041703258306727506688000000,4.11575004168364856
34,25919385097164463296432651839422529165387/6325963524073187535515415353168256000000,4.09730233165735716
35,175462833944957113232580792448558271749229/43016551963697675241504824401544140800000,4.07896091004766902
36,169888746463057756073049014074139091622109/41821647742483850929240801501501248000000,4.06222030057603384
37,6090949440727440311211522961872901532160833/1505579318729418633452668854054044928000000,4.04558522088871778
38,8088438103485691799279488906933327701893750777/2006897611357927422112579880642093098368000000,4.03031926377789186
39,7851391104525212112100395807364269643951293977/1955438698246185693340462447805116352256000000,4.01515583769874753
40,7628447128889062594498653987309045042639123617/1906552730790031051006950886609988443449600000,4.00117290526132564
41,304079012147218390429118335139564380796377112257/76262109231601242040278035464399537737984000000,3.98728825115179386
42,497377145639921539653716657535655070261926363407217/125144305484552123872809582910520965248561792000000,3.97442891000196589
43,20822741483824422310657380795785528375469807670261531/5256060830351189202658002482241880540439595264000000,3.96166295556992803
44,37513488941080582057585333272710968019038007279272999219/9497582464516636362175677348991027184743884105792000000,3.94979344282953468
45,36570448764192988421111674481761008764782463382125493379/9286525076416266665238440074569004358416242236774400000,3.93801216959678678
46,35675573583038761537802847791183676663506199288346275619/9084644096494173911646300072947939046276758709888000000,3.92701939713920203
47,1636517291157466605588194235903035380606309856808522090893/417893628438731999935729803355605196128730900654848000000,3.91610969823005764
48,3530521943763209826534968630077642156972420006804898606110037/903895212195718175610984903620604130784858922889339248000000,3.9058973829355285
49,492785298738006247776926104808339883562258504829433869003891/126492624447214205333315671643699703433449645185680128000000,3.89576309995565946
50,1156682147678403675769479891129055661451110276799173869805464307/297634615471806080865185109064192528184838346129001627581440000,3.8862487343578901
51,1131247186093075556232709980260422668067940425939593376029092627/291798642619417726338416773592345615867488574636276105472000000,3.87680756818502338
52,85149917865696274342544995405253562083170973257073316330637679/22014394635488615448608366055043826049174433885281185472000000,3.86792002576483062
53,4417700280700912003556022299643462391784275631375479498666081387/1144748521045408003327635034862278954557070562034621644544000000,3.85910110341664982
54,12153252029087299659772697274829151700159004166246066812209039400883/3156050473475503839100154094170213035510981371556080862495872000000,3.85077872842252215
55,11906694825867583006365718874230849991479842618460021607301247126163/3098667737594131042025605837912572798501690801164152119541401600000,3.842520668289587
56,11670304006439082981612107717207804152845746200421399411360689938683/3043334385137092987703720019378419712814160608286220831692448000000,3.83470973923667976
57,880183681678493545798564283983766161022280521921404605830930868191/229995581062992182606488962328193662506873136388702249088768000000,3.82695909899862398
58,11223518370203589252045830769691124317967036154470457725010786156083/2938391820132365643300143466986060412372293001103937354737536000000,3.81961258308226701
59,649721658280528876174321668863489129142914968151580068081984125416097/170426725567677207311408321085191503917592994064028366574777088000000,3.81232260442932425
60,2219947481344645436714454427023998288921298618420781376913248157497324617/583367841172732952673495492935925764718188858797934698312685725939200000,3.80539914041529692
61,132956370155017101561526855216349168906426891008161176863871483626289376277/35002070470363977160409729576155545883091331527876081898761143556352000000,3.79852872611037069
62,485913470273700633950360660668151065575117743445802172056408177556631504869917/128142015442478804836241303692344547743386347121432918475204889122005376000000,3.79199178814087354
63,477382479512037263825700905143859473091227398965566047208282714579965500720317/126108015197360093648364457601989872382380214627441919769249255961338624000000,3.78550466253021038
64,234577930585211146420615028748662895776930840746787713425171743964278986410821/62068788729950671092554381475979390313202761886944069886427368168471354000000,3.77932186828736872
65,47963561464170206341496795310036540015401960725612496167759589138807603352266753/12711687931893897439755137326280579136143925634446145512740325000902933299200000,3.77318588382181746
66,47163510722920519211129211488922135232783994775706664296977404971283677583056193/12519086599592474751273998881942994603778108579378779671638198864525616128000000,3.76732841870874195
67,3107988297127734260010658162673908716633647646785426428055703531122084815555550531/826259715573103333584083926208237643849355166238999458328121125058690664448000000,3.76151497955094844
68,13726275123412809786683185335765705997906399546540992491796022542329644800094130894459/3654534571101665851746321086737767330545053056816767560075598440235690886931968000000,3.75595711474553108
69,13507475826098856986685016616935281112750092643904258077786294399029976554805159408859/3601570301955264897373185998524176499667588519761452088190444839652564932048896000000,3.75044069492847382
70,13295762594341245638158355072442686979050631973085096392069677164746886273758253749019/3550119297641618255982140484259545406815194398050574201216295627657528290162483200000,3.74515938187591644
71,929400635829653104777785308594249865205177644877128753905661168036021779094973325075389/248508350834913277918749833898168178477063607863540194085140693936026980311373824000000,3.73991712031868001
72,4613829527608067360925948045651299793594111190444360554767396028864671788536149865005520349/1235331560495481197405245441671212096207004346583993533405649873713018785419779398912000000,3.73489164784027599
73,331752016884750334435687161042462408505392497569647308578407753498586996644127239882959457877/88943872355674646213177671800327270926904312954047534405206790907337352550224116721664000000,3.7299030062253013
74,1741776973343552679293974322469801286369886888055599602558034123278806117427201354052199054535333/467576735029560592512320788523620458840155879897901482320409867275671011851763989387994112000000,3.72511470921117596
75,1716360276619783631549258974599684640146805145153492679421075059788843912340443532526541028010597/461342378562499784612156511343305519388953801499262795889471069045328731693740469529487523840000,3.72036118157582581
76,338339382163519637200426998534786528574543516267688061182115125676948401073474723903075957169793/91054416821546010120820364080915563037293513453801867609764026785262249676396145301872537600000,3.71579319240073502
77,333537783060282953225635053547642218659778205206369305737975267097553224173789480869558370159073/89871891927759698301069450261682893387458532759596648549896961502336765914365026531718348800000,3.71125805750684936
78,29897688798789053150006147310895048971962740909367984341835046298665744257285187032687247644803/8065426198645101129583155792715131457848842683553545382683060647645607197443015201564467200000,3.70689509300965659
79,2329294519798926309349814782427145612236040522068601033219450800806847205337180142294562670467757/629103243494317888107486151831780253712209729317176539849278730516357361400555185722028441600000,3.70256320228297263
80,14339238207848533220848538295930221139914552005699641050295876155095456596844521301517680423561034869/3877155425864937465432835810162363806375177159160142550384356700188178963844604102665039760225280000,3.69839138049247947
