degree,exact,decimal
297,1785040/264627,6.745494601835792
298,327160960/48553587,6.73814192141973
299,1316013520/195519987,6.730838827234578
300,367612/54675,6.723584819387288
301,1330812880/198144387,6.716379404681295
302,334560640/49865787,6.709222096504764
303,149521360/22309587,6.702112414721079
304,21143155/3158028,6.695049885561496
305,54426064/8137827,6.688034041519929
306,4222720/632043,6.68106442124982
307,1375690960/206122563,6.674140569463034
308,86452540/12966723,6.667262036830739
309,154534480/23201883,6.660428379886236
310,13984000/2101707,6.653639160929663
311,1406009680/211528827,6.646893947934577
312,2454235/369603,6.640192314456322
313,1421289040/214258203,6.63353383954219
314,357239680/53907363,6.626918107643291
315,709456/107163,6.62034470852813
316,90272380/13649067,6.613813237197824
317,1452087760/219769443,6.607323293802952
318,40551040/6143283,6.600874483561965
319,1467607120/222551307,6.594466416681166
320,922123/139968,6.588098708276178
321,164800720/25038963,6.581770978294908
322,372759040/56689227,6.575482851441951
323,1498885840/228167523,6.569233957104403
324,43060/6561,6.563023929279074
325,60585808/9240075,6.556852406501029
326,380638720/58106403,6.550719031773486
327,170053840/25983747,6.544623452498979
328,24038035/3676347,6.538565320411811
329,1546403920/236723067,6.532544291511735
330,1727104/264627,6.526560025998859
331,1562403280/239609907,6.52061218820973
332,98152060/15066243,6.514700446554592
333,19487440/2994003,6.508824473455771
334,396638080/60993243,6.502983945287185
335,63785680/9817443,6.497178542314939
336,2782555/428652,6.491407948638989
337,1610881360/248375403,6.485671852135858
338,404757760/62462907,6.479969944402363
339,180800080/27925803,6.474301920700364
340,4088476/632043,6.468667479902475
341,1643600080/254306547,6.463066324438749
342,5098240/789507,6.457498160244304
343,1660079440/257298363,6.451962696707868
344,26067955/4043763,6.446459646621229
345,7451728/1156923,6.44098872612957
346,421237120/65454723,6.435549654682672
347,1693278160/263334483,6.430142154986972
348,11816860/1839267,6.424765952958434
349,1709997520/266378787,6.419420777676264
350,17183872/2679075,6.414106361337402
351,2368720/369603,6.408822439211803
352,27112915/4234032,6.403568749598492
353,1743676240/272519883,6.398345033782361
354,48670720/7612947,6.393151035991712
355,70425424/11024667,6.387986503356519
356,110571580/17323227,6.38285118586739
357,197519440/30970107,6.377744836335244
358,446556160/70073667,6.372667210351644
359,1794794320/281862747,6.367618066249812
360,13915/2187,6.362597165066301
361,1811993680/285012027,6.357604270503294
362,455155840/71648307,6.352639148891543
363,203252560/32019867,6.347701569153926
364,114871420/18110547,6.342791302769596
365,73865296/11654523,6.337908123738741
366,51537280/8137827,6.333051808547909
367,1864071760/294564843,6.328222136135913
368,29262835/4627692,6.323418887860298
369,23229520/3676347,6.318641847464344
370,18903808/2994003,6.313890801044622
371,1899190480/301020867,6.309165537019067
372,13250140/2101707,6.304465846095579
373,1916869840/304275123,6.299791521241124
374,481434880/76477203,6.295142357651338
375,8598352/1366875,6.290518152720622
376,30367795/4831083,6.28591870601271
377,1952468560/310836123,6.281343819231718
378,672640/107163,6.276793296193649
379,1970387920/314142867,6.272266942798354
380,4948444/789507,6.267764567001939
381,220931920/35274123,6.263285978789607
382,499354240/79783947,6.258830990148933
383,2006466640/320808843,6.254399415043556
384,3499195/559872,6.249991069387288
385,80985040/12966723,6.24560577101863
386,508433920/81463563,6.241243339675678
387,25220560/4043763,6.236903596971435
388,128250940/20577483,6.232586366369492
389,2061184720/330939027,6.2282914731601
390,2300416/369603,6.224018744436598
391,2079584080/334350747,6.219768009072221
392,32637715/5250987,6.215539097697252
393,233118160/37531107,6.21133184267653
394,526833280/84875283,6.207146078087304
395,84664912/13649067,6.202981639697424
396,1640380/264627,6.198838364943865
397,2135262160/344690883,6.194716092911572
398,536152960/86607387,6.190614664312641
399,239331280/38685843,6.186533921465793
400,1352107/218700,6.182473708276177
401,2172780880/351671787,6.178433870215469
402,60616960/9817443,6.174414254302266
