sequence,matrix_kind,shift,order,determinant,sign
B_U,ordinary,0,1,1/12,1
B_U,ordinary,0,2,-437/24192,-1
B_U,ordinary,0,3,60380282447627/711793311989760000,1
B_U,ordinary,0,4,54195805631324958183846818288558579/7583866069170717107328833814528000000000,1
B_U,ordinary,0,5,-776978929511347428826193196402687078307004233845383692723892681/49348568060977249665387551265093306504038412044086542336000000000000000,-1
B_U,ordinary,0,6,-72383665880139289193822719546840244849512580721214503846972724459629238001730624413748102004259047404283/1422229895630857257858476808197770487246408888365976343223270287959617321974691727261384992358400000000000000000000,-1
B_U,ordinary,0,7,258920570800178374051601611126689918821714962560510057889732617259451433365811357414044242051001124311632268345074855290601587752627039673909960203864333221957367/11937198699427165667794128142705755495681620485276927261619324556508776145517857708225456246737322492526449607529131968624833729039173471101255680000000000000000000000000000000,1
B_U,ordinary,0,8,498558177542467255415034411454976586102625669633976489402164177030146156707534070455796629653367878532365784030101974391791966995523970278687667345117494858598335002207427725698005446801710892392018378475777547102625336059769131877/96140108593140861479932427096437719786419317521750895894752161435480400362361766220866661828857695973978930660800277292455498297266577129449201582153994604648284868256194064261872222770346312140411971305472000000000000000000000000000000000000000000,1
B_U,ordinary,0,9,-46672972771573378756651177782912873742415258033679039203049705549726902214299939500034356290583829241304186108578749256342611581861299792980634308972681161987185949639943217732046936751095708770595443854910182910080209756798804504419874278952224212050599147573801559261459353513710601674643241318998308856140032759/111960568449573144696417817760826541168969120684650033481878677803459091059905403306255262694235497216113174739349573212354287998408585942421770710861482759250275361205295668492894016278827512443790090277461512803653514576777475792535633771082964034861803360681391339915344057309593600000000000000000000000000000000000000000000000000000,-1
B_U,ordinary,0,10,-61890420444849499213536297687047046504141680935849606608222977433027744916405960727454306787144515584425757718572855879508429485009043457878871397158993921365850149023824473326589295712738402807033660156128761130782615521846322699613109313857595973107420809371499992515272920671724159370762479468261741487659481288855178554694882598095976980529269833637084519247144009625835735949066290915139139968588286164207/8224519456750774372220434090429912776271008665595493105999429320765696972248404764906656508811330093641383288440995918997428560290320335203284813401536178388843895892513077161763011037858486103532546636552165708299994625778556708619072318052317215474245770786092145885208567415155810803684585777648544856710884767406244592707071522530916369278496040545390436045291520000000000000000000000000000000000000000000000000000000000000000000000,-1
B_U,ordinary,0,11,101335297072838675507854577337049110924846071362018438299160655890214156489373319537622560128608570876982772226754839153099912136116186918477983990905723202144015276794520993805531643236463224571110698417865425867181698341344724297538347364517302292934169137556959131399762670561789918372880403166093703911048888454384421822732538069938463049258123484330595240743707839095611110565011081632324139679360050554858304522132761960735172327662711621164055005791345169017616600807439689115175449059661578909664266735911411732313/838654787049670820094175460980861103827409652597699275710036432091085340888209624662823005444227827310021292749850588253742633743066838371417117190111692508713059482698242283162285563073213097267949807502504098396133770865183711883254610152038158997897536921471385190204400500538259377504331166181376086556172405621311356863833737859591640936745819188159311120409312826270141632453594308174030639638964422681373256072012859176745052719764876312258194748290770308956160000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
