sequence,index,minor,sign,normalized,normalized_decimal
B_U,1,-437/24192,-1,-1311/2366,-0.554099746407438754
B_U,2,15906559/1371686400,1,31813118/83476875,0.381100969579898641
B_U,3,-490166131776283/59316109332480000,-1,-490166131776283/3213397963633858,-0.152538259289235562
B_U,4,13223510968235837275057/1282509189543149568000000,1,13223510968235837275057/88838874359424255360243,0.148848249863411886
B_U,5,-4300320122530741089883026553487/482286965123290414334607360000000,-1,-4300320122530741089883026553487/56379877012683441726399091668500,-0.0762740245347346829
B_U,6,732106018066828204567130816369303654413/56136408632840745588206971964620800000000,1,1464212036133656409134261632738607308826/18899728756192620525851228684106718009099,0.0774726481539528833
B_U,7,-216862902219335031866670981423123453437719817899/17866532081026609722002844733245207714201600000000,-1,-216862902219335031866670981423123453437719817899/5028009318424173670482327718812017496714380419164,-0.0431309666481091425
B_U,8,4679531654108332427995609985835225127374390176765669838737/241671163082978965445144596327319715195731350388736000000000,1,4679531654108332427995609985835225127374390176765669838737/104102342505788079245254488227432669522628470840743693693375,0.0449512618205315725
B_U,9,-760569481061490098203798650907642569899355034624130820394123732891871/41381234681159033220372503223382212796820015493433510550568960000000000,-1,-760569481061490098203798650907642569899355034624130820394123732891871/29792780939741684426765977764788117214859449502768548206506101833638436,-0.0255286501317149132
B_U,10,58834302222429657170883195629506875412425859180707801195711646047827625487019407/1870279772932169723272785497120033312166449183566271802167954201640960000000000000,1,58834302222429657170883195629506875412425859180707801195711646047827625487019407/2137097100278381467472312450092699217384623909652057726701040763000020148686334015,0.0275300089147871713
B_U,11,-778586683428119630832280604455987996172420794287938021984546282995848030691993872194232913/26471625699080077658689496098273435334807477780734171954222459553720272158720000000000000000,-1,-778586683428119630832280604455987996172420794287938021984546282995848030691993872194232913/50687094727181856058552359245419874148315958449936184509459150074337752171148212805390617308,-0.0153606492464952553
B_U,12,1869071018024002521567650488534969163578376282460915376410911564104031268836492789292835296616174079329/34510221225629892478230965490237070756045130864737748813975106785041650722548575161548800000000000000000,1,289706007793720390842985825722920220354648323781441883343691292436124846669656382340389470975506982295995/16639861658772196066753576418230892014068518544175635382506714263337029346782050484514101001809165881169901,0.0174103615603674981
B_U,13,-3024132377178145711417204726477304304454747910961828514152559776073027516624265356233031762015465827772744020450827/62485822940867249373988881498584872034815385585533610589262277311048010579082992917663673902694400000000000000000000,-1,-93748103692522517053933346520796433438097185239816683938729353058263853015352226043223984622479440660955064633975637/10133494921613839107621289583500245531064929079104441941169236268983835927835783520584850561195723548403501614133599996,-0.00925131007788499403
B_U,14,48061033408145890148010889487483501302980321297549601765096163962353931161839943779151148298002058259734044901491565759386784557/494150488407500513222850036493505541483407224313943120437236188778151282508171235089637743274200897819770880000000000000000000000,1,48061033408145890148010889487483501302980321297549601765096163962353931161839943779151148298002058259734044901491565759386784557/4267250181595669156383091745717070896158423599443977382408593366515418874032068657174346062774212930745869078625278329320234122602,0.0112627643946046404
B_U,15,-7577000588950073841769918321562381995739376822921199603079717458144443287157572428268141260439327813381574952155299471145275689129008997214711/94290946792307005512840213297758540308876731144665084259804531999443004956178252480303105846985778469596485085357408256000000000000000000000000,-1,-280349021791152732145486977897808133842356942448084385313949545951344401624830179845921226636255129095118273229746080432375200497773332896944307/50858253269809142212422075487694632609084653661962913766739891754660446080973187335058611169911424912813694765006620707397304789669675735806320452,-0.00551236040891667049
B_U,16,33607328107813335280768636114059025170616454358558835929790982958268776923289988353290109653026003700783601230473699550614409829494045716043422309886459377/185954913584438854899684142905838263796484345916070797227176962443691414407471100020407526258815139837306145371077173710254076067840000000000000000000000000,1,974612515126586723142290447307711729947877176398206241963938505789794530775409662245413179937754107322724435683737286967817885055327325765259246986707321933/131248696300994680525641320527614407677695885697603005905195420280214892805713546929072919081349424494657103235278046254357095153512158011693771676997863112915,0.00742569292186714448
B_U,17,-391099948674548546482840184403388230837864096971405097680863248005669885716388083785751204434960773044164089273901260769294460246372593851020976555309054455063439/2956807617913672217233100187060605355559653272743423171730046844484287370909909597292493329816950835443627213198501804185123726944318259200000000000000000000000000,-1,-7430899024816422383173963503664376385919417842456696855936401712107727828611373591929272884264254687839117696204123954616594744681079283169398554550872034646205341/2316816721658663364723886114944512319368921459946960093417429102931050480280176157566293211490812693791851890385141411686083728715190085445626635723043469874326216172,-0.0032073745650007513
B_U,18,205853941884898049682494650314097560918374303105206768857144968396271411907774306280219650585933653691700140972003513806029314540681305941856504460043734112626101034856616036629/594526003450628276004319198483564852930807530319129531412577549532713850279180743707142491488385855768426437962289358325227540267848181032209025597440000000000000000000000000000,1,205853941884898049682494650314097560918374303105206768857144968396271411907774306280219650585933653691700140972003513806029314540681305941856504460043734112626101034856616036629/41278239313153715511549470599612779960182173789659101432145410996477231373699042609326122264786576562946708509903264068099234141708371449604533704918280729110202578050078351389689,0.00498698455433637354
B_U,19,-152971543471448442731464501827507135613876388498633790487988950911727305828681471643048706732748643053645582751806494752243451440007596813475297749086693618982041962265515765457570120886667329/725521857010811283284392049319663116556791940065770650042266066980185627559145238368375743322056294980701159170708046189251945240903118111799094314401103127511040000000000000000000000000000000,-1,-152971543471448442731464501827507135613876388498633790487988950911727305828681471643048706732748643053645582751806494752243451440007596813475297749086693618982041962265515765457570120886667329/85655841374291139161187924046290459173926844698512303042399889847371037039509182645480057912281237506541374439659978735550296265993066083365043609941044345330303809160787813256909962662004535740,-0.00178588571447225943
B_U,20,5658761538744869133629499314170589847117209105986071691758221264118908610553022906568091840335719498694431296377722937308256873156834994949135293114793569203433986215637558591527310811602569973244072909102831/8282081450852263856214492624737895799586629786598289309278698689052714642434886595273441225496112238672366621224511553282268608710457901149538700320396259891491835148175933440000000000000000000000000000000000,1,130151515391131990073478484225923566483695809437679648910439089074734898042719526851066112327721548469971919816687627558089908082607204883830111741640252091678981682959663847605128148666859109384613676909365113/38104599889250481754434704112500287437367377254552077404298218843798913899579638502645260269399730675499353457847860997698460592527830942630783557566898205410409635477876350534181356592707872591593431066631582287,0.00341563789593414546
B_U,21,-437187718854432845073237675292829778286780287808577613099936221701484019467290748086063589228126483781010853730095719760702126198918514296488539708693747464837573317489125263358315434843852988147361817657312944274641009/1402161142363922586153995433729687673478420686002659054490451348677356397680429152927939596478830177625720070186208639340555296261999799203652575582828461936900999091794912677981103063040000000000000000000000000000000000,-1,-532931829283553638144276726181959499731585170838656110368822254254109019730627421916911515269086183729052230696986682388295891836481668927419529904897678159637001874019243696033786515074656792551634055724264479070787389971/583279916730899817904625274129061263756513722683548485953335515663435929545393858532528984312282382579424608824060311942949718341365598151823303331907770146242844384607590865380898292750206308757838889474315685627891201348484,-0.000913681088610882801
B_U,22,175673915366710689742550272511414390767871544232200573310719525422466043440731177428547191468399700013752066223091885808344491231735589452143798185914299387750476069661983610716396003105433713686836471579568205464381275144867396657113/126434716271773275198351232722637952920200170529076094994376185090197782728154211546516771249374526055908178649518041143404470272708445352890687210951144532514912244586951896660792422382186438590464000000000000000000000000000000000000,1,1405391322933685517940402180091315126142972353857604586485756203379728347525849419428377531747197600110016529784735086466755929853884715617150385487314395102003808557295868885731168024843469709494691772636545643715050201158939173256904/587764100977791587367825471804985896969597932089340246034291675534869758612521155990576959800430621304839161213776564766845868841486627926569334751454833261659181168921600124839950316861622235866350406623565220197627025674347100847928425,0.00239108057228351817
B_U,23,-9303207392498917226691191564287097972815567644512089502601862716503128615924551071936914394581617007137706821548459729530365208023187430542235111520316368949289621490065954712504221023971710888308963647944961771774818335910291557322499860752427649193/24355677439774894744818014696192811599221819356122163441231058567542018206427618755255278199973576305306035529354570439912427675009771820600089298041487168854359841212315956742701261042370779084202629785692458188800000000000000000000000000000000000000,-1,-9303207392498917226691191564287097972815567644512089502601862716503128615924551071936914394581617007137706821548459729530365208023187430542235111520316368949289621490065954712504221023971710888308963647944961771774818335910291557322499860752427649193/24215457260328381057472845969107114306757137044475397545031517055472812661523605272543543662602131532789528160583184445610312040633275016404682219923320746064197414790890243879141610711482779851747385908884145870602174822031531580927006222915370151843148,-0.000384184667358734768
B_U,24,129863647634010814116074504188172283334455380994984111572955060494667606032110809373797371594970595318091894253474991573653032322868046642720930544833454342507266774770578737278140611702357915908965086540058167531787335044731739523175246040709064972242010306506723249279/44540678894462143374684612096907780466433062201473777589784701653570937866226145133401841703186663089655162087867904296165450540784570120938873078172131105928346767571308149469808551211264418543856680618565949101456237429144944640000000000000000000000000000000000000000,1,129863647634010814116074504188172283334455380994984111572955060494667606032110809373797371594970595318091894253474991573653032322868046642720930544833454342507266774770578737278140611702357915908965086540058167531787335044731739523175246040709064972242010306506723249279/75711396861532007670648545366727729313443623701329958078454589617395437967135631514702056147151968847033100881443502943787825823209299395237035841569545073308804546178785036744581410012246056234249412621650751937212259243422408443683524540146888299636454378249652174601361,0.00171524569638462012
B_U,25,-226518637640314370192202367861920720301227930228343580919586832359092467017254960533250845731237467770536682039794404495025293331205638955619779697924440795055000176437187532027997777467328136855972198762234431140564877380455133006242188683616991183094998844980438863965283504823/1134517442800486294118959470281189690062455330275637406668816301590811079007500476311627234235712712001788375879854577483005937022144596938730857521491270728260871509653934193320125983753473136691046067774858588937147824648095188621931315200000000000000000000000000000000000000000,-1,-226518637640314370192202367861920720301227930228343580919586832359092467017254960533250845731237467770536682039794404495025293331205638955619779697924440795055000176437187532027997777467328136855972198762234431140564877380455133006242188683616991183094998844980438863965283504823/3308385717632820382232427217715326690714048427533097382939152664809221160734973544011487304600552760819385566377370480264507856660325175434771445700199637290461704421525422754242830866946311674477350730053594630007479961584483115305594205708563584065935863374077048964854943764167620,-6.84680254883915037e-05
