sequence,shift,available,coefficient_count_available,principal_minor_count,negative_count,negative_orders,is_maximal_witness_shift
B_U,40,1,10,16,9,3;4,0
B_U,41,1,9,16,0,,0
B_U,42,1,8,8,4,3;4,0
B_U,43,1,7,8,0,,0
B_U,44,1,6,4,1,3,1
B_U,45,1,5,4,0,,0
B_U,46,1,4,2,0,,0
B_U,47,1,3,2,0,,0
B_U,48,1,2,1,0,,0
B_U,49,1,1,1,0,,0
B_V,40,1,10,16,0,,0
B_V,41,1,9,16,9,3;4,0
B_V,42,1,8,8,0,,0
B_V,43,1,7,8,4,3;4,0
B_V,44,1,6,4,0,,0
B_V,45,1,5,4,1,3,1
B_V,46,1,4,2,0,,0
B_V,47,1,3,2,0,,0
B_V,48,1,2,1,0,,0
B_V,49,1,1,1,0,,0
H_U,40,1,9,16,3,4;5,0
H_U,41,1,8,8,8,1;2;3;4,0
H_U,42,1,7,8,1,4,0
H_U,43,1,6,4,4,1;2;3,0
H_U,44,1,5,4,0,,0
H_U,45,1,4,2,2,1;2,0
H_U,46,1,3,2,0,,0
H_U,47,1,2,1,1,1,1
H_U,48,1,1,1,0,,0
H_U,49,0,0,0,0,,0
H_V,40,1,9,16,12,2;3;4;5,0
H_V,41,1,8,8,0,,0
H_V,42,1,7,8,5,2;3;4,0
H_V,43,1,6,4,0,,0
H_V,44,1,5,4,2,2;3,0
H_V,45,1,4,2,0,,0
H_V,46,1,3,2,1,2,1
H_V,47,1,2,1,0,,0
H_V,48,1,1,1,0,,0
H_V,49,0,0,0,0,,0
