N,same_radius_exact,same_radius_decimal,half_radius_exact,half_radius_decimal
1,3/4,0.75,3/16,0.1875
2,1,1,1/16,0.0625
3,27/20,1.35000000000000009,27/1280,0.0210937500000000014
4,12/7,1.71428571428571419,3/448,0.00669642857142857106
5,25/12,2.08333333333333348,25/12288,0.00203450520833333348
6,27/11,2.45454545454545459,27/45056,0.000599254261363636373
7,147/52,2.82692307692307709,147/851968,0.00017254169170673078
8,16/5,3.20000000000000018,1/20480,4.88281250000000027e-05
9,243/68,3.57352941176470607,243/17825792,1.36319328756893389e-05
10,75/19,3.94736842105263142,75/19922944,3.76450388055098669e-06
11,121/28,4.32142857142857117,121/117440512,1.03030885968889503e-06
12,108/23,4.6956521739130439,27/96468992,2.79882679814877743e-07
13,507/100,5.07000000000000028,507/6710886400,7.55488872528076214e-08
14,49/9,5.44444444444444464,49/2415919104,2.02821360694037551e-08
15,675/116,5.818965517241379,675/124554051584,5.41933394711593073e-09
16,192/31,6.19354838709677402,3/2080374784,1.44204785746912798e-09
17,289/44,6.56818181818181834,289/755914244096,3.82318500090729116e-10
18,243/35,6.94285714285714306,243/2405181685760,1.01031868585518431e-10
19,1083/148,7.31756756756756754,1083/40681930227712,2.6621155730272467e-11
20,100/13,7.69230769230769251,25/3573412790272,6.99611309056098663e-12
21,1323/164,8.06707317073170671,1323/721279627821056,1.83424007689875605e-12
22,363/43,8.44186046511627985,363/756463999909888,4.79864210383100263e-13
23,529/60,8.81666666666666643,529/4222124650659840,1.25292369072364329e-13
24,432/47,9.19148936170212849,27/826832744087552,3.2654729983868437e-14
25,1875/196,9.56632653061224403,1875/220676381741154304,8.49660478029456459e-15
26,169/17,9.9411764705882355,169/76561193665298432,2.20738460190178187e-15
27,2187/212,10.316037735849056,2187/3819052484010180608,5.72655130862079533e-16
28,588/55,10.6909090909090914,147/990791918021509120,1.48366167836270926e-16
29,841/76,11.0657894736842106,841/21905508587530092544,3.83921695604340731e-17
30,675/59,11.4406779661016955,675/68022368771803971584,9.92320632444360043e-18
31,2883/244,11.8155737704918025,2883/1125251388496282648576,2.56209415022599104e-18
32,256/21,12.1904761904761898,1/1513209474796486656,6.60847038467355047e-19
33,3267/260,12.565384615384616,3267/19184613836657933680640,1.70292716226449191e-19
34,867/67,12.9402985074626873,867/19774909647016639332352,4.38434367325061752e-20
35,1225/92,13.3152173913043477,1225/108614429106001839915008,1.12784278302882381e-20
36,972/71,13.6901408450704221,243/83822005070936202543104,2.89900008708161937e-21
37,4107/292,14.0650684931506849,4107/5515724051991745609596928,7.445985261929391e-22
38,361/25,14.4399999999999995,361/1888946593147858085478400,1.91111808724251507e-22
39,4563/308,14.8149350649350655,4563/93087288110326446452375552,4.90185082477852653e-23
40,1200/79,15.1898734177215182,75/5969071234347231550111744,1.25647687982738375e-23
41,1681/108,15.5648148148148149,1681/522255954073519803473068032,3.21872826319823965e-24
42,1323/83,15.9397590361445776,1323/1605453488448227544009801728,8.24066227716608104e-25
43,5547/340,16.3147058823529427,5547/26306225834814330841606389760,2.1086263133417486e-25
44,484/29,16.6896551724137936,121/2243766321204751748254662656,5.39271843313126894e-26
45,6075/356,17.0646067415730336,6075/440706653985595377864088223744,1.37846795483114332e-26
46,1587/91,17.439560439560438,1587/450610174299878420063281217536,3.52189118336209758e-27
47,2209/124,17.8145161290322598,2209/2456073037942194465399862460416,8.9940322045585303e-28
48,1728/95,18.189473684210526,27/117604303732111126115416801280,2.29583434816321411e-28
49,7203/388,18.5644329896907223,7203/122962108222138251945180210921472,5.85790216526489509e-29
50,625/33,18.9393939393939377,625/41832469807531570249391205777408,1.49405474473676465e-29
51,7803/404,19.314356435643564,7803/2048523369968818712818672379887616,3.80908517539576423e-30
52,2028/103,19.6893203883495147,507/522272047294030513416641720614912,9.70758444046245117e-31
53,2809/140,20.0642857142857132,2809/11358149378044935437410460720168960,2.47311415487256924e-31
54,2187/107,20.4392523364485967,2187/34723485241451659765797694201659392,6.29833089850450022e-32
55,9075/436,20.8142201834862384,9075/565960357580296211509824099884990464,1.60346919681781332e-32
56,784/37,21.1891891891891895,49/12007186485361788890976772761321472,4.08088939567457548e-33
57,9747/452,21.5641592920353986,9747/9387672720230968352383137363229933568,1.03827650265168076e-33
58,2523/115,21.9391304347826086,2523/9553826219704082836496113245764976640,2.64082676613532393e-34
59,3481/156,22.3141025641025657,3481/51839891835611719043248475350933438464,6.71490598598955175e-35
60,2700/119,22.6890756302521019,675/39544532874601247218888260043340251136,1.70693633463942262e-35
