name,exact,decimal,normalized_by_r031
r031_radius,4/81,0.049382716049382716049,1
center_modulus,4/567,0.0070546737213403880071,1/7
inner_local_radius,4/567,0.0070546737213403880071,1/7
inner_affine_orbit_extent,4/189,0.021164021164021164021,3/7
outer_local_radius,20/567,0.035273368606701940035,5/7
outer_disc_origin_extent,8/189,0.042328042328042328042,6/7
origin_inner_after_conjugacy,8/567,0.014109347442680776014,2/7
origin_outer_after_conjugacy,16/567,0.028218694885361552028,4/7
r031_containment_margin,4/567,0.0070546737213403880071,1/7
affine_orbit_margin,8/567,0.014109347442680776014,2/7
