input_charge,minimum_tail_degree,exact,decimal,is_maximum,classification
-1,82,554316544562229933912242844224219930676176609653930514612138465308985972019253637848725046240905884270880788443138448105266875778402513663021184507632503214039456377826206462969143662772371858070443719257746848688122391596797056792455463533705511427878444058131219071779231789965577908105216612533314454441158635425562643389105247444680355175372769890893942508510965556869322046984640654562528518433590103597760445380558085735716279823381517064136353295333989974576730721001325578412308563372700175439004321156721492578855445066184761929983179859/1215722000829364822682864038727470570110373566599638541279172275927237705382713614526077596079345947309380158319832484090954682626596814494359726666062271382624828451418042082058867266640291523960491518989773849842978979290032963964746391779912155697101571558230533651728966784909312000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.45595666129598338978,False,all-order fixed-charge column bound
0,81,18690523976079206426775535708562208904134496381544572546403043147167359606081794551237240222441051757938078518288809764016066540055702654716587462148290419776796321246489079099364092860301829083234548877048241740723705754173571224412381750297264130931988566802489610893777131103736604248367516294094410588162323127412184824503074877812245350529848134096133426108314330350272549846567276327833348241940564976261991981544910749286376291396428544994156096712915159235038608885082827960264335731/75888856547099820784894582000612679035505170647307868602668960114020301762683778631891976151005563929556664965855430602053542701328344262731621908763126070974163007641451999435688610665551269794557240598996514054694393851412480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.24628812221566523388,False,all-order fixed-charge column bound
1,83,228248399856379657234726416875644755196041835883383041095454259766694417018874611802441731484096765045832627806713007854179822102058379976673378472746234428221566053141698762491540277495253858625213392651173626019285008673078897958801154369940076008010388267500791529775275665144942695663435993068094059272965374766166431216346810230748874157849262662643795946685917364827938996246345302523155340967845046313852165514947797553600301909987275269125933581074810766570014084821137567749795373286015565327810888993250211934988002328302465172988484385031/1993487563798980415340706081064581620207814997133992661712164685624102217875117958648492604497912878966088488874203363547192275926490337523312303018521134269606517482654511443337015764298214613557654751748353559144962848235827223593899998033255956768686308679508262863554596023157391360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.11449702722068036409,False,all-order fixed-charge column bound
2,82,5782894221712766869765054868110623299629648154614839099752304664512978940322969962560002762875129650295461546023067257674321326712634825538385197770248339984379377339426831994691928145523750490675740192432372547000643302163289039318913595635815159399410245809441516275561531399532891092514618715153680387330511646385139059524007965097211933821270900661114922547920913648288336492664007132270097241572196837796853752200885738368122803734105290730384757337661245065079852561300371048041226019/26156137325992372441577335828427542518450795292547997109764923021754804299053656158579727160233277333907871002485990883675617970523621578858157697355127150924208960601567703021876593515210105049805364723996240041511993202442240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.22109129301619317998,False,all-order fixed-charge column bound
3,81,61746206048438380832785565761212176302080521913052423698309185131421749279268306400980524532364476646635551527082388545778991843086274353385443825996682854167427534305459585887230388565668185540676362308142061162561912357429450446014679956321992638545183970233394551426682044724522033767496693303446073733400138008901988710423194047220287747263726901798097066551516823001140715728514396558525201478381026962960613056921903275457598300058107719038992457441844344244323665621734911437432396434269/327839860283471225790744594242646773433382337196369992363529907692567703614793923689773336972344036175684792652495460200871304469738447215000606645856704626608384193011072637562174798075181485512487279387664940716279781438101913600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.1883425828544725289,False,all-order fixed-charge column bound
4,83,381115701417106057993321595101120146094685153061730713550250074027127563474829110923556442738795344700681452395140833766477003038841762139962307174280531910944560082672018799040669518229071308048962099094722968267183174356648931667677045320179676726283214394502313504599127542324665059760407054154796220665251202347235456828505874024295076703803259326328441082897238325880448669717617108420732655071341362826561547856250591942481685891990898684628573739052193173140878377931754290526140334059/2001518664550450470687920327514843217009451832947319173955523646059842024581730264193366731524777666034208645931696287766923995627336837597794730723950632275844224219301427108800868890112687404469740275245507402591212865203470336000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.19041326377174017104,False,all-order fixed-charge column bound
5,82,32758988161994498496239310387066541772684177925965338723044294691436525079576996651228766004117843519768074200690178198342327026734892421962103360834466484479730192648604886292786026749787007449803703040396565300108627820728264180427641381355364753646098315042552039220915039535797936688093187423329879211565645656858327316846720495848786758436653668346826298547779201481504675068690702018348947465210061466847466521427534420364738880801622423143940111905982405899371666166011240184233446633/165708377079418343387447525571613683510831705126122260477217774941864780367337910531931362372710217614414310027870843254963106980933489436968045533142785344037008687770740033690111105583230079669069947019095371252892142793654272000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.19769059802145211302,False,all-order fixed-charge column bound
6,81,218418275234528627558856580512948125148848978561742991432100890703176833145012690496674439374133037771885318916787958309931761778753572098590224862989174095783984453438451034466719374957069647283984254519395788577929632970159234624293087465432172144740349068222942062084877299208334144192153148129378255054913355205390262252752393371570838961922410390238940544498128838764689130650469908667978953354991533343307919155826634169714629853478883376662976085362140570792039690938573425261753421097837573/1062517663762503346577701904880419680226799225529288560102437874699931756491573569388427942298293963309934397558044197029668275586761346062975658552478877407342446235226430443790671669129492834659136137243995854171076189608963630694400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.2055667239084601472,False,all-order fixed-charge column bound
7,83,5048842248567043929112176411243157250406905023496313064885759936800877588275481517820910049686066763335594553051469869569436362844703363717216908630552078160951249644016611124881810299493941816608176586712804143671606094902956540887862807198911230900132723249800849299217831535218265191628726977547044169615635466866003587602098801322303167196585723030063701877201442439977653059645089688681788570313503495157023659510849920237010771616727448335863024542647956755443269792923990354097684306169/23768034141536599339419053889238763201987240516249415190721843296960624041908046887296229936856734784156227670438893417232222448074624946473812427346913758275650162604204446917010318070088162928078165768540400405770652774291210240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.21242153299265822963,False,all-order fixed-charge column bound
8,82,15039358328530763014413244604826738546028704795627519543136510918447483871445557835079240793281313470525787335132319448648952853079130949344211353665136805004143988540512431630069489737645129098341924119798458563451663145367084952587005370242859439861419139415563209779040992942423422533417054973349583021231820728493381277679379262415495628555216707861789276521930928050093205372188800676236610552167525702181001569827542226719156901687884595286526857032619047534555599939128250134274555976771660531/68549332752792904950837857617385471128788545301778725267226160394542562226037379371979035028348626843811040230109231042831257950522644682033098827157072183925659601016390781805443544274975237566931170368829586437387965341855251850854400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.21939467132038589781,False,all-order fixed-charge column bound
