input_degree,endpoint,input_charge,exact,decimal,is_global_maximum,classification
1,x=-1,-1,4036312866328754787954538481350160585410672624831341395273336580759184600034731612946526378291489571033399251007994505423820181806659472239097562499669284586203116092168792589804857106977233503877740914370335422819449303604439958195168503163401889758786751500130128267276156824416139872282314214260435621027925716870756966500728633105689436754205923436743420851264/4701279314165082970871572583460540886322895890769038273210038432170500931816353935462987374663166465579276073843730904300980984298158860859624217999245069127454357341749035411676157762390118385845074383801978646170527190993655429169540352064724867884900456693690406549190751732325911464314336091837294296883996866578614361349697237102418512222357094287872314453125,0.85855627725994365651,False,exact finite column; all-order monotonicity theorem covers every larger degree
1,x=2,2,2905270046600858176315477820134329489654549194246958058842836825450571271221707317577079746885307786604605992775837690183718851340125702752778329409940183751114806782414553192097056772853828943024123222489731593373698331280031904534006287393313861190668430795844786474876945735657483560810418059389361910278854941470837987033873851050660477767805572759410918208/3369604172893401821713012973254959925931867107007516982884309958390105602116849075533375825219828911571400953283661105737860143529882813627008732992943805435508828838923631962175175286517363165424139065323187001273843105976624010018998424244888286839781117036219195661520434427588977638649109807877068222743073946232245964582663333430900820530951023101806640625,0.8621992072458081191,True,exact finite column; all-order monotonicity theorem covers every larger degree
2,x=-1,-2,585060385063783584297931605370251517507765922492367024460219526150237560050468059477777940789456005264619947355365454943601809711826675323702594256946982282450039756079741498913203084788951517013713065950709763856039205705544589576658719123410242787635392654174676459460942133644953960686466807739661717552641635550307737385618802060019946965922315792240284806564816/841750233909157620396405448796305549987625324254282276235100881167092396250742241691896527705867416937070618445032242735960348235690349452030834985064831847655621933930336116827052293950767196637366906436262506071402980232146376194485113153800561933415294710838521144378047654285506430298822129196138610638559391911293317239776967664255380441318266093730926513671875,0.69505223936406268503,False,exact finite column; all-order monotonicity theorem covers every larger degree
2,x=2,4,29989557520028232282707873552551998302188488003932950546301845037014655036930320194879835608116095919845634194106671487500139228186093317818125389870955142665639079653896772659911913756366619812259607924014822501137955087952796937709245722849414800268683585479124274412866431725520433825893385253541901132755058440866688525693671384317077246640466149933810072280177264/42929261929367038640216677888611583049368891536968396087990144939521712208787854326286722912999238263790601540696644379533977760020207822053572584238306424230436718630447141958179666991489127028505712228249387809641551991839465185918740770843828658604180030252764578363280430368560827945239928589003069142566528987475959179228625350877024402507231570780277252197265625,0.69858078551108249155,False,exact finite column; all-order monotonicity theorem covers every larger degree
3,x=-1,-3,3349341415300924937520494182954918629352658361345509319471327297272311816912981463009703173643868481870100052207409982323588914139712238761175703865908033955330487380783157021580139755193835732257114004283553184845751297044182534663928508160511404512619964944931093837210643759064321261111664025520698970695338346815915099510970757455214706570771514808787260958518513536/5280299217312145752746651380299224715072373659047112718822787827561170601680906082133266918298906306446243989505687258682679264482485562112589427861311690180343716391544998460856099039953162624506202604074674700585910894996254217868005114813790925008314143721090043138683492935332981837264511216447377504535683065459542979045120918157874001508389483205974102020263671875,0.63430901876160250552,False,exact finite column; all-order monotonicity theorem covers every larger degree
3,x=2,6,1309582811094040603968349647625117849425480948109109259637333799076154496721233464245257796505964163554590529252807752017293103762692158867056393946087158255970124357429500570622232535099311035626613021666971783413041666014052489217716008913964676531296719605977350052014894941594656653145811480121668230597170453059950890659817789759226763240817938077599378856064/2053415814260454717454193098152467873474899642674217488286971864571356473271876712641622992559086338693395332673667040648204574145493206850316191728902130407204170839004211387511700128040783903262452737781088995592760289731540514307960352192885288229310827818431568210834768478949590268474546754152536623798472961763730945845829456430919890408404171466827392578125,0.63775821828161560756,False,exact finite column; all-order monotonicity theorem covers every larger degree
4,x=-1,-4,32249330991690818807557473488633803071936919792847365115987609852026818292142627330170680297783759991594423786184241311306839518938713879846017432675722370626649676202472793557803394052840663953860654528535643196005152515818622794818516554546554512723639114004982899548185450550375138716674486183516830698136803878361447412290286896203927058927426347132544771380874216/53571059165983143561663863166463225932160739970775009859710474231460354472499108277357432369980347565705690151445060808050651381499364583222701688361920337974395362486032865450563038786959112313166460840752719734583865576908580868236697778944462385489557991547545969992755153848262742023341209016640060246481077427348987563958566948674189234225195832550525665283203125,0.601991662919531767,False,exact finite column; all-order monotonicity theorem covers every larger degree
4,x=2,8,363947679513860418220835790232550694058762715205572559374443069797928426138377006657923683276620199502214305021166298115457799553767581256223675609059222936616831018572503400339835164275191616802627402970876630369171858511641790876623195492529761214105156583784953055214563470264783212421004769729879136172807897354402775224720697085319054076359874893021378666122522696/601186330640477499969783353312531757683137193005363999536750877486388422413601104001455629929779456015141633921772349068123976614603980322832541169394883792823770179009924378945207435275874482625534727212891632576996713696418518632434052852598966770493928571811349218807585615408281882706384678964516231654954313351360860439979473535121456961860531009733676910400390625,0.60538249285562850677,False,exact finite column; all-order monotonicity theorem covers every larger degree
5,x=-1,-5,728888900738341695580689596652227272314183441190941270365435865868477318398915722051927534392757034547180737776256281654821113444029885570280022306751612401551140492198469732498242566651543100027619258220700695379737617580097559298136817983324140969792643210487697993333425551313875333527581614197015811829072291912112863502328909732987439133028556630824982045780544/1252816764882851838516886860092270822009073592568650927972279793207204496787811992461272551482753373249481987002756204574402465187277714107892940967149600714964359268238334060539657150528036575513821748092359210067284623062165499989305209649277299957256215889214896106231144840533273894167337828152528450110660623225174514837158834534847073882701806724071502685546875,0.58180008535126725988,False,exact finite column; all-order monotonicity theorem covers every larger degree
5,x=2,10,217989412334428676131516779323091690797980182227285122005192760608039194673602360234204629146341519812090926883299223680174739223969194439407566464896640956718333652535512602044030938723585274282009674697155486471917719828512103874368527778512957858565791795160191131165074972915056553187511592980508628457439335154178245048302185409742761558876290765993284009923314624/372538414724754909817341159921536072793812883534471462008019396212876760118592159528770865759764974383153340364639258930739119934951318954148689445952895202766205127320903959411948213990623859725331355551595142810007799634829836136164052423413785965978204918269983614277487479712017297808218702702601861582906115486580992207069247534878542182923411019146442413330078125,0.58514613183042418765,False,exact finite column; all-order monotonicity theorem covers every larger degree
