sector,plot_charge,input_charge,minimum_tail_degree,exact,decimal,kind,highlight,classification
-1,-1,-1,82,502130478534568018461741317637696914163268372956343486098418713701749221884065752400141344224494262563301356205406085700936876448916026259586752194076169291447557810612392523917667667631994393823589295296166469934687890993325856868500241207872616702347251986774771883910385096795898312230535208271581080757557262185584926325783691549501502502432833605950761490841051805593800769/725759900497151517394869848331040884372991921373534751162752380662224491443648588968570701104006603692207418501043857658255849392059263620544100349060597113137040551843501304531101478868615400412316029933003371319376477882310749332320590334181069089011825679576506871054424417535467544633568905511254782675313781972403521371824627935971218581619526860800000000000000000000000000,0.69186858930977657156,exceptional,True,inherited all-order exceptional-charge column from R0.39
0,0,0,81,5522781548033813605294862927371005132488806536477742537378878124062570428031581501421917670451874796640617332671097579866578916851097975464202638585769629801083468172553942067454876936912380731103296349926300294382119944469901725153440796333341941201617676821854754594137169512233162395028440113525686318587605730004362093/14430120988297764235560121119990586954105727267736796767399190677417058278302353674060619881090686617636438742023699242554749854939887199501914246197594691259749295217869392063539141048175402835672941471327266832519278875135049328863618184648733824826800704528261326838488320054216337001073281597440000000000000000000000000,0.38272593504327251379,exceptional,False,inherited all-order exceptional-charge column from R0.39
1,1,1,83,735439311685082385413286297776198560867413437278604367666469739944484241347876760053308922634725235298151119733585753987784239868173112981831724001445956658520830385110785693395002192574568849041536353939214859209742336842938056793089815232440570947635220166551650614060427009981574896778755962049894150726906941409797823332424168482379807649882034632518297921844484871940020293147/4407658394308456663276747604357533240592976628925333873339566739801834176867073265621576111460408721814938233217842270316994350918702317645476667153663476714215319191729278966667110048199595467567548820657742386499724587805936530523972993783040792421878766072224974501512645806542730465736677518459007178995727575765370886049626914798063855287374953851125760000000000000000000000000,0.16685487982343280566,exceptional,False,inherited all-order exceptional-charge column from R0.39
2,2,2,82,7386782904783193077944766551864157598191979744374183850136435204273949926770996518218978564740683295299144049510182444466652449853819459876820167158845572606201288161090131552294150620482440553683988501703040051651975235627080046706167444129323420109573537315620298522821082831804699283066202477871038193366627338190018329/22990005352493611897398652954755678064209723370086335914656610296225885097422137091329232383309641914051759683850791359227113278644045896563041514827764650393956919529736537760346054911080800749032393235132357730086034567788426000775511755302931971979497731495916399940177423081023806922813677240320000000000000000000000000,0.32130409678142962671,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
3,3,3,81,3010306530417768481453273923225501980169330796542495624211402377114662894139356345253137086902428085010599929713988515098112381389539179679093726188195254054992191670496773732714528663738653496242576989723918374794256231298889690511162663037947932999941403952487889275093202911490506053723770177009313156955356570341435549/10995943700708203091573331907290304978024704054805032187784860476193663094171537307127691899502792038852260963528784609788743704687244032795934134891436424957318126382080113693118765772225341666186862151855404263667938832578637896539091442561888281832711137634791299357360319476018079699101779230720000000000000000000000000,0.27376518217566786495,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
4,4,4,83,317942765337530777441800402304583200894492370847213710757183194220595250885198789977636931511163164677652966293844589795775990120055568915212471103708743555980099818456298811317680633714124014639215042549476165174415301797559813472927297097272670051252782459918396586655526757111109264919013929092474779880582749609882569/1154070231295943276193497747328191680236531803170264276832618398372120498266242501708436237913167850445137008944153986365286290580117518654046143423829833165134867747801270266649113055653097454385231375349382450484221478702173182329612400068039204353385068113063739552884821135451412962657058160640000000000000000000000000,0.27549689500309043622,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
5,5,5,82,5395276638174868339482587790592509566184766494479603821438361603528260637028178689536839932183147730048618709567762133560404258293944338014046892200656769883209403622083546048397448226384656048824100910763284785124355461190965758087672583959981022938927971694754159744186090130867276625207047743706274712126444919/19065546268045296270613930199964953836574195586989598126556130987051420486256528071265029530459638942882217308672057486579739333088747291932777264641260562299090248121032922094890434301375322974383815889310407237539158587231904020784170437210331578597178664637403530424922023905532936454144000000000000000000000000,0.28298568330127482628,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
6,6,6,81,12110248886131803116775676134071113404060868421548865296749312428699642519687128198536712741649297393248327199524329928461230641107504238261413804199411012200389979189542301692888505218631411594161518889532203226583498174828737122319496797415047238096600664045433509756912186511325577419812252918769750028411036367816926235419/41438336415169620514407804869605667947954309859726357203717585680502385125767153338945746175689625173837693172768527297577549714229008143784094847276650897280221048672497071260803024997702856820823734865500874443447701274247448392806339654762677063768076270747507013504904761419695777553459361538375680000000000000000000000000,0.29224746777475651971,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
7,7,7,83,7169452720913558655397445328890554233327061861397878919685245609145025832908714878419978112773806638288752498910568368860723779325831328835732833969771494083843643114158379538018470979452472806987559495675838012180146528235906363629829832067526974212406554036024033789813647337318366863737002071930197138575923025753077/23873304675754911433355690014194306782293805082811643039115593347467585282256057941348919900324580366334973803167352138835789899346663805804116394462553303100183205882785394090413731835000684269250087117055798281969327762458012598646525529359458423463223513248814861226074158834616719914597089280000000000000000000000000,0.30031253813782482487,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
8,8,8,82,10891895876230960078933136312523459445751193166259421430531607090121435727147291061899116517867949274102836355302133843436526326070362362533798720680065763399979921320014498610002338356674425495128800097265218793319550919604576556497944445215370252000652522312465591032162619039573791110210780014070100330926629724166263426442261/35435047570658701729843932522900546950193111180985277716988914833991048956676763333134891221026798886939814785677483088549648201412591461963057706216036225120026240255713091271721226650646092208843086154464054319927071780406673473034583192328384009094741312219668714975452561579214549913786841985921843200000000000000000000000000,0.30737635823719849926,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
