stage,radius,operator,endpoint,component,exact,decimal,status
acceptance,0.282,direct transport,x=2,polynomial,904167801263071170286374110073686090632098075867856881786774481446912689803141390601235440394501215662756502800396428411701497446764070159667730458405342536425779311958142369830088780765133718660050761209979905032587466934923617842003858715263265248053603926638738578767557017026724614248458863316819878084971024545964609512645008601273442667051162736080682745232486328988812764715688734271573254544531631437371/903828958562942368764606637665133726298842039621519612945609654241451924791164194098898970837733615684497154640248219163841052331561654237904447252878102324903011322021484375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0003748969281396342,fails
acceptance,0.282,direct transport,x=2,tail,809140834945497050195106548674804322106476207597564350448316164597765673450314336531999985708724907202388089131335202780625973346799598084038660413204828629821842671788654956055716749967267301379538183295384486001314189057660494810390089775635772139820843696496512389397930640230576642415562610608192348246854838991137402846927721390505051459022515153831402917520020053028464053392065129026246358655831346737712755097/5458506270740913023508945684582792615930073744346426881809080366832193938264991635017407543078917908252940712084511197103603082814144520558328401315441093075887151062488555908203125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.4823484572743157461e-07,fails
acceptance,0.282,direct transport,x=2,total,100672082863721966101971523872913595025708393631031649290268009575095497409434475227434855368870839618599249289022955974692896658166619467472814555526440996134858508820808040582181074623475807986682485260167840472540051689004403158178926188439414106257144286905562132172510353132060078821011581543223608269921868199700858169491896342309314494880845753711066636253204157215155421606289763534108843048767138247864573347298827191/100634340441109315943483716748650545744697399837044527814292240051597562069892161217401466582803942912555893530846659452641595090539966429353879989352460957580281905829906463623046875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0003750451629853657,fails
acceptance,0.282,canonical stretch,x=2,polynomial,505540820873315013095790923359654026527187322557585455410223499916817533217962910119615161207581416322899263898296339891216030010142097199205131294814748991132873400743643901092582990188147208048963418578957970191409483588029055251524424446923466984660338133430030977450193428213790810964549733372346850119365233991459378639317022664606712300741669043371435343373528768373457448169814213185016495116967643757/869066306310521508427506382370320890671963499636076550909240052155242235376119417402787471959359245850478033307930979965231781088040052151831199281613559927791357040405273437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.58170569633461643999,passes
acceptance,0.282,canonical stretch,x=2,tail,809140834945497050195106548674804322106476207597564350448316164597765673450314336531999985708724907202388089131335202780625973346799598084038660413204828629821842671788654956055716749967267301379538183295384486001314189057660494810390089775635772139820843696496512389397930640230576642415562610608192348246854838991137402846927721390505051459022515153831402917520020053028464053392065129026246358655831346737712755097/5525895237046356394169549952293691290200815395511197584053636914570862999231226099647252080647793437984458498653455779783894478898269761552875665529211970768182054162025451660156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.4642710370636533332e-07,passes
acceptance,0.282,canonical stretch,x=2,total,30766835939127822968151941217702818369790846051169608062705914112897519761684837480545724662085899154330570252953449110493312497014263579168433375285998346238642768161268210327094194732574980821325894554672610974325699716008240063803999355407979384963832137340853783795260546952389094352533522766853683509033978181947853600167409880862888025646496148947367503269763966821505464480640309492293414742519505043341070999639227357/52890711554586554058479978114811045206207804499892891161656239039463974421213164096623698486200308620708388487111648177931561440883439146291809941493886005924028232693672180175781250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.58170584276172021543,passes
target,0.329,direct transport,x=2,polynomial,1146657051266933391891633988114941000566547021861298185448592392362588268946041335995716015183650787207221343688734608213356036216714278489438046083977685045927553817236184387529918390355726920725914193317870674299799937533602781843585321357061460336828875629535743190170302679637452579022025078254404305297805055332388911515851564557195782169981524064624411073917777334578628862523361668843064630627796095265926168181408717809316167741/892415504351466806846503139690661742772735635258714864638482737005599838274395384875854451712000709009240713068804601355877411653364364587144574957976305911702121464463360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.2848914498636239134,fails
target,0.329,direct transport,x=2,tail,2646640630116139229773178695339744435101021761023254485929439100964267990186748884653590291829736930399637524196871111112091682353942337708460304026854308687867234989363610360634921324407697037307066279611009485788327366620114014740781967984610878562097551355271534971327824324713776256320624530307882092576928309016274184280983624821427994880914052555903625819174994090763791974393744295123623749986187535937985906786031706400311476705728796073/1818869003960841479906772712208546814608801709345494135473270036928829259080420053491948683969973121112632136609396529562300192950234228915791772039432582928916536669010874508708413440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.4551023874466547153e-09,fails
target,0.329,direct transport,x=2,total,699408894923894628873714895653096987559585564402272305664091655465304393310185374803705461153241379538837158480278737769814149894325972050285060796351758833760546175542065059140828283693237287859094972175141759873554755832586493264878954975424342421269884536273379920982298793097182038426824197946770161674872138025238449679595672524281357618063170274331148542697757023887335418995662907972138495117669635916543435074415851013961447957268024980098756489/544333059579521902745822490514966564955918759731133281419007821270671530089760745935546686443568598289181880299162465051491298620143090405455931778224349635661153309703984342022225920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.2848914513187263964,fails
target,0.329,canonical stretch,x=2,polynomial,42892938910162968897341739320716302563675855381093102545311348283533112479658525077634306813863852634665728133501746370684320589007206509417651592848666613980397701590064376168032265279046463137133976048205127995648477346226581920344474829028193939310744407294290362932655542942583460918934724257055716808135857335016173875572537182055213874156128531428544272968341979917273508586062602594164224406380211814783417964735989845361209765357/56188711192729228826072953932773289979328367434976834664800469328715079817351619420245985915916844640994318396594609712869431531224953805318090300791583160965544822706274304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.76337289109619721472,passes
