quantity,version,exact,decimal,normalized_to_r031
common_radius,R0.31,4/81,0.049382716049382713308,1
common_radius,R0.37,16/243,0.065843621399176960329,4/3
common_radius,R0.38,59/500,0.11799999999999999378,4779/2000
common_radius,R0.39,397/2000,0.19850000000000000977,32157/8000
common_radius,R0.40,32/125,0.25600000000000000533,648/125
common_radius,R0.41,9/32,0.28125,729/128
common_radius,R0.42,329/1000,0.32900000000000001465,26649/4000
fixed_charge_radius,R0.31,64/531441,0.00012042729108217093065,1
fixed_charge_radius,R0.37,4096/14348907,0.00028545728256514589765,64/27
fixed_charge_radius,R0.38,205379/125000000,0.0016430319999999999994,109146821139/8000000000
fixed_charge_radius,R0.39,62570773/8000000000,0.007821346624999999525,33252674173893/512000000000
fixed_charge_radius,R0.40,32768/1953125,0.016777216000000001045,272097792/1953125
fixed_charge_radius,R0.41,729/32768,0.022247314453125,387420489/2097152
fixed_charge_radius,R0.42,35611289/1000000000,0.035611288999999997362,18925299037449/64000000000
