input_charge,generic_tail_floor,cone_degree_floor,minimum_bivariate_degree,in_large_sector,uniform_large_sector_floor
235,81,118,119,False,
236,81,118,118,False,
237,81,119,120,False,
238,81,119,119,False,
239,81,120,121,False,
240,81,120,120,False,
241,81,121,122,True,121
242,81,121,121,True,121
243,81,122,123,True,121
244,81,122,122,True,121
245,81,123,124,True,121
246,81,123,123,True,121
247,81,124,125,True,121
248,81,124,124,True,121
249,81,125,126,True,121
250,81,125,125,True,121
251,81,126,127,True,121
252,81,126,126,True,121
253,81,127,128,True,121
254,81,127,127,True,121
255,81,128,129,True,121
