slopeExact,slopeDecimal,boundExact,boundDecimal,isEndpoint,isMaximum
0,0,31711330759332586132869267726213299338836858321450466214774456508066115776270317686142935083692598907526549617474996416942406827074887713710964661670506031742548127891121567604379956833843294790630807833443355758708485949624336037487917033564747324166495185989890652561005681289295501053420555460890559615573477363982573677623541284118901182709274254104010395634463553812545861087060068619842680166612567/56601504746316762050859344016320054593488854675529547714358297191834508939166692249515785497539174078879043758885794054696694225311543869783434269410476695930335599956296192262934958184712099280625622252144829568909312000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.56025596671784849701,true,false
1/80,0.012500000000000000694,19069117565901899823221721880226740059052796434491101228093870227163855416834763334545428343890123386306362907275321590728010814191637594644190853551939824676293197251428872155384111186624793406821760291267741119928611023836247157775317131442506638141679861640091531578036488226047391163409201713593314607620571395633250077182143972232015112400707392857609297162614210332127040917954598709191414066820861897/34281644708019185548803809359217846398789749648479062732329675332521100914155293272456727416342893100441074169965162599127964469130358403798833355839612052168473261706863393780584273007207294797632251877382385108902739968000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55624862016731768666,false,false
1/77,0.012987012987012987869,489303305760814892284771430319869880958423948634168925147595544619890462452270095346671755987757564319184635301902580024857168797289581347686335893241959033158195595209545241383852648462718445702520276163345543703665815550843960115030787147742239066487996033968135144653085948367705864769054842411236567117007784214701269779758817449310305047406415408384484914387705112278655801010487518221833803197457972507/879895547505825762419297773553258057568936907644295943463128333534708256796652527326389337019467589577987570362439173377617754707679199030836722799883376005657480383809493773701663007184987233139227798186147884461836992512000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55609248978223202453,false,false
1/74,0.013513513513513514264,19057978774226180646633659885149731599886867160534822515114711813647968848206005711473597902768706044087855557461789061469464684791929147720594889273928226173145770236590836065382261760897960667516427916827090576346460834566021177781597761576318405222397563051733168082394452031797710184781365109587779778401138839308317338959223581159677360542618155427145085693215110011948365845073080512698509376203768693/34281644708019185548803809359217846398789749648479062732329675332521100914155293272456727416342893100441074169965162599127964469130358403798833355839612052168473261706863393780584273007207294797632251877382385108902739968000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55592370017673409244,false,false
1/71,0.014084507042253521444,79568878900178238755733374826032453746142632253869038811182735622100711289361086227604013297347432888661913256487087061774382266916803682831901902921203969526242634439061902349330231387290844180802433422808318047085724418924411417213541946518164597080644548968753563008545792785801722111818932455805505169777234000380649006228077977389907420969786689755254843400657055448870985209904550659639881063869638179/143176280839374245527357086147321593783180719120118438470318055800529303817942695432025155680020318243018603886325090855181498665191496862924539309683085629644800093011017703436557846088924584154817051958479373101887913984000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55574064666091238518,false,false
1/68,0.014705882352941176267,2733352441374183720090595768187244359398845053041436518819959755892840218636438159092036107495342832611942461589072049797552241465185740128486900512119112252306394963919698001812008122798742371942015446503489003624627167586172816794186610502784498489225082333713525731627632642681019188504822278864629577648987340493408293774782312519952120789645978406602635177715599687227170809971689850670048422385349/4920159393800928284153220028085533763724689478375875410088767998487608300117687659936043074047304601199657750503657812097826034624320111310185540184158624275967255519393812478534497050397420084253546099295904117817344000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55554144136428285083,false,false
1/65,0.015384615384615385469,527689537451435156008793370202950527905279080137498596411908928997427432311064196588784714678563773033203063569518123060063638881553649156289194410833374538093499225739412020835833596758908702288675742164995572000792496038237024074732989181059980462729299733501387831950598051870008692160746469240163222816987346548969530214130704300836152375744333991315313350950778630654909378931478109919937972954880077/950237486576224759348506442792818770115707346333108348657325755485659513611980410537180077638502367389624657163213462235956371212568569828112651654402892704030175697631607929952229315764807744923708474213157796195598336000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55532384788642596973,false,false
1/62,0.016129032258064515681,589906238666954065918598496837514821065194657812173078747608732531110657455422787230940025621347780394321390245182145125221153204249880953633792294082044155569528884982239842030417951955331879717628770240444740621312088731594615306479410642589592054310391993593644212911703687125523824681232509719947090885837501016338926396633198660629964631072577926920991846170808154181020183053642785518221415412949373163/1062730985948594752012918090135753238362482239102850944702219935308154128338814091446158549906629686113673299268920040572966898543041110517763834031027973617222671112912765207198112463223426138726599808198853938375984939008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55508519697522806791,false,false
1/59,0.016949152542372881297,89296808255287723628055505240773560169376021400645362961263433929949743717980156052080562523423658775055599013876594001502751948150977992698034475911398367886880484711349584015045559169607515836577184689410468758206836883244702997737282464355142997573284544123406290304422376409656363025040700115400108170689337035779871898311765849739997700464946500103558799451233924392322609900553431551733199257786561/160946688770043124642271405442337307036571594593798416583707395927329112273029545880078532471093394837751521924719073235342556193100274196238654252768131700321470712238795275965184380315527205622686628532311667177947136000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5548222764798406148,false,false
1/56,0.017857142857142856152,133071687669311689228793759703840863117621659892990890382594058249801276994685841664588595589881692922252940402966810311378896791052146769199988727739293324869905271520841310405415925685363824706108541094647378137942827371728863716599819953754039222746850947234259638689056946021913879894715130417518248777756585800415243989959580626712928302553855572170107896633212143414324513891653047198102424914913584731/239971512956134298841626665514524924791528247539353439126307727327647706399087052907197091914400251703087519189756138193895751283912508826591833490877284365179312831948043756464089911050451063583425763141676695762319179776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55453118593137584735,false,false
1/53,0.018867924528301886072,6105600876559280420723165779341214321561612999821866671782332459871573063213622527478011613001975317696083491151905620777098447620475951095698572047775039852022031135065240735536363252554029336916585998139062176872078498301529931221927425652560516006735289934628176120487130285690718123092631916338499043476860236451437554293638449607104783181884312606005850690490335288533885411047542070293456240585083/11016820998435735671110772275780490647974246959910930099582670656146312815375845354742555938626955211361525869697699033814459577280967453910844259803056206623267117809303492359288676954590849210082943855625148771074048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55420714173591523188,false,false
1/50,0.020000000000000000416,2434191090705330502111549204206795581759087648625698744181840479029807486293810268898289040148781175907932133049567375640875035656210785555676399451714313316031209129952383342573640885489656402028686120561857023920193132685153792147124497062415086225482347734370196307306735145161763969260909867584190706859123901241935509629194777548849969982002483073024981163563533298120902195279905600341528122596714383/4395082654874254557538949917848441845998685852369110606708932734938602681301960675955990694402935012877060791021174692195892880657738256897286327671745134893394007911136332535972342693231704461234904086843895526782402560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.55384421223699920045,false,false
