control,radiusExact,radiusDecimal,series,boundExact,boundDecimal,passes
entry,371/1000,0.371,two-block tail,3981908003895378713574455946965248588877202340990037438712626111775701593494222502899864346715778126104878534525606788849896967850043130366203823579975058147804056121059099194175068694711350506201979856944385264291958993159329064249954001646382831776514691534949378751437330551456026979809969032372073475000359240822712397460654218418442401084151425413666495532388549923112007777668006872303447731744420528643011077583082688394954697110714211434902958327340810576647491/4099137422363711287312352514260957471092261538594071302255961407388388293294004036656169196531106756001770693081626961681016476387636426167170756605674998679623257110575076319116603230206250753007707750400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.97140144220860646929,true
entry,371/1000,0.371,unweighted R0.45,227544732499859826870715509514357682829058087354982269829356284789141989996818256892404923361046829075701142950816801728566578000023340283014627130030901045293497294902368422434737840571840254459631187186079514863277209182729002582294313067038794165894860132547834281581433761766847419019592393108750872229329189661378529030605746163428081244914187496084298233557654013838265129650609578136869170660479422112981123071369902001631681525006232077026755478987201816218813276173014954712766139121702777/228177230374896895549160672400225107595251402550489599852731095280864364019442110054325201635554198187168209199898466352770069686663557756735880798510134293170606180671782109994449504278875272797322908512638973049330646693137702977536000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99722804122918895509,true
entry,371/1000,0.371,canonical stretch,3787251913273213532144799991727431097216261152000875832248291192098972341832436143593044777306085981541019556577005995454821969597198392638722855120926593804569983727286962400828806153670672028396313154448954814090615573128908051023645677986758074622562628459768877167180592389432902929985294011818954852683369519121319425439680127470727463559911585857392534113680917449492682203998883775673227595971023059616529963430461396281151137565419594717975346631067647598250156140531/3943716425075488106458698971577999923946767387662215909393281746379190948602481483832460113355455219347829965205119276552363297817224900949033272147413031080948712870721270279481100689411941844802286387200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.96032561803698157643,true
rescued,93/250,0.372,two-block tail,152281957161151959539587915485090982250900714473124898088750083754154792121573461452265312373678169554839493396865792719597659557055494041979003986224398288445548154112163375779464662172884271828253572311183592997558149919631472725715403133029800862950162936540664399758511103675481115466941339867430125331308147748261151192825325750527093042052675089074352394133913779767691709098980478605360032060620549211815103557/155928522160029680025482586256177650537527441902162739399155373543486394079887410788915008939307455989357234836621486514557154014731037408580390889627561610492472694191263881975480786321563834117178846561940029345861105126991308367223609820939600467681884765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.97661386801873717456,true
rescued,93/250,0.372,unweighted R0.45,272809778195707272477463137148257513778249797628965610383831970837998092966684181000637684531673473522454078266155057454639052501394036179679917965572487091352979808504638122358698258586650576905126736644542429159563337152765818113799545285446319256455153979003205146975060539165090197230286297573896966343273418429734511703361332074014978404905547663003463774896282311705443074726290522658404301193127744805705638735172533671535810804516117431/272520456405278561822415257213184705153302978867369528358223086450031616157346657410881191486158809756561447069675345428426876340387550325795253674773843770358140008076920745094586560758712851398086731807502673524635366664230095719933677942432029501010348759848511690506711602210998535156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0010616516434951428,false
rescued,93/250,0.372,canonical stretch,168326209230402634170306604883381676888829595776443512542547479859645012272803103018077947697723221869958447008991930576550274180041423979345102795876456009574276027449203362022117881476607334109521151453701485760126172295584594877761803259645593394170857273589430296923073715373710066290511005924590556145398659423232665196070381121951953557023442805806210263180838367168953696291551787557846373251338027720803998484896443/174343393642119074752418413160664888407756909734166621199362373179757026509567365744047609688274747570922429748308379860601480485795899188428075089782963825228546923413238297484855050963834409618747514024009634038547155885853778833904925704700872302055358886718750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.96548659352089860608,true
target,47/125,0.376,two-block tail,35621302574141522476514086514555845865011309292375962550556181995006247320423486817725349549415147067704785383355020358554845791659457100906618154475887083922068313467940871859916705397622257126936306908630869708214872770072606421023438038656573811599046998462094773197968001197866542292549606537604892238624603464445414150949544409032497231153925038765192206467178496168004598518558689736343263497585614904527909/35703188705530986676054768429784781383296182954327043710176839244063412486943469936545232441708400143427638244519573030707477486321868944028980735041984657958103719682156177023215666881288964186881865307792231060040630005986327463339003867611923655004322327196369839981933522528476460644050678771080353790523531642975285649299621582031250000000000000000000000000000000000000000000000000000000000000000000000000000,0.99770647568583203935,true
target,47/125,0.376,unweighted R0.45,474255536628935210471677177562504207019423533316525726664176524872908400033469700661067373637914660537596905101875788497937463448090247858367925752832197751552124688053283087014564607889221999874599222434432317357306639212864942567322836918845439381763770171588917011852907804734353216963202030775744205781560114643173851239263490476960223029354105435689213478169833403952069154187333051546839792746279972856166610974055998261815595246940739531/466556477373166517602639673788956563014067110096568989147222585317480663217183961276007008300833683219718242377528696515943858531783312084031578057756964032205079681688427999352569652252477658349635324594497557791297272537814106440202245614562235690440176902742676579861667502644406018132191031085446949369133735508905469187377473838651553705858532339334487915039062500000000000000000000000000000000000000000000000000000000000000000000000000000,1.0165018805421293102,false
target,47/125,0.376,canonical stretch,4291942494813033476811539622669294825125224113857381863352475410533680698423315848930832832473452032366475917445475619220510515496733645282631095184024972862126262558999680576736919464359749599039153117092386139942690257080505242211017356679346289418509114006348837140948055235357518359494746994201822267031437409895135666285838950121848383180344665001019708793146798505691168165066172586908737867457846299849842181457919/4351243984248769528015318948158172566714874223518069356218346354559084079179470958018129931059188932203839819858542626676452252362917221106574905195047765193265152867582533715401441880451077274929171624574353485064246167033250868963773905405385069862420945462194392415344201892078631962019802125504319006976672312703158240765333175659179687500000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98637137111814376933,true
probe,377/1000,0.377,two-block tail,2164389401209888508896443459325095443366246300269022707341195599086854544020824021150105104217801374425068247408683037742862473376629897679778101048867408308239764310870266068213914818567602533381465301819607862579927053771649268239467768686973872390016086112014063803766875370932486518842259959494536118823516268710342609721177910781466537814523067073175554383490797758299421957909212763346252869617521756869782325842939488722948299497199076593906209948680307139702826139/2157827194714084685279375776964554491909934789231326998132206038757169866005333190820858508749626210439527570898244557985325223355681518149839406595467022940850718648709791435526088746471925876069060155801600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0030411177094620268,false
