sampleIndex,zeroChargeWeightExact,zeroChargeWeightDecimal,series,boundExact,boundDecimal,isCertifiedWeight,classification
0,1/2,0.5,s=0 endpoint,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1133127761700601430484598346267099343239326281574496053247247948729943133161968034524521721928791833894444508215459441334221094954498684063718069816464471159084511821789987485771045939923895406471680281594853138991760349385389323907489987923528795644616902218587197739233657367563523621356580406427383422851562500000000000000000000000000000000000000000000000000000000000000000000000000000,1.1501120983013326526,false,presentation sample of explicit rational formula
0,1/2,0.5,s=-1 endpoint,440826284324008572498734773976258939530761813281613651382974398551685218456829823102305540497457258141666006275681184748944606681325426732260793692314621532072248217901960417776790506591999417813465456562357216743418018956304182620016250551212470456685378045038409782235053713036141696112269409317325862770999712050201725179468474552187878803161925660920545309847431930787264878248965584211127981988799196480517069413774090895548372493660739531/466556477373166517602639673788956563014067110096568989147222585317480663217183961276007008300833683219718242377528696515943858531783312084031578057756964032205079681688427999352569652252477658349635324594497557791297272537814106440202245614562235690440176902742676579861667502644406018132191031085446949369133735508905469187377473838651553705858532339334487915039062500000000000000000000000000000000000000000000000000000000000000000000000000000,0.94485085022498116469,false,presentation sample of explicit rational formula
0,1/2,0.5,s=1 bound,18682877044049499465349016030110656231754216093837870301995990670570063432695150529599055012873575478153397751966840343142535902764695313234365526913730621166314558349657383230062597824288300821216964158784218483088540172540648933511488632171159770682954023690189561802074921870571897668302944333475429181899422151128644427176588264519379656981553113055126930734638652528912566466269536327945293263412419847343647561444949301897671430005980150397/109291261232745592259322178637043727287232515023666665994312802825415418076973093089149655637857311926347238449621095006156465536905198855085167222379793351516193404180881583262973023417888755995979034398913138711877754817830112808274553911731773886649104854255714796042159951926074622296262031428134489219814846823218518095705183157395623538832296617329120635986328125000000000000000000000000000000000000000000000000000000000000000000000000000000,0.17094575388111432623,false,presentation sample of explicit rational formula
0,1/2,0.5,finite s=162,57255587358321065787525506926060588606021537392695752055568692349666233091806525661725068073404427828328181186804334253728410680176813564557801173702378883872370401782866595982926188281727058752186080877655002123674481360589327345473645759912413646223240135840209374086332970531175694582960099471282419736931256564642565567779405227701137448611355134800115971510652022570954428949739697103658748636470339988724545029786950479962446931015166195898396289389911159032258224773563/57531461884783645840742275034445825075672618089262716773135183641949286560918930596358741857785846563823117738532522542979933615616938366896189504828380300794111388160634241270765788329951227854504418534904277362156660554621137259109732007748069498730387587512564685698990064713792411464399129585644599620120526583081408292146777287430271200714056576519168543582330443975081379903713241219520568847656250000000000000000000000000000000000000000000000000000000000000000000000000,0.99520480590228932449,false,presentation sample of explicit rational formula
0,1/2,0.5,large s>=241,35621302574141522476514086514555845865011309292375962550556181995006247320423486817725349549415147067704785383355020358554845791659457100906618154475887083922068313467940871859916705397622257126936306908630869708214872770072606421023438038656573811599046998462094773197968001197866542292549606537604892238624603464445414150949544409032497231153925038765192206467178496168004598518558689736343263497585614904527909/35703188705530986676054768429784781383296182954327043710176839244063412486943469936545232441708400143427638244519573030707477486321868944028980735041984657958103719682156177023215666881288964186881865307792231060040630005986327463339003867611923655004322327196369839981933522528476460644050678771080353790523531642975285649299621582031250000000000000000000000000000000000000000000000000000000000000000000000000000,0.99770647568583203935,false,presentation sample of explicit rational formula
0,1/2,0.5,complete envelope,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1133127761700601430484598346267099343239326281574496053247247948729943133161968034524521721928791833894444508215459441334221094954498684063718069816464471159084511821789987485771045939923895406471680281594853138991760349385389323907489987923528795644616902218587197739233657367563523621356580406427383422851562500000000000000000000000000000000000000000000000000000000000000000000000000000,1.1501120983013326526,false,presentation sample of explicit rational formula
1,101/200,0.50500000000000000444,s=0 endpoint,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1144459039317607444789444329729770336671719544390241013779720428217242564493587714869766939148079752233388953297614035747563305904043670904355250514629115870675356940007887360628756399323134360536397084410801670381677952879243217146564887802764083601063071240773069716625993941239158857570146210491657257080078125000000000000000000000000000000000000000000000000000000000000000000000000000,1.1387248498032995769,false,presentation sample of explicit rational formula
1,101/200,0.50500000000000000444,s=-1 endpoint,441160576847057838878464198012121392205648430481962772135786419814897450272596221877893158828861832165625315263943130786434535248993074943521865012919797294267046982603473644469168247604971643634076794221077967749556905158869790219489316414888800145936161966303914854531232253953123811320778735531910046201105316076131446440066424711435602245423847458668231991530655945518912921008349258884485100096374004244273564829376909969211044721193539531/466556477373166517602639673788956563014067110096568989147222585317480663217183961276007008300833683219718242377528696515943858531783312084031578057756964032205079681688427999352569652252477658349635324594497557791297272537814106440202245614562235690440176902742676579861667502644406018132191031085446949369133735508905469187377473838651553705858532339334487915039062500000000000000000000000000000000000000000000000000000000000000000000000000000,0.94556736052815260063,false,presentation sample of explicit rational formula
1,101/200,0.50500000000000000444,s=1 bound,18752834167870217955780232411783922366265243295115026673250465931262338019975352879244180972491829549734465403476601215633842566334954505106600024845037025906495426460715846208509671770334077499093524313522003722465557782170495254937712302372862975975878420874330246798455243367031910400441720042230750230300647425153106494726037345800241991966401612624370651401672496458380020265999044143171844846337180384485257561723708309252464660341980150397/109291261232745592259322178637043727287232515023666665994312802825415418076973093089149655637857311926347238449621095006156465536905198855085167222379793351516193404180881583262973023417888755995979034398913138711877754817830112808274553911731773886649104854255714796042159951926074622296262031428134489219814846823218518095705183157395623538832296617329120635986328125000000000000000000000000000000000000000000000000000000000000000000000000000000,0.17158585193682016068,false,presentation sample of explicit rational formula
1,101/200,0.50500000000000000444,finite s=162,57255587358321065787525506926060588606021537392695752055568692349666233091806525661725068073404427828328181186804334253728410680176813564557801173702378883872370401782866595982926188281727058752186080877655002123674481360589327345473645759912413646223240135840209374086332970531175694582960099471282419736931256564642565567779405227701137448611355134800115971510652022570954428949739697103658748636470339988724545029786950479962446931015166195898396289389911159032258224773563/57531461884783645840742275034445825075672618089262716773135183641949286560918930596358741857785846563823117738532522542979933615616938366896189504828380300794111388160634241270765788329951227854504418534904277362156660554621137259109732007748069498730387587512564685698990064713792411464399129585644599620120526583081408292146777287430271200714056576519168543582330443975081379903713241219520568847656250000000000000000000000000000000000000000000000000000000000000000000000000,0.99520480590228932449,false,presentation sample of explicit rational formula
