branch,sampleIndex,yExact,yDecimal,boundExact,boundDecimal,endpointLabel,classification
even,0,0,0,9522941219199790547896771548624102069847169988501272112720286112988700000843940717443513585524275673153061691609262678560309627007656475183619496474942202633607234214573594278714204220514310533279328664963293161664559435802361553529405179252495591805053741977192585099778041503558482103526009232619564123467673448412066489189051090210894486391418670768718527890259518899134814769125240332891235019149468946973118298947646815065985323133319026899236136713886153643769440127063603781340913034717021325635467865207944923271052310670340015201694145079088109707468581910102289690126917848310629105298565138958763913843616427240089193/9606580179698523221278348376723334430392292899027202406835926530202106245115456688462233361064244696528177078230394793234691685431289727530129445549171774835981893443352373303431337685178134145648487507429535980918444693088531494140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99129357597248957124,infinity,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
even,1,1/19360,5.1652892561983469798e-05,6561265765884541171151291654026994641431393421044238117380742968829706762757822320664798060405107178807379088463137883620199568505261452798284659433393231288217673624377675118916776020611222401469355150409260732821376806746150669443796330386809784913325006998446942305273424492132144042062576654429757487958660092666421501800134773013916352021896084889375464068013672551442050339950395555290498498147644648639337387961264369044426960052449747634372422034499859275378118726590002033190926442243446691502057202085712353170745393757783646156797780649773442917575859361101186684202497538823365225837352468619216096100598626872586376594019508462229911071576484496823345060000141308174076391105315825973587126568856293506781193177988670759753200951096718997526086263066479762790079270376813023837347869201564808402470667393493834277328504256000082378766787622989042063480753466646762197649923987051234168166289943924149233520699782045461351533193930979214404013920337109634732366940945901184192607608656442477307331030087336993/6618401877886872465339830641912432902884587119563837333238332135313164973824686966218450907622530286857311746375602553552718683837943568874607157789585984090163789904633132785997961404908005844421644787703583437615139729950332143329740442037097165193513724614130147432721008123144275788795985600460103389500121489138649578802804255962248126547278628277441921693514343263256187166695567346383124188219804117428525552791353578064539191375470242183520487245285275115453382598415662368923786856456427127106369221171425391036886962994577926061239932340430073029601702143766401671690011013405750481264355755683936877176165580749511718750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99136708331459411081,,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
even,2,1/9680,0.0001033057851239669396,2754584503524439727399500105400323835830707323108821927423510995011315270601966628143661287547020750725755212207416350447769747187539444700313109206246271304184233863917137772899556020408348589560974278240911807536200161370945480399285667092114511708549247953102783519783501569330761909069738542986191502567643733873652851642671790333612145819749522061944060212062319710985222167443817678593148894493257660973219682761162584985815573411091690984804220173813837014336340097362120717838361778875047346632523842059449020081050983704900160851176749730095913274513011541977979102915735973622561610203037303801978955297459375836159446554792775095242611376253934652116908847757261404761480701410173683983072575186457496822497510959360620524063918363007552224489498439256050069411344246363770860973738396943790541048808650675883955464856352992338497961881450882350784665507913324057916680092074749741690523061142575537967516587650867387719075183744603752026556135419905337656084509/2778365707356958335978787615124181517293490131167442586581372545029018023207517427642873539445475533089299445274716692703087422865959015585104470640475586522389871950677232887066935847628038278606131775553685397158002127111740417705672039654053079191985929095209357468897749823393751117379374308362732646989380850276582645215929668432504138603657403294576156054678830576035241605020331793317768962485164040148089061733187815447192593899836621129043381578684312809990217355025130273268585173297215894971276841776693827484642554684091091127132525095966286698967451229691505432128906250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99144057826169273984,,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
even,3,3/19360,0.00015495867768595042295,144962850149172976790086660026332644032037149661773055277881087911864912278633779155639967894808518481049787799044970029881631083927498119492587316514015617750863505219870645041355865601281748595990549813744734159540663670029406891349679737643830122158735272625516004868319705507078257475109725193047976943625846704378453607364192139131531318357548294496357376010141444906458731967147674135706206153609461558500576017120893423490281536142041322841178565951435611512946830659418465257066516248317131795616440246418841162890812059478200002007988512151924067410980254315757616345716784411557609189203393977713682403873289614942362901633663737810308367412189104796253341227785394422455949412347445847402519602089985262013567744932017539866491891345000561780003822333025127259344922797294430834314719947014065628576683331168592314411173842443400339526268626122428175059433187556389956295178708342269672182030322903720492917104177528566395807190842487823924292207789368192207573788483910649508230247216700500872450270207907681777432831322412662107450929098082774147641/146203524361900894080752168226614014940372351978454809910207920431746052218150721193206283555977468930148853546125068944338056772656760513963884593559823166522440659945105238886434787315421778346334296830795541375618435494983543971421638187550233562020219611170489814653152977096860428175908435926766718090969145807774061951072669250201586509962072615935155797389658970080605385573025732599782429763347604285148168289275966388499569974679207052870934402966006502592345005202939475379495230551062007249505284558810404559163813292311847354464662296101947999671910784398317653704784649625307209432452721241609160423531970593587317767611533092519948695553466677665710449218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99151406083989568341,,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
even,4,1/4840,0.00020661157024793387919,677207908792882372600533960551228963170091621182265607468408781238891375133572822467655435054577784027571709864351988627873683324681592945272626173045884282958185423086011487458006580814359220784248430552936322851740340708050926699569785181568708090005531354466854847191460161979971416404694028297716800181658297766750478572544493646212575834936688905890620641095210458592142456530390353050791611825955475868579928190021269009812334362708197433339652663978995688991385285199295582940776792184563794594392897373728428262715204619540302923366615858553042913065004116496855403873044447251820151641138074474836728037971098348601277370962971791731526773865578149830498916131045860296645400709583348762422695033669204738496872226730000935976354923335674606522288696809527821969595253142940048711577454102737487102233787654217644671207083716909469630926288229981337361475536926390156500075710704130563887795701863830143499697731917/682953231631017633946521645002868535563489592329047189011863157518729588899027041973891428455123953701923523010146305401530603962473540339348803878745597677752584400795686698189028976690341272525792872063584424219610257113154513535783036315902422010538771120992822661400092883148109114218899212155051290136925309323672173444955441582380767663176045815063116286844367520516304796652744848256860438487887509625937311768268002052593631393797590748213224525928974289078528786021563812384773249522344762407755069943959824740886688232421875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9915875310752767513,,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
even,5,1/3872,0.00025826446280991736254,521842374028905151377205971630558351505767230718538359443992846431842377591544415314040530039046472003679984193526965724940956806814508924502812055693908205294107049744307914029254406954804772237855597104851107306437128363637940705909520800465982101850081071226367539959807839311709765180052228891221003023392340543915294106962709005497444142644935148212714020693683623300497400702622960027220627152919578919681035312525838383651207336372775026915016212481010388060491846057097539128270331798571413175997033657404218837930820958184068372864220892761717773218511591102782205068810673645340276804949591389611714372424145005117773524200631245966056349493403339132693497155353454387160727243864734521370624764720223984707269247999887512421564205986767172516934741552338010535324800621076321128127786264956860746586036434242634419633020072914962527694456475652787106079245960721446811567436984697036785184611719707/526230616935289482068915618807492882369330456663834657248754913541489030062239473564112099999636850346100773238710966632872866699079042352293844288035326429795530367596494588653329771214470279879343417340681498231925856747661747117253675546395598313429976448373094873838176631812818077981295880723480704509823435928683022252995879624237970422429392711676730221599500793645247980208917561439986396227203830209232784860447795086059435729803113756341214211244262632617216076709324226734487695011921459808945655822753906250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99166098899387311594,,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
even,6,3/9680,0.00030991735537190084589,904956006275527589385244731303130373530203750144813510255735169057759663417157409719823164774002537436134596378091558226240913843889818432864254650322224572463886097256224251300698966012876058646313339139487234724047980834324512933401905855760385031283466874490978179002172203969027654039851616428923119025464319980723645304404731520074707269189713081688600958588785748346318841301691955614973887377909638473888942090518404864621390539912094884469898477382408684017432915649350665901817931239111738817141882856016466946268823601522143430431262028825982888280828475240335563963717841507544851459824291515401847702326171778686299876442344890614277239244028897749543240056354897742076869965496286756732339526385896337074794476956083159565722461596536312467795090506888968376303624801894606962932970081547698154468578764902800559984644547399749239278098956500486278029258165285893730118918303779586954245213952963448441067785525004824116059249064251579894983979165706293474657032473396120465527407959461808441676955141/912498320803732910043399045947662934643489148727682403534344519465427101587651425959743164628907171382339286335682275181004841124661727585958918944895865291684288292735465554235000574980671785050393996047671827045895425521517836160912948522451505511162812279212622103650918632528392902228809958878010536895398428619259366165541505584869632784036185018412066344437899461619844364005653677946678287131225850870098615396574166190518398760222527109128402799173741960732804885572897053974018607690295345497608586659255195786060135764014681961356215011243753725060983887921476630147849364374512681763462751405313611030578613281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99173443462168564544,,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
even,7,7/19360,0.00036157024793388427503,91747053705519425216003759857288872278950677589946941569065977360384688384774741745558981967598913272625077887219218655541449480041088623699628961269467846026278067406262751628729951726529603300689561835004895147250014473672380194615682627879304670777638572762224907866290383593210135383385359980026640312535630148871283701966240464527111941772217484742518356140022838681766367217770875541441874056424540259828485552850169428356696244570779696861769595990430740017401960021146016925041865792927332741533879472074510731509788456679335921436165729751166593053132620960540903708497434531448409567442643465246674996271682970259753408368367217473336448682795601006046589163685573187428588117170497110699440256283210136649655991608419776567814429208125755895022553331191408751303096926769186477386781745891304827487534080127873044863689917646320540392831058234148003456108472950235896134586619162266546193970116144858743114459859120930834072275069265282764136404566547458503063904118013244636680266929424656509887300936758051389249053356283511579879/92504865778032618554067497291746699341825012345668378857058828482382547208758169612613090922166421773829528253945290264872875717036424876986121557390049200752061379404717335593226307409968711483832483461613191467289135328406202291774028174535296276304126655138299927885290305746677020424770119097516991402611167525356737742216238239760361716676040272169883454258090825784092544035879172522865608959540914733638499505214266177739210600790553086936344176722674481678602964561848264443931169813659224194131659621785543620964214127873276504764015193132880553878957444400141125140284212576493471300350366508182827331510655888280325598316267132759094238281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99180786798467901466,,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
even,8,1/2420,0.00041322314049586775838,463875069052489091149751899470458531215322769592442069727381787270563672775033875277649740386558575412838689300406217708402044062510552505242730884787222485390990517587729925378791045233938862181865949619433124972781411442865890334566384031387152334572906696795624868036226871354691753998851512387836130276580691233266825591106841510305670240384419769912706762257933515853618699211435853522581307986071187809084066785005167499437932324479556474746838831191062941115734519721465908193887150583628128702760168983990383698767248224479644719276095339768694712623080518048177166588884209060374194432621516488655083926154853879315205048088612718700291807261197030861910789415627867309082421342583945585270602116393641380204124779888437262232804354819403552356371425201392069052759577355732915277326423565495983381818389246686407972194554896572671266163817424778186318291861185059443/467671962508020458473911304976899375841579517120624713713688166754995003890823033286453360292777721530762840457003421541313920991574332938436596713169116296001456186134650099986103249053784849316088196459404463911180594976524780459443322907085493111216176193472591073146155313735563272816280572736234293596090145941728583473666998183993913443150176143295262514272033354890649619917115120865227024842694093201867009840876959308477045210007227819815067704212196986190974712371826171875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99188128910878159417,,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
even,9,9/19360,0.00046487603305785124173,571354634370271113328216034928639666478169557942835121260766013997047886964323435092674315051536319103451835419214395473298370601435869002651696314485199406753955453174382263905769317856261752606033219028029082024347217242924119936825167388392177211878541592212029319419028957206901522265913652288863995452490798703046518395397029943608751033068143608031431359143705230057098559730571482249573719161699290547932005619280608722763155853275302398977792164715992329768871693058317300507746508937681991465649378535834208451835568875345330270148985542832104771637011557451744200591100120133976201578254595739987496193439124692163309904381276728454767545783526233331046234240296591175866455815317312594390660577328225962101910324437621374522565089249799095570017026503969639668747132992237427031634698896078522511084489772447823793221299071259150358581507098787620854512552370565197610388760657810731565176982296152412159109127664619055344145763922184656697764504133754568217611595181039837551893924902860640240193524369690886284342109544621973191792648510467763/575988636891175049647118553054233784012987042997857871908583077559964019860943361134269927203610774279819489459258097962442631227515407729565676529559257616727842477308403222042942501723209237504890136700576510973341588164083502875739190918913215507016022924877386682436356664444596388372356729861469821384649283348724661150047271133852267028491530211645721717882015190930974802382530201620651094220809492124924630284336796883571884031751456279309261178070628011694452433590082378689971178081486604997390704763847724838936150935099151261487931870783267517478618100607524890205476671531650304893631548277496109058860534985835669119502711055247345939278602600097656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99195469801988567227,,"exact rational presentation sample; derivative sign, not sampling, proves the continuous branch bound"
