sampleIndex,windowPositionExact,windowPositionDecimal,radiusExact,radiusDecimal,activeMarginExact,activeMarginDecimal,activeMarginPpmDecimal,sign,classification
0,0,0,94233/250000,0.376931999999999989,-125310445062689209369719516351581752050124699794066029706425714221765999307766251525093696243038472128986537813154098358733488018025744121717254756863509181898864511041074373776126851279564898344543662411790595906793847769218638159592585658688033658197614671699202776589312317772078465677442401054831021307065252155106647974607638359548847497890803380961008825934857629334305327079302472698378359777818106315949590689832461889078166984363083426274386314400141917408280988603965480422426756473618782344611537449868786690842822173980864257507692486977700012092467028527403360481943252357333870651784789393398454453895311168422917753039238376475173149436468598930862210576255467591669791651619864167539257332860272401517/47270596206541107975163533603808597290415392051849076577934653280770992652963559315689461079642999536502657482756816126603753687081701096184339560857022356122221169417191849430874607905433169698008860019662027619684573277139509989705509758974731885538466284051107431807448641145161672555419229979634110350161790847778320312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.6509173803344008209e-06,-2.6509173803344006082,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
1,1/100,0.01,37693201/100000000,0.376932009999999984,-1047774623499304854315817563501333477521750544806376325862432859032428737248745818456862573547784368836388763365119048448210486718201835379350545723458787118956729070415126046976765234317278179273823646275516672470486492880740846147352538570326187501860492109056900769981284695873478215352514796695228669363597120093538915344628179759316955134074570469067261312551640888429796445066791989678226973777125815424044428454205964408253802258035127474978524738168278552698621533300787677853910370358250072121684109560944987333093573584950456317686593222607709844375623163124849590500381037936823926257889442596551441434530833292852729813705201286180811842274619627536732995038922072050446878515965909831391089370354661861579368556649154709442231111352889954704699630278561866679811640129299131747661410240510297730767642779651612210271602677346417542737756383170572853154897179444919797476587043065639592421758161216921/403327832050278789368750719068656556297355520214668547591849322764060574842086060456905238349198598951242996862288214725340036913692817554450824672166732388388494706378244673368774730882560365845302539109140112495790483552168660696045079888328675819520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.5978237558589543209e-06,-2.5978237558589545309,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
2,1/50,0.02,18846601/50000000,0.376932019999999979,-3007983498006748823435062951808888010694314192452656050096088750125591128310286963568511258166121015060289007618062012686130483708781597078077452487636348927240902521010659977107561197667837332705908891233662887193053928734312746412671942638449727562816700008193412451772765936809509619379802728355498339281245945687790729375734444822368568413255646452823004855317092543795963641450763671772587137745439870394654866162847049001759255128557585797592102042632858306730710471066427187669782047048439942868033549765503236898799667199841783480624683269305094802480722556728497728090723853085538504578236553109347882155897209970024859980047557467445454308471563510826768556000776575808859148458949264295561834190662494563955936135641530787841058970304012909815711528048742223996758446884596899823824512878271426620308702911157334235209738397586510902272447391081200801863052180466367536711892048571945739119304811196319682689570687/1182044203358578392152831072931368411957280096344729109304011422571444375628927427354342518625121305097229240900018374934228690918334054846182216798873847096125767725996698200476946460677523485169739399534919944112603859506301969296361610376045777073471829861933441211070921272039413452148437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.5447301289241747636e-06,-2.5447301289241748279,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
3,3/100,0.03,37693203/100000000,0.376932029999999973,-9674947518190992443918228665873874268194754361292211441589794644967466881626845086945857328561339120545404427637506846103482944775273957552050893963533327819002413360674438127485378153440142589061380193021534048537225261732849523973104261874115833429182061537886375451081519867294998798537786162526664390432784026894078594133165547077620768701604543140231140806545999562052261590830902291340744234932436623986900745660582463516439238869263150113414684184506561490145329083438687547194779801152373347090989209082860023734497107719943305365484742759306815255968974600576837188148179722473962737571435628184454629825579472970767946642022862418418573190527570246753237623072043790439051589790334176800874258827490604222378477781288424636304033777330324192091254748519336563501123913470092127915736809733114865846882912902212219871988247305314075745783101688208327501214740143259810183685512959378272802249269592042383364158157/3882969092809383886943235584290241392479675749125070894938456971274573380507441117733623350971203940127715625620526913996433111757399876173920097844241184552308358231496632423597764610204884621144048306270293803577044229463645877057003839546763983249043452067840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.4916364995300617255e-06,-2.4916364995300614993,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
4,1/25,0.04,9423301/25000000,0.376932040000000024,-28402889635260551931091021900856152708901182030824471871209209928396769734390609954085706992170734573140852570809429760131633593104063039526450507268196572638442555670749767429002556298142345652784720365677505512217453317968458589297463069581539351370950365271450067039805169774863292971232626353719569072730792519334660887500436179155873859088804552635409434043837579512225160862752463675978937556986148460081010320794050130398164651020439951431564783590150111540458297126206329159168891959945133279480115277534327756262137048018700836119853601387402097311009008812601576906459886764348470925380493268756771536954819295480676418283392435785975265780886081874354053487206820114406557846532384430298621797811047573555333612678150893862284405947561908341596183128994288787420962108223031097768547683770890071919399760801480460929582439684614801223502677899415752529345714290301812242845975190827149489/11647484246328688228857073767984382079968075880573615785945260468544388850056509283619337520239197804858377057335334994701130005999995256429062636798207060939081645344682062404509410555413344669204173330547692027396063855953432897838600234339980941628036804563252346711083774828503316023455049927219480073760371485747100450680591166019439697265625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.4385428676766147831e-06,-2.438542867676614545,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
5,1/20,0.05,7538641/20000000,0.376932050000000018,-16132680041034474889767033170199308172217956431323228154885599382202939548983968379337694299969127030144747550386780093450958103623183373151647522809669100606250927409031152255149050140149240224382515327612232430779024055808155501253114092375731963451869261797997697003745258110241635607897855961879528447401205125524696651874929400169973450358884986637350922654963793766078686342590975271578689119077242282030646380321100006795631080622344481239598379938180308722552172349907608389359491205528802776731850572817481520786915265993964696587843846335304767096409514372165314811121389455725594577965857988442126820954515936758911416476720094837874011189169977543748275471062922136053557817034816244032040148945596242578756288237081383245729539115332236774477435916071852708890490177227850835318965170762453523948912847814582659064724425215971936254002100015076283785302823/6762952577399866723782889665061050373777086046862225164303009266625835333399003941770303759841791622857649105763830579036635579645225276188733399478312938488081779544191367908970909430342377820612874415880907595820520920654517876364285738796820106713496987191498532439793067334143941017600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.3854492333638335128e-06,-2.3854492333638335211,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
6,3/50,0.06,18846603/50000000,0.376932060000000013,-23961626868330348890058490926764703469042259060891955562567961682893719336462246574001946002112619711622462686472850507441271476128651320028381690801189238952786635465761792434360753620612764264969990549145724068199453265438587756127625836258930620909319971041016933741781896694321628633505184690456009932756206765553490113380697089595160921014254235916964066188119496022964232225091753042136230704668288385886562409829485326302069561835833677363719563755315224037971973985935792703425048181512515663598413461814728671946798957562040166756623460183172322998858896897610698263873308867342455724903456970283305593161445207861088688735068080281775726823811953272380205974091023723402467526227075910848327896872386283784875903054335722818137652019407383979210143709957459858252362590529446736744349883711994326426423077647754685298431034207017127219947919950140167749842804978330983770894463601437788915686144993/10273573593728837598003929925060939706480879819955500509840826928311996474518171713624628003210166781931143132292964324906582283837397286481781524121878853713769691308666877517677780710248367311384203517884596235838788406415756158018845224542253767629826758056879043579101562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.3323555965917183381e-06,-2.3323555965917184274,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
7,7/100,0.07,37693207/100000000,0.376932070000000008,-5526693524218004773899290230358948135451025749185975107379548140798987462489741069831684494975082717962887245275379100309660971635100301719385088704832092002389989010844003194513113152455771830971818978300472984223635542875512003345871259279266766106946687544725551656052183025992159001168080079836614669178464037033127198315839669256851063220636179420177750398122230869304913361201117995424076207822947085943732751513920549282715291062960107119815570982489810392392947880220229820680580956194054142536851898024434984815852763820220055591571010214554690644382235859076285373991219213571725192046486960522474414980761017421233855336126217188818222081621640822932556033573550167814883359542626039915953091747129639495296647343892630031902458993989754662690132279797905843444912453723921379782037024526824459259460931027089008523700531218763941373641455106276589507313028900029666838537953489224241510609204209198655317908301177098944676494729/2424773293991513622251071538835636334544589943323268217863903786725977667129716324099399252282918705779082923982625223338983021888876122847242958991484204357565967641217144823153565178054452738560759000041041610541723060113295854884240529384440738654399942398297426830255697428480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.2792619573602692592e-06,-2.279261957360269264,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
8,2/25,0.08,4711651/12500000,0.376932080000000003,-78604874428823590959876983333940186932312734717895847597321477473338030074944082534618843650519622676463748690956589096664117791701544697121178151491650155216892270879321704982494736411090313147297611009745907663387965115003628983318383934387789727121953958977061887502455572266434815897241105785793695385303350872826877531936977693243102149179442818059309648802992360502192619206935674137583825138766532163903388259726879166660612505541118175785798562435725482726714981726742634825978204182103412597538740767682156378305114651355687331478015226992165423916893936243406062203577919415601051102732078681027658902539043974129285294528017607711349818643963943765869380850839501756396265624499653121143422390519121743665418655740597405244523405589331542251853634563441048907542890597327835333544406965048235651851603963436632157678421611201402011775853308806764569/35309492941545347951965911539201710911139198846417034165897549044932135360043016704203110448048009324536089386802104331212804827062777694895820336657842533953824230948393925894648867827170856906516033916099045932612026436714630561003201120597714574861184645995214133683186962312635483333019083290930478615822352639558379774844926396278726937408157585118750887431815499439835548400878906250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.2261683156694854289e-06,-2.2261683156694855867,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
9,9/100,0.09,37693209/100000000,0.376932089999999997,-80968686488978161567668503506497584982928955796032809391510033423670542195704698242997690926169369519795764201700365010279311590359480804642041798788615367268578981319670943031592673801253114369897420971793498826700270272140265615709426434887104663773998331854083701360389209488959786014081532367801663799718843937271453662682455000322323086021844635020772108911447226586136087442606471381610466232197337184569867830888396735169724106584700289388715774031812964693667618883076688167175867779107613936048341168501928412771575379940736406484424694262974132762596142074142345226914080287027541026802237970974549134013527154783117726603153785176523664915210467234408254701970390812748526853725324427555494817482992857470505177070106839596297439354691730243569468991293175792197626111874068579781679188719315812382229000474793637342459043061119231790320054472602753632544077995922127685680440305228610710099552831529481302292149282417379/37259965131509538948844835666517780833307383203194767298331797110411329439834126320883865654227398769050863225567049830298429222793797946314827158998221778328250721221480917690061676568034044398034064203419024473675238024189947644019031890574717120731270026685258903060480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.1730746715193668472e-06,-2.1730746715193669516,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
