centerCharge,outputCharge,centerTermCount,contributionExact,contributionDecimal,shareExact,shareDecimal,sharePercentDecimal,displayGroup,classification
-1,161,27,7309544646919948330573109731259241214574945370218765831226969819060460794666069042967144715417827295324205911575557759879671832778186843704959010922911502086059137990667288995776058003252775308979102342342303023735866439530608283782491996357753653571387197677364738550259635582706548206022244400420550186331869478029910524063195278921244213111831956821091506923762857833261587185847940009863850536669842247737258875704717636373139494666935818076091990724356524434221686145474115291939830504190403592681803181768874124083246840708746890852676067720600503/14472239290806582342275720823296532121846365032137486556964643991111486062789969864184058678802102804183959960937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5050735065970958637,8096611252861376836937161167343962239377610807488922973703135472281874524450339654461865142335256951766094266837358891454554975583149119723381707573039274474823306637939847523924428776149113395603562631005098378001677417769020104389889661332337422355613229959425196584303062962643386586603119172457343997197507572575821589479950216271884544431199422557410244898437598733345119945013569400143661652780699847045097282040302772879157457422050470311119907612776447545066781634855680567481453741685479783509469871980643930356535271102430228140541606103980280061891043886975257527649587740935419052246313314990300565410466028004416522071197088511418635698980435039789688785291832071506449424854089531933382884093809127486585245278510255414017852664623184438703666878779217680536982554777217363711558049800532262899478014306353657048020977526903152465820312500000000/16030510871298431714824865030333428579531124504099334883535328455167904533514126912578885035908715302962293369418141949641517948809760729559522850527002990764610248165877862645211159333481732854292168636626166286835117238205486882895232569095987382125366678352170332234290379331539335612881653513076062853318517829817304596047425088301522893614319955251274580643623780333491364556436959895244605493773368964538385485416575046865894941344955706004780313062315896351745535243249830783243663518774125127148693752839405861491517471060615989237685824767194705719484404616224963787776411658252520882125903778746639665992974480607471316886334566164221248888043055536944238303769269180547064946346122275823863289310057930697697524910772971163752488129991633949802010942184141619528874592200950182293899010586972199090620284875431249510345788840276549980317755602882503,0.50507506079284242796,50.507506079284242796,q=-1,exact active-column contribution by center charge
0,162,26,248374114172808890439392055692804445805647543447635999398662706837375976781745154561445263755399414370718557877572963828477366239216634697463162679265933518888352703783249260139208910906689298568816218694028029071685052863931371296778115083388162191221685093032088920158626631579131523763043746045122039201796870165877030041829924733950807536659271876689516920956317997875377307925572251173562582504753994274336306521049285075766673807816942950607509199100431136461254622339081936285778844824288881722213361499468136102137836024249593455796703869752423714728503/3937587626884325332064233843223196140413910872319925475964903675654557053152294686194414536972163709549477061955258250236511230468750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.063077736347251425027,1011171449785791531899554539068577034149772682083517654817783578028699166268380124812527268023056116533738207026797075074454350609467221852222411419909856236819710274216158552210919343553358752253720296598142754182011302778216478189070056697594388459006659115323486769632106294295977609100165345818282872391754124930929805239698643984561887557945684554428222608537365563087190001078657171534084534144906209399721520464486002070580049961949324416055490659573945066743866995862532312567647986625262974630903386269719087942152658787950737355249259262802432472914326993582754350603282941012106949127892093780301590612126998960663888849000424439149348146048255510171628441089034753433990550361388369086775530201615059035409050543877627987923750682453912690039825258452853622940746508483562846723814712874590926450224515065201558172702789306640625000000000000000000/16030510871298431714824865030333428579531124504099334883535328455167904533514126912578885035908715302962293369418141949641517948809760729559522850527002990764610248165877862645211159333481732854292168636626166286835117238205486882895232569095987382125366678352170332234290379331539335612881653513076062853318517829817304596047425088301522893614319955251274580643623780333491364556436959895244605493773368964538385485416575046865894941344955706004780313062315896351745535243249830783243663518774125127148693752839405861491517471060615989237685824767194705719484404616224963787776411658252520882125903778746639665992974480607471316886334566164221248888043055536944238303769269180547064946346122275823863289310057930697697524910772971163752488129991633949802010942184141619528874592200950182293899010586972199090620284875431249510345788840276549980317755602882503,0.063077930448007559132,6.3077930448007559132,q=+0,exact active-column contribution by center charge
1,163,27,81551437331291935330060028473494273630453121318221139859954313807618614551255016400885796431994444888022399818446179360784221087218336646179006155442371041921547606787107186044685264203280092587529297568397858862006728124665332289014690852423143578930595344726323096171253680032155761609208583558337986025464863303563037526510936314325805095729461371928661296691161136910824388859245505526792584237537382330342287048968170877744772201710221307190263182251362567924657665000465927450227478224112712306567074379658771976876355053239441921379382042564431420459828231961382823/212934768408306990173143501984364645327358422177485922952230289440932626326635715971088207432160288590239360928535461425781250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.38298788845471822301,779717821014925819588489685392906197358004401411757643431798817439177893272682110476944326051975712336460693898043927629014152339437825307797820145301315020564092380002872571757363111377165632653451832251144438526677512074013579971415965871262529071957277387447656041708188034602136250744746192193020200976970381990270068437593011814899548819344945072418170963189529827425457423128429432162916812855833618856258800185895012665358996963283322029349404467360425279231702404217513288595786323476716164667983877166547341956723741265731842993998160555366309404380080959909139135303689640477883637514674338965369360128104872561988243640575787062551438531731612678051951191673872530348275273766093544165160708204183493010050521868071718298511580804996486189318942875294178578654681753636618930095878729563546420183454470107333768302826371154878870584070682525634765625/2035874880654900827782757858852345429600452812020615530208986713806323875756294117897518399560406843476211257916104027604472779498839612654059402016929379827105501517066488555941817235352180072495105416851523118428059889252096834127694536275190397529921568150725632193754878175105495622835969996160659982371451764386797683698022986214293407489018634316911871741740220102353403298667493906696064897709217858496374956647905030951968657550809374662607099758914118836671682975892728509471945266884313891147884106610604544409422718824698230633186099745433727626374519386260570401047604280598070152029989779900823237581107759037148857244564489902856098608781468053191918264578697185929477248185957529029630637742377357198607585663668167337796565992508937511624855389657385985680167073209520673151325174344545469284508776179179768687813915182715121847500354961566077881,0.38298906697257641029,38.298906697257641029,q=+1,exact active-column contribution by center charge
2,164,27,36818022892042536454283141682127915866053313447601666580205695235354000872499780548516187934596873089320487513184642700871709120137839855413053643394196716074904962993739539846832364028977686791413911828864734795311181509827744245063973652984284023242261565527869668612168430199705067513202672735160050255228391734308803557214808588216794818338716349029028682873825108698454942134049180158677077310160330626580581790896395702359789060377298697430870403946225080882432996260870953142096461539285712430100631792489935283332818242128761174342456129705802001/1219622083445973863633424352801813224828112515951631258526524413104021351552445668047375965103995554272842127829790115356445312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.030188058573041966916,483931490272183186840439722704449827137567595301262417949525556772372149912636065594043328663566399189251848532043487239520406787684506823227180660328005331687094526606055020022861455395037952095121568696720857540294551008503790573533654436703514187855945924868936014915397524859353934114833888260602912824730565086513321849912106547740957021194763065360540712776518516087186704385965653316319734325256155829081023421445744047704659908289122083008764948680449908530356217501246700274243374561186549713996804632188359514961025633189379342117547153033387096080525203816095996291318218088445599271663748051072064444932997131977493596534201026895118100779859213696575823010305117851598633993693157639726892119299802429831175512927068151393169165719878985037891946555902670139295359389689157038340306619256248055194191692862659692764282226562500000000000000000000/16030510871298431714824865030333428579531124504099334883535328455167904533514126912578885035908715302962293369418141949641517948809760729559522850527002990764610248165877862645211159333481732854292168636626166286835117238205486882895232569095987382125366678352170332234290379331539335612881653513076062853318517829817304596047425088301522893614319955251274580643623780333491364556436959895244605493773368964538385485416575046865894941344955706004780313062315896351745535243249830783243663518774125127148693752839405861491517471060615989237685824767194705719484404616224963787776411658252520882125903778746639665992974480607471316886334566164221248888043055536944238303769269180547064946346122275823863289310057930697697524910772971163752488129991633949802010942184141619528874592200950182293899010586972199090620284875431249510345788840276549980317755602882503,0.030188151466752720749,3.0188151466752720749,q=+2,exact active-column contribution by center charge
3,165,26,2567309262141893312039778749118868607906368883514707071481635494645700168503575294431243182306409864721713134561385212638594974876452014180574526714029910482145985942562261290543532016748043490296185226129371121518667172217334134367395089757149122950518390635699667370659623521582085621047257132402928245032629006242505572983406775571763535177211917838495814945509734077962636218710008661592371460142273619797414765862709478691180322130059246217919412980912365409316985924913013288134121859754336782533895451226764200459441145595066068013017212301447568364248023781/149826447438051372698041602210693941191850067783242447355897278224591636299191087116202565714978556243863749841693788766860961914062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.017135220824103145879,274687188958756315571710701886638703559556441751117419214011936984154240531038996016039514003492160879036944060405094264755487016523641456721412479295429345664172040209814275200853949830240387054650635820031278039527634629963555775849266947828811788196482713956970819115590213877477002977836038049775418195527554596600753270292948205218640123990462552045294585867370273861107164958985140613852452053872180987942654110674045015195033526008467189095074211045058372298973995924110216430462452869935611697122446099543045829388199318373100188120956097850614197639295250824005471644004555262454814919864830201628091720654208511831520715158006186361779962664457475709820039433117224813946066241927866698155883704943919279168734914482931139615094675931340669198459477795815868081164832659024410940181058197898187472896225358454103115946054458618164062500000000000000/16030510871298431714824865030333428579531124504099334883535328455167904533514126912578885035908715302962293369418141949641517948809760729559522850527002990764610248165877862645211159333481732854292168636626166286835117238205486882895232569095987382125366678352170332234290379331539335612881653513076062853318517829817304596047425088301522893614319955251274580643623780333491364556436959895244605493773368964538385485416575046865894941344955706004780313062315896351745535243249830783243663518774125127148693752839405861491517471060615989237685824767194705719484404616224963787776411658252520882125903778746639665992974480607471316886334566164221248888043055536944238303769269180547064946346122275823863289310057930697697524910772971163752488129991633949802010942184141619528874592200950182293899010586972199090620284875431249510345788840276549980317755602882503,0.017135273552046649961,1.7135273552046649961,q=+3,exact active-column contribution by center charge
4,166,26,373591130423448775938712421184058074640144152272021490890008869074646981132000508128739352139051980754940538090645103011751139688173554192562401721369078792292395355568121310469128474456818076431341163393853285954126369289673191328200810276260304260834476320459729436145195246359409268770398544021870846146929112170040476204117277908104451892046796827189045347725282168600853229619639322361581894083321360025103065477498807555830629691651321039861461786942424467591755252395707036968751258855469575794755678603049147632016580327291477746033014553172397526344032805697826591/321281500251099863711006892240397918156700350581627248610327170402459775198305372691922722244890764375924163687159307301044464111328125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0011628155686881004512,2367354291849663796736250943238111330255811934309626498826498228414273978549826401902995515794888705527420971316544998967884714424821747619094933600386639855952382367379088825859795992637784470191569957601459092394700313423496348344490020944417279256586320484842282859859634522772122506601142885638974107534960029158850013989753992127060358984251416688411813514306447924120202721091708287516061670814254341733065494038902117537946011784337469153771780943261704012162635583820780867643107337041254064820488949315426696802566695196076679200339847726107878180985918044192901465228908998841263166129038217695928817516711994889006757441576568121487008418158182589093774289498298930631569543917764932193954854674844895066194720963248917385080293734119359188249289099151346081525165077214924465749846315902410360138561143394930752492655301466584205627441406250000000/2035874880654900827782757858852345429600452812020615530208986713806323875756294117897518399560406843476211257916104027604472779498839612654059402016929379827105501517066488555941817235352180072495105416851523118428059889252096834127694536275190397529921568150725632193754878175105495622835969996160659982371451764386797683698022986214293407489018634316911871741740220102353403298667493906696064897709217858496374956647905030951968657550809374662607099758914118836671682975892728509471945266884313891147884106610604544409422718824698230633186099745433727626374519386260570401047604280598070152029989779900823237581107759037148857244564489902856098608781468053191918264578697185929477248185957529029630637742377357198607585663668167337796565992508937511624855389657385985680167073209520673151325174344545469284508776179179768687813915182715121847500354961566077881,0.0011628191468663008283,0.11628191468663008283,q>=+4,exact active-column contribution by center charge
5,167,26,136338843541690130305299910415329809797936573254792113526214584416574869631004760372834979175523650841167437046549458460734142640702569619520975961122312051845363740843766489117067878586895828445199715395634263470565402762693796731655554423789304593333872466923510249543452108765909648801686682230821948260401759589274486310809995837805996287422064709279900605786730863245796408045108345931755825081453430265126110272687095217180086138580781188578960002093418511458154285754777534069929910179429578756714697549503389877578414061639587536451658818268957/509950005546936836205556123694567148147884732121738954521242508839063763025001218220054466367940904092392884194850921630859375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00026735727435763548729,4285886881461750228088580020905302778388710666881840645267132767779790606885906542499664085286924538845564715378009788200385838076133479076247967240579059136466205699183088535747111202278644279277911527275073794456559234257756608370000410072537949058494741901827836900425089899115585503696066864564974656149854204110345609506015437601964414276698036029881052438747682587580069314436518373139276321810481102575598610812060985752223108701477851249417518361582853467963211997096866823160661471172262743866321507543790666348632356965241070541186711597855011467468499773926234818119700808739433046127995352670728282535328470490427942738743764683965363349669003130732148074776193658331264721514632307260828182515855042080167412906997308040964111229029242623545782017126876682109224399254688729449892575437686126349490223219618201255798339843750000000000000000000/16030510871298431714824865030333428579531124504099334883535328455167904533514126912578885035908715302962293369418141949641517948809760729559522850527002990764610248165877862645211159333481732854292168636626166286835117238205486882895232569095987382125366678352170332234290379331539335612881653513076062853318517829817304596047425088301522893614319955251274580643623780333491364556436959895244605493773368964538385485416575046865894941344955706004780313062315896351745535243249830783243663518774125127148693752839405861491517471060615989237685824767194705719484404616224963787776411658252520882125903778746639665992974480607471316886334566164221248888043055536944238303769269180547064946346122275823863289310057930697697524910772971163752488129991633949802010942184141619528874592200950182293899010586972199090620284875431249510345788840276549980317755602882503,0.00026735809706073353579,0.026735809706073353579,q>=+4,exact active-column contribution by center charge
6,168,25,955266458535080467353978947898994496180853630008776738445840488656245851951834103828022571768117185166694943269961270797342938575177490105148039119881298187579984575333958722843356837459909155142094172644925187139650483403436125898820300416136711666094983835919832651267220510409307694630552254290270835293960878620151528297605187865174914520999884467193722548210742274610601809003820403557895031782786919925512591417025802370238128021045307690580951798265836616786142756992211561123537558795338899309764606845204949066189540626631068498448266026509146293/11133145122610893153026920577006710123665131178268778662770780933758367289127520080339274740417916664814157456930843181908130645751953125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8.5803827042097861635e-05,1375483414777106514428242389501871195452332791559823451409303073716085320193786611935544626803491312363083265584337764086752723800849014893236366200195094407643343424168266504149795425701408754522882538016642918179944469090045695958749161459161409597221958289593306406312376486486159257474380281108779969865877485985644824543885110163723750140223198898373043521288335020965086447669642010778904250584326363569572495368014234075548698646579283502393626882791393172107717061968304290179345848276657118974925007048064439799721449206184022416097397440608181290129253055191748905686524437131473789139954085456305938869967704876537481699644006892255986199489357986684003639217016325493820523976757507985504891564824126975521528791144538015968502648402118939797989967600435077853852555280611530798620667503939785092370584607124328613281250000000000000000000000000/16030510871298431714824865030333428579531124504099334883535328455167904533514126912578885035908715302962293369418141949641517948809760729559522850527002990764610248165877862645211159333481732854292168636626166286835117238205486882895232569095987382125366678352170332234290379331539335612881653513076062853318517829817304596047425088301522893614319955251274580643623780333491364556436959895244605493773368964538385485416575046865894941344955706004780313062315896351745535243249830783243663518774125127148693752839405861491517471060615989237685824767194705719484404616224963787776411658252520882125903778746639665992974480607471316886334566164221248888043055536944238303769269180547064946346122275823863289310057930697697524910772971163752488129991633949802010942184141619528874592200950182293899010586972199090620284875431249510345788840276549980317755602882503,8.5804091074840196987e-05,0.0085804091074840196987,q>=+4,exact active-column contribution by center charge
7,169,26,98879937759929437650620302175426650617709545799939744052728796607142001329981049317861617276667662604362378313248949847580898071335290326701199135027385306103829905696170293926079644559883362474350230108615088330895773589868991173432004041911886423929263736800391095925939706384163929806412153725963069724552267077701764471446130758806606843423164414159847149365815588093246356982436490106941313849226949615767815617682035905605071945143690209715885449598366499471051473784707107908907329337206188882535687719203329335518112434053579775302472649486056172349411774255888297/8001341158766784564081446747903030806017448328142967768458060554507431148423918782596643906924755579312957820548035670071840286254882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.235792047831758944e-05,25159257297946581289972267229055179624722645574767019595109257952377393178717185038642466645189319711535010759981222150329488990558514633626445673375983221397923975890265306651936701055815436673199865667021527446693762312499595729139476891348204848452577732730288201937005497090044896039244600451107637104370856939995822718417259767895243082801806781563395229222356157439044073911848944694712815259825887908557333039961820448788624128626196016008704886639836007910654402333829093173317018195521363911767892674445971557973613163021115677060965011135072242786856338809153562830293052787070271100373279088490093964319822428841216601093734019752094125379563173561277489597082315593841748101917412238734072877385562303655646537419140623624296106844902755657632200448770925096838854612269293323541226299439519905384171627460432318912353366613388061523437500000000/2035874880654900827782757858852345429600452812020615530208986713806323875756294117897518399560406843476211257916104027604472779498839612654059402016929379827105501517066488555941817235352180072495105416851523118428059889252096834127694536275190397529921568150725632193754878175105495622835969996160659982371451764386797683698022986214293407489018634316911871741740220102353403298667493906696064897709217858496374956647905030951968657550809374662607099758914118836671682975892728509471945266884313891147884106610604544409422718824698230633186099745433727626374519386260570401047604280598070152029989779900823237581107759037148857244564489902856098608781468053191918264578697185929477248185957529029630637742377357198607585663668167337796565992508937511624855389657385985680167073209520673151325174344545469284508776179179768687813915182715121847500354961566077881,1.2357958505708044315e-05,0.0012357958505708044315,q>=+4,exact active-column contribution by center charge
8,170,25,2693572146384750726352337661645640719937803821067645559573493407206528654001819169295236762565260243888353684653511369845030694297802989824013603595575872483751479237162761352150658292022749870961769607192292334316125852655899011539105505536623999783970872963422333672465517282854843945014465099551743682465249450688556863874220619521387428683749609593176744872776527287374842249659563509805623554084154752577258890872337466276760597117216852779412280432693419183314303814953681664217451947690331045926959588968016830049141517928000602606757179753/581951164003615476661747109197099068066531289014063162650629245030372995311184170549518489485088523771594282152364030480384826660156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4.6285192177534959328e-06,74197755956426903527421171242883612444402720632115695692015722779078883048287592687913484053445189474474710574667143957610462444645178419766716318961433881399933968990941672778242778348287978196857352702793526173349602132454636149062559982454504144766462037662704381280809747410542828593452751897103078089130592416013543530171429143183185308186707891639751008388683715993000085497235082723242380502311664804112152602526733427416647448667865734253850652421858559937138240446220006472106523446057497663986435556565118835006050635644491227846933984210248668605343847340633744325257595254634454194283920040535789570525398459184071013867791277431631062492888039883949903978229341437267116329009152125986330781491924352995882563421348669210733813181988849342551785084367205584550440257527066656439984626558725722134113311767578125000000000000000000000000000000/16030510871298431714824865030333428579531124504099334883535328455167904533514126912578885035908715302962293369418141949641517948809760729559522850527002990764610248165877862645211159333481732854292168636626166286835117238205486882895232569095987382125366678352170332234290379331539335612881653513076062853318517829817304596047425088301522893614319955251274580643623780333491364556436959895244605493773368964538385485416575046865894941344955706004780313062315896351745535243249830783243663518774125127148693752839405861491517471060615989237685824767194705719484404616224963787776411658252520882125903778746639665992974480607471316886334566164221248888043055536944238303769269180547064946346122275823863289310057930697697524910772971163752488129991633949802010942184141619528874592200950182293899010586972199090620284875431249510345788840276549980317755602882503,4.6285334604821030815e-06,0.00046285334604821030815,q>=+4,exact active-column contribution by center charge
