rankByGap,label,sector,upperBoundAtWindowRightExact,upperBoundAtWindowRightDecimal,gapBelowActiveAtWindowLeftExact,gapBelowActiveAtWindowLeftDecimal,gapPpmDecimal,isNearest,classification
1,fixed s=164,fixed positive charge,77744190092879187074369458636776943242205754512382884161968479662973459374301465875699223719382278934827876104604795781380442386057956436665035678234143121296301140269000195113831168230865165726889727236502994165027345990414633115146422584961242742216024787439163187847964731661802709405854340240426755452466698296349171276838314978411292521083427689282085567019543147219157804588080250777935669452335221436792155679137936932099443164122919462825077899224162036349638396495474538700843497045435017369892737039259978703520874889803757560517117240949822331754081072833209086748176962629746654983839734876536482320517074046100899444105703430075491084111637033788076655668501969793087767943089893390101186887486673336922919965699421346638324595750985456425453842010773954536677925731598525978634565110425156465513188161816385735022919173444502453020500608255205594085888394833/77755437409473728950945665797840284292093415245496179901001165070587535646220800414323826757985030938557986926373686256979246238716962358534481984738642001986678272996004782690811703027933932671498007540280123981150678017431402055261763296283911314122138778800695598881134516158479835180143371331902774415412160635696636745706200599670410156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99985535009551407266,105456562711161589810980350678218404665915756082096872496208893752198647032627535039304674838237154781009595803343496010110783848167879681516145679272895529265629442287366420453659587584626470389915919144772493935689436280661886953455521075737001857096385613823484512235021026087515615124405008208725802794754992532972761709997549528766046734393156917495709896903564628047055913681863798846367471735969145127307095246882011294162479895982455586261608829703898400834332935382717880911567354682446631147562603127507608900607665409510179575095281706768372671348394374291627060966670334952339677972309894661438890780387089005796365048073244318985034773772432603543781996682633430652243845269045033053344581890573722082260030697102335691251233429767336976091302771844475782211745834040763296168530417115532425147910454555759976040118227576655527729754468368377559349275505550737856470080245098587/744893104804242001146746909046533228545834329118747819893902876231818698745643135773576126759276330774705319518405447817668210874517442605458393369817220696065666383699114412182739075861991288929295050027843164447224017412526648681492936045430666685974590553003716144359778248350601569752129631715162956516218050890144869837297680881249561934964731335639953613281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00014157274652028842093,141.57274652028842093,true,formal full-window monotone-sandwich competitor
2,fixed s=166,fixed positive charge,67025604272852636470563658161002711735404082713033652600717296394574427761146424469006862197211587252419571645939211299234609901812050450453550130844668177647744512576866931290955036608767270088032972905727076626790429879588092772644483094364179760043731412575922962604072085512211870639897402097967531941598788530768018726263280740110741176305640298413936981806965197166643423940393356172479446137589606365553065023585682176528579255960261249832225123293324230919607379116788989605598596257004875663225817597603278491541541296050001560891615585865674467635845768616007587686966072003294192445144783580121392602179577592086556260660304410552482173056540229725344858676191379572725332571729589554907921001197526889363103567156857345187707974523039623300583690337156998091257156774176796101305942098147935331068761451556336120084275024104201364190264511586312081414446983/67044879144132036051104037547619489486926761746513140647067283717180089142290121001929049010154980616286258546184913857113358388113320650610749213654668013929047766103837564254310765840920468044659552873644730141983478275923803806149046432588915084982152355071383847348527948287190793630808488275521289049413420357836912444327026605606079101562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99971250792714589338,43695858732055393009113091067971048825327914609861256705071257055546149684865992350604236755843576392688140659958698440319356990921799526683420775816259508605178392727428079468214876304100530786286007103147058739273237359778589916229665688236959150903157668015443094101702768819775922969398702016361921064580247925499897162356133953930212603192506647874012880104852208862966768660381991148571193796277097664859446969541000372668440244918514998759469809139945010294653821806557766985081278053576649353568138603982937423436952667593890216228049099742066393784286059217113992938357489710034921230096395303182533573792355323344266436448927256594724351567235316380099770634313733719518097931844647659537154536791379743621743408711809604509422000715107342111552994563092869297560164989926212067456285551988574019548786406661037444185268808739187025377245601363401405839443061346051540216127533757/153634202865874912736516549990847478387578330380741737853117468222812606616288896753300076144100743222282972150671123612394068492869222537375793632524801768563543691637942347512689934396535703341667104068242652667239953591333621290557918059370075003982259301557016454774204263722311573761376736541252359781469972996092379403942646681757722149086475837975740432739257812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00028441491488846769549,284.41491488846769549,false,formal full-window monotone-sandwich competitor
3,fixed s=168,fixed positive charge,90460586390092523845614257063730106622625786642356216409854376353584150873091989742631983563045232002848662396395824160503183613730821219131234019811494834884559507637063918026895683092260858545085926323424379424916813922687955652726973396381886159094236689547868010816306884074525842322943492465311729441514755348111401260349948947828489075452069813873395331289547632460498138436954579658612401034903939376506940879272350761609010765250480451016770736369544416264185258981725177835697789075730552721142958941323827860300129973459315126248928360514766951471704380626899626349004523097548218084996269513993346439713843336759420362260415146018893344902266096986695924204504909109212334571264241929943875832277658990990538435916591221534928542257818749074503533005123595182434856655730314815253542324070749569341839867086014498756560590617104450461110264241227727309604478171421/90499224043632392525218153186818824647119902458561674984119479407121572288022742754174668448260100163193688833790832237936341235291101335019440395872266839355100535235665710701585524073629333001745165117537254993906878992088033766357443267684057633013450911966709991852877687464004352702151432538551200569667924689110094504940207116305828094482421875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99957306094114972404,2248820299974086793380539308210518562741993898580878520485049208974249565572796893250106812405921569568184730645472388619078618463186119290062246955383806188222849127157285431712944402191082480008675563593280310361138111788209670519375923618968640968396374399230181431802131143102539886155941675195800228619388445454173415031012496751068070936403860316066484891198336421458508630080688612689239355722171323757960767919088575448205392783436268365606811459407272991875809034877478874897360136830415301742396043414573805554146649904378982060973827095704986980297816263787188448358105174451383435156059996497234897595810221688259909530174826122023579456004703936422376235408616826466061854933720044175992355444778942248885022420681984470720620194112121483548628069118179715245960291191793550942000454256374604593179919674855225701728173535339765203968771645785759473133120653108267700988274222103/5305549508650343798752194908184520357540337855533289058091718943940104773939138406179489052201826138431849982771110231006524797421989089986118020957910804876604076718311468317291830674260530487300782519475912149370447039606267323198133533927478977410249214368999682765224881598438740888453683050568632259277445938767062688979129179978055930178015842102468013763427734375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0004238619008846370442,423.8619008846370442,false,formal full-window monotone-sandwich competitor
4,fixed s=170,fixed positive charge,9524304783612368256262675957053968054567528664154676265549351546736400406603189914834774837308511291469032167818050687207950690855642937606877900037512479167322040107573473565305314942613951371109328725838324163699653244131602131625078534044777552266474495140633023455629102823542827800372204354325512824835414638684823663810706358310664722708625153920033301344392388646650969625659817191639262842372122718026242707767407169585950856638943448849140355263619501133720959934021990050211807732629350306659216416414829878670063006032390433745025422958558336273496368586650855243586369602386282942454114828179950115022858127830663934792305604205877451231482555841269606224204622356442859739675679323003148744563174879725829213393533319603875675047268277203235706090664066492966139940318584922129047911738832840788148973407808042092981861273691349663655557716428756719096307/9529671041801392691720926872872829439063018450041518264757835905025644907032686703473620494474510670917938084446761118096473968240601778267949762721950929862961860879380726179512895276734000289017797313950001940990588582329313240055120202517101245791221462375589154988988267343166744250148627819101761378395298862642448511905968189239501953125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99943688946182028417,126366837914615530064217687904343340642420120857932138522165003291155263931811671776316597400747487943251106761117463494205068787577421398539002243963574953854759094648505236136759026897583626893560864903890024138513790743887861145979191875718702013962200355448853601371511578836192846690267719581233118186201003841230177254871418745866279600368837787034809462568034043924972594605133725049446161458198743461307003759986247973133255055159248090609993305974422681296161616337940504601449753256581386166372209874359229773909555275943865612737581993140325529684831469088714042979533842349834196696433385102017483722463658787978027340784170147096216336999170682899388837249746026956395261612189309068626573276923310614806702413355932818496464247882019826065715044575164941426755884306132429487603619974525209783536852597748601353852514955718257470333907705189099134944874828709439761446366505989/225641617766267557403119544965968580336945895427739158857234081193044383701043031764164719582350473891031162772234751287973972414297422182968777259890190328446720805689344108742637206995651106903451527567232108394183059281538451288318091036409855696905630544257005478398181956327457923241553205077480764920309082924257733872752847148479560246414621360599994659423828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00056003338021407690827,560.03338021407690827,false,formal full-window monotone-sandwich competitor
5,fixed s=172,fixed positive charge,4016970942032700312313977919221453268941682108956100761236158722268627848677209697738924729801441460055792863205434438867810591055500302688861348066904355764654607125840561715483259595150761085762481021582138353379715231388827214572531409171974135988746431612637163495970674366166076193838287477556674822737013488442206004442030071199105238762127212913803673729974226775627636611672893203540258598566160156606775644870044364655067682958788062765224776086761329155116956992943059676535510132998711190339445872474485440891234273604299599500826403708711739148182064509221141285771844288208356324816658490537089761748584469096139578246641907453869579481880648186327028448325010097408566337183989308000540182108919315455597386461287553919566194137648197642005171934503760226841235528325084008227673146643419595382954568493971070018454389842299810482508286985221787998109821234189/4019769186271733459865214754565705864641566046371705382446824349781359743742577779541152313823490112319408804557931056523461970537218947486762461412285949115833560764367764914249131359111640871143144886826874626433492419688218875099896745671138581725630763330569572783781996360435583879812116691931123824014018830474981314182514324784278869628906250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99930387937481841568,34962167779576234106271302278198121890303533553920145766862307697444250208710737541853654596258238290299450668670568643340633896482938620529588002710269751560809423844171013202013968353812833548798951943685790170341682001136341236542344706051406530900791676145076553819623216082972060712747918000408178594958536054182365249913640376019815796242468455033892704600293671396373576982607942501825814983563361025698636799488692747202212585877417569558555757544091336036971732082317232730181921057928838498583829850192582387294986625406273698672301241460453758326262574972767480683847939160134027935775775896000431977723854777728168079017701548485326804375940718262577838873642450724024753175787065612434917681358098259550912543471685503790793632437789693704819139146175699172197908021237366116331816956059526740864446560863658509602185414259312029611255781190851343216264554371613052934591386442009/50447294337863476637186333822391505337212228483750435191346402528612435802152851494760860981496783726851223553812962599921565559087110850103395517642799988132558314830956095696494906500788390208380214171826132404914875766551135117947219019918025686492799006638245720546492680458236276548312382379630272211841410180621656432850162185554943050647125346586108207702636718750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00069304346721594539465,693.04346721594539465,false,formal full-window monotone-sandwich competitor
6,fixed s=174,fixed positive charge,112053310139808369694823314221396107207106816488081379225727866806837664043086131881154318421393790607909311259375563439224413137094796030651026323572956930774248736161128132419428391764912945688309191552517180477331127776904821853519337107236199452531828186482434135737312724869694313398978220061856371360038223790772172706944748743878105286467295438819615116839625983601594783383929423272944436457948649487455977182178598632218990369428971119046081229608708587962418297249967911045878011683115936891952735849254447209676098700299024767455817008856682155289225878020395377707875250640847149616868401701824174115511388139859674494031970896935065449545404058702209724676811937444428780377860056222593201669418844348541355585108224829104400634587170856939069136888967898947617557480213173057317007518320167807710135201223290042342018572867511478457556049316667896741101375080627/112145951464666206554557831964490408648199277559588871421702205237108536423196305926445743316140620683845804736500682360186372784502289161644233231856187308963131235106819466088718964314784501792819937483112863982897953647188340673073625441247239045340372896422261903161312329952904965182472362419265723297221153814673400006540759932249784469604492187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99917392180771656892,18946081496108249778460650370680735124471854632002742184851996797343188986507573934424353892756580253200912051451877531328814124507402703487078320326650593456302411828012420831612376685057424422944493768751157843467985620119190048381351095064722987850436498505079609381613765976007787079530615804897047021793500989164604224221504912000440302547752981487498235008660766528445952210491290781050090660123711914322677193772253250048175444786424372714965888893367777531808576519959109209072078224408833109519058311352990493767918135149724326298962847294769798543966810243310179081257656447298507716746437904022074435254029932202858851256823837666802240170953230482788192690298465233238453436155897738308745364552804504198908041355038851867861197700986643264614539798439796203657004052375150968750346540879426305272456678028158192240074658638668087594579933216616363457284564749343737008887705064553217/23020726227656772933954335831263190985608261153093089009608644266354190374546208622856891063366067788361367796639811936454526139204400692564855120736323056388217421613135017438625512873747367329911562335628634740258466076841112122201764470383003619452475559429112834448506890957993922725759030253421878111609054757549477621093770728002286807267751100880559533834457397460937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00082300103431779215757,823.00103431779215757,false,formal full-window monotone-sandwich competitor
7,fixed s=176,fixed positive charge,171889403436909143281535132465943645327126395918232517098067021347359183006369948645541011620354629757245315531241739697844003557550793562738515540155611544103160258568037391295066605525198736780363375386142796245885253986728334098491084356186801337412808077932526077081405936300684469241035660674468111630691022061589469478892133151923515837687518947415228872646012802047672219542027328497968348104938261074086123062387854393649900433432664913077568214512772724729909100018996942253355024366001876483820205626546819972254487777952832014218612630885768907955541354056808741202112524350913546996457956978754249473650972974995291289646384559194599043212363129260661856666231051250998463607337940424491441888090906876667626855451923462661799732026405965200118707716023836800869069367166474827827249911583313804888666776014098734296832358008924914681077098973389425325728208179039/172053385310604281327216282512750614761976349937886217926762413716235714411714587873961269890926593598984202305495056302131247926794214431371781512362663495324771755168210945343005539828562374200374366330347752002516519520473712611157002180345929783744448949172452974411029449157756976594955690159080687883798831128157047487547970376908779144287109375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9990469128323217524,6829680910607094340956312286787222388630796060650721032326915556329919102245798168307540692128054134674031624943164982238285475633031022962375322458779566658327091574501932807118081637826198838130797112902428971849917601001261874670531818139928873202265417755416655570794965720689026487559766059869459961782008715495906314467687530959392442132396646118279638229646006205204193362171397477052285919154366515884657551977509867200218686531414158125240944759515375552498082476309569561120391875443395875995738608404894500091664422138038771959310727228441592387881246756168737753671201323346069914089727773503676205356865184371832857270898468541924519326492912404471768882638295784433873796188050632984272988275264285952925037901951134309314164234173825668735029064811609307373537804734806978512784358965053663728379963770262591405873040439084031813173711976594588702261242700794025396490118838499703/7189062052802126115132406363173540854348629433373643443882192600644382977571785701066273198190571472420508687126967165610151744187908712146424177649227497719471974969875993324635229034071629643302409659412843069299448249230601846206038623588477383749676665060287137501605347545449562204385795232859239952429758808032531082995013360127656287801301004947163164615631103515625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00095001000971260868212,950.01000971260868212,false,formal full-window monotone-sandwich competitor
8,fixed s=178,fixed positive charge,3305485899534425135979302041032500607083323659125072319912678735230966196572891737425490460987332878206863953590619611557271776977830755384199773926783604412653663934267392226233362604608815312555334366003850497331185743079745750634628061785417916226553476430607956057254026105899000492604421726813490444463489735075051163182491338794113149249087569404678889887484358963314280405241155514398038540886323932840103105358182566821509933983626818969307525511250314281569825584031066440693153579992882374856914285070372823740125753869897140786104884428844208402809495347485079911646136124651322246314294595108376102514710046996381913719655927725100127030771932074194619976771483874693911465837087550750119234564138039075798231973803241827032206862665942942139424508347696838944975373951178589080484914540674610432908248427891306871874088945866276678937478798216167422028307978789810639/3309050563708027577422577336403374772968792561260440652667623496429413873209842440558856688595482691340643246385830818235068296503066570610375192500295446422273764730775037721944674298651106758904750635857523040227275860993146725995994968563145297417227086638067185177855092341773305555138782071934831508512104463262670783763041981728747487068176269531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99892275318706282307,14385845987218853572652668656974271728457748406162453487412127554128873066416578744272373684941876465357584491124732528003501781074537961835074908351000328651787248451082850906838878088841973406755309773562603318235845826858727301366326018752701168085029555484875159019709803566167890093683274733048440116592893849339797484688887625987963918526337431521622554687748119433214622428859967160889730716513507513430299818379351812890573859094549872572140648387318120111545522896547451523593704306566303118753135692989671291112858334251533322311869463125339972222170596985705061727184747707723060973639194434465718147328840160434591227819927122088362329312544812144968087942743626723011990798676756142628867842888875267153880554496908474214738856748884894829878411333951205860538698497838319684278016682757141332710622283726031242222658616776964886662596893232692805666018428251267398696971727570107252149/13392526888687831714480531208815225301246237089591222867232149118942358611444213685050879909532435565557560538115559800451169781511346068595354718040093161074177630790656084338634983119923761674216585736486828621033649561066685697367700984265631255211091206684889748087668026475797168300105795957987777653316728102060602259450387791850714536145972033409634605050086975097656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0010741696549715380058,1074.1696549715380058,false,formal full-window monotone-sandwich competitor
9,fixed s=180,fixed positive charge,70232324708941118088694972004193468479718586751281584576168471625038903850432421724375568537388456988190328152841786981272498639114013765719459064419202733913193581854750030598880031114868899656851032554991874257767358333765884796970286939407387987037513488129518618994625840177296712817416507885994951410935117907656392781246571143891415006998673571112299591421487059214092491733888275316835420658872274152924667747113303010456851804941314266448494069270977526034601184049609516593097990921337249893089954559843595723935513915034905402040618687520505249757798906227057745073026610232416679120524412839479154810537444770736533232729196035925333252605769309793337369152746068805039801766330230204865401041241175208302170065096401427107776406806090868663617162688134277276262497065502365570863574501160776751622192404909292010485204736453714042766754609727122326276222142829993530741/70316609852716941417213928611894275086854596605818875335155080715822932356165276231265727507783992317993229411265329744145847822737315991972821029225457863034525007136385778177205299045322075581927332161283524094925603269577536184181333646557724341633276801341535503327532081146059418804567099671712115172772180910626405037078257009852677583694458007812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9988013480178813447,176125769636675307219013062512165926965524811505261699627092798963166108197211224729112698488477002026979581868771774509566854401849991451134453301994218156669223927258507674952191902217181370697335955121474810012562405998593512795559216773701817729091986285412670086556587149423363562636395572897866384257997896350417964786606064129733542301100728881690702850843378851531294610527301402329143868946587822205046122138910157177870285896885397023840340516309429610492175023995583970340440067470178280989767804009124857306369925686054187677819475432427865570296719192092149491374701871090898151959148712885557436038130508238714382531295988794514290277482167497289930565262871510657192040278381843212998734218814047711417273393706688145810984212674474093378730007061683061244812182726634551335650148815323306828417046775916676457351112821378090575542834460867712709092349586085532219733104953108665066652713/147314719312066863908055441839320523160589501155707587261583224258690039025538492518197281137123591105002758822705169387060164920001959208221750254594825641046844650355402369106052038281709244659351276988006646681667147945888117207771389180083084976860339002284119616130278066815108348813527782529570835177591402084676407159125018118213303747188192005523887928575277328491210937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0011955748241530163817,1195.5748241530163817,false,formal full-window monotone-sandwich competitor
10,fixed s=182,fixed positive charge,2589480881571596327496300057833080364297939850018885529929386793408581517586464714995355565439955300115861520166590175425286197971478501345137457311915092521213561789468285451452800288187122553553895716306225244493824438120331910768917421463477230305929310501238480719880132156794461637630258788182792638361721542398544006304103053691956220655735088375650323722348114981540991840738534777627079468369141445502449459551636471695574162368955603183628035521461938659913051090078473258012640291596176251029165867420240876863103148869505844670527499737293966745709097553316641852076774689299477944794307119271638861958980608994820514117527564148497865325027365347813570707096810861379187868917254507490054302637192733973551089852408429242095597826362689033719052727468907319008011711104215523797000081354221742216424351347600341699467019984426715633859088095356738358673646092012481/2592896746538498239791210736209346936865627667593862620200312614357593298745864358528241205212512312029704822780023435205785185107617101358155650205794945990125500333400185016714418831989660880466288044237944675187266446656993246971623509387920869691200412755284364864501970924967151123425406242164365255423511252147461547679085924755781888961791992187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99868260663620251298,111963137061983007677507613103458131858330117854977740086141358854412119487240796388389835859906580022742199417311007116391734380472781533588273140361122045631107603529208540104549444999051770683306147975787176600789960824933833254495890893727445290292668185440567282122160989343991940811005556186589361243082796028722318748728898111373540022342538647635156189932069459566590389466054699581592401724936831710190276944999015444270697538760579313390248749283055227248971732397235509839329084445053519764234536684586295656382932426456921131743703119231505332293212109043455659011045392471352086205259322678107847180458017585112789051349081481100067586792777467559050227170667148534738076533898357874586273450566576342921111189720210126374844636307542734063755547319388221631979266369300310241891941175892169977810496107207197164844303117878191568751426037147971966563275646483384140783024136532877524415537319/85187367062190379534545703090762794669810175284379978540925884842306420245785946486013974197562022334880434624208241076092309296507561518568659615974004263107499469865339194977880056351367686960781650048261057848079058070208837491772515996761259657244077819838690098734764189958458101064794110386698077777784685244787073089891883245037525272235628959194286835554521530866622924804687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0013143162058318480956,1314.3162058318480956,false,formal full-window monotone-sandwich competitor
