sampleIndex,windowPositionExact,windowPositionDecimal,radiusExact,radiusDecimal,activeMarginExact,activeMarginDecimal,activeMarginPpmDecimal,sign,classification
0,0,0.0,191309/500000,0.382618,-9436998635317334580803319632734373301172714238941328114320582760810928720242287352149418730806661284202771467531730120110770318387251969818158404915796340654649297900896910119538751745892315072546234980388282515526017625103260948779754229276845278945897709725650309517939196823552952066989470077857703219241500308113104507760427540586961959995973376360363523503971628180303455693549680849721877928246277286167420440444359132504666237868839931483088361408184843913398149118122688437975886840896050310546838046104043919284128864615714927562549612748043511158037274618402724282462071368482561375473991759112138550045089465269837792220481688997096477371088282734714344204882338721552179469693534412537985382127336154184206844933659633675248339430500697327088661694050909550530640628421575536474183616935564172523920766123087425257482755533499815390493368151233573/3066790441275866990266010907407690622494821070468978598562374472012477459330774347805906066753391222555697584981482849974089268039164902663272575169875330956527476615663828921702821219680802722936853035939295634450654969741478593340752827315413526932300719766585079739719376118734282309716843241403146366108731569004826838069744606645416630216421932292542449111874525763448079765383091910280199954286217689514160156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3.0771579656389206393e-06,-3.0771579656389206393,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
1,1/100,0.01,38261801/100000000,0.38261801,-276680784942395507244205065660035676483669785459574695866210036973003247846096802753597326119559266474489820890181155001275769326910660003062353241998467570306879228651203421784214450582827893637015041809845580042313115017429670049665955529000439860292650505232216419242744290130138207442751461458456547634194673805664226001487051506212584466223084315719523802625645206519504436075791588647559804575214773299471535623723021116907905989015497689437504414729496143680892822778620479292003735807621123108081620237293141462413963354192469569852250995889463038322868247074778816656348815341518818836885150538141408802384317232194902038874410997439294038645154625365660875059352853796656272938924909609649135684584405882580345716141110624403983201192508399740482032952595268944623388572411261933571180407487618003485335357264421168153266713056017609394294223628647518529555284037119840620930839648331353979593352488943987802327897067994421868887768351333518746644615233701537197329279462759184475567103785677520661484664376605086190164477421/91336210898394521679752860849915101274085306113518755590610360264260073630831957377568943686148682652901945085583712899804628456737679885858920951298609186928840162853608885033067567242766525593981153346215028660617377760796882120650987608310152279918816635637487526872174237055638551004931272752707759405357010665249539727028604829683899879455566406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3.0292562196409103767e-06,-3.0292562196409103767,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
2,1/50,0.02,19130901/50000000,0.38261802,-521385976808471834000115300119433369526844699626236805362803390857155940828895999092035509619813031218776783806237783097096202330815918237699209082547639600743131124309527725129598353976153338387119617933418380593473062728539946941583696888952692073931746473806086070861240044439197216719836326784168651756815980155431377616181886379317681978985154525694096931827302907373421116655301954055250960674332365671089734333215921844369054335411376740227508758917347871850925305060921232286159755258840202632828219326385223115466360584890766363965094630303673824469192869028541684035748039864218584783805120475922259816571640740788013619093940247894890489377670894602584545727366221402440660477524985032927357417478175238980867651418264018932957724963171102805496199264068905279202762639230298850665098650082201381723680919669526374923237368315350260837543325061471550222959530304083684952458549255625499723146012001682682422176248730496115796782498644575605351748591897153515687798152046391358933263147989189/174882249582966371413758409991144845230112448062741480909729894730928093593123264595862797169759512068979165169683883829077760189289184596590565656467249986218770357992329620881312672961097183138636506311357856214483474320047806882542111845701170442006754649029741569085470977574253242546570797485164536743465648107841060380356196216904365572585829380370672173766743995315664506051689386367797851562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.9813544716619148451e-06,-2.9813544716619148451,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
3,3/100,0.03,38261803/100000000,0.38261803,-3344021486472931622729605457297166223915223133997852568599382342513061079948878951826338461134604129979915784434406635532936965238375099356626762768645269560106972123615714988785563813761490045538412023194796543006290741808998454371945524537045880532998288686593133756297163591016023717436757936827832239790372332426804091502423849177579512727430337625326366449680956254340919807001033729214213371668274106522247958248288544734898292966694729787536545765676528954398522259827290335794245870268152265449827325808332352564928949198745170072791282448843543346041000510842944177586769114413859191089911083574338253374462357654402111076358288943511857743871093618001876782638426647679466566408880466873101115537369177390180701172973491376316799208651114246517914779750391180105947215487750726469915610820299593652015252781980833158803817510282944217573382725799013962390197810779079948549555250592026959034782024305095441868784897474845102507533010441412726110359975732271556046239332824541027587667558434057461503710693102826937720375934188203103/1139960927862779206006186528421136023964704697219271226124955315125547908255087841273817701220157173089121191285355640521445835323349172553420409315134427102069251597320744744917782599927692061901101850043849899695401606049067054749992785912515363653770951208185690234993862072098416114155892564023979889299599396805485682082625942257436690852046012878417968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.9334527217019339231e-06,-2.9334527217019339231,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
4,1/25,0.04,9565451/25000000,0.38261804,-30832354234004729792910986852394127894175299932911671386401219514612969647444821488856703111024869116830008025465185236299214670118905195248019388768336115552382362469382495444550817790033885315626189934259264058163148662174524391383622968399705887788448565282908569756894887053819664724301486737031272221255297560185535077670699289497401076884428447198110831292533406014381785188264067387684517596334418725927566762884795534042481542694500871525704216540323031811870283039909662308560918392758891552150259355418172745911741634790773239492901959514895907388378598199045436270018004841591762861508535055628035626330850041707191318898091562035574739708753686475071619874420896568760583705736232565691855748806186189860373253492413673250281401452820361079163715524466102538359261447991779085871248320777370908407030284915804255363226003390758653014050736324545261506815475990874515104652026093781676827727823038634968350772636814739652352756674176398384903680519307684630741466594849/10685083908449834878203370027070206423951814881312392069393427383442308809161121335802033758427111011243170004603557332474681019177549839177997795949129170228836689630674840357889270138176493249373464702794531439092866557405362447816617816860918827790324608459651412519151610392895402769800676532590182827795173460554085079942850676730439646574405044440005834434510913988003077541782365222550988804437103377676648451218011093288851043325848877429962158203125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.8855509697609674891e-06,-2.8855509697609674891,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
5,1/20,0.05,7652361/20000000,0.38261805,-1023396616699676921305969010634539152929402692431474537068465339281319416077257696234453307156901244861102650612872812343784063920759764437663569649068016708757543960499278004460323854995274756473270101757634356553016513957155158306806463222639013741819562929475806422765690163356615808902759920554431450114426351220174600254264201142081450826197826080559709006369442249945843164416078541344999689475260620109971677946286572053703089732843125084347375407255053365514648469374738349008662939308690683651714425349537365526288153081715437591044280429145748456621085498221223701380232836787990648677991525881188386754006259082259462813453360480031977064156137583291766814204903422709919341885515709625672751448654194200435149970747584190955828204351378404727247312613228965553132826727702451824577505992160008519070586789721906868276186999542603950916207416993093807481190455435684421011569260157920773593212132861797633452364607413027018227597468309092655194750418042745969/360649445670502467173146789353994581531953395771734571509829103258472155045053156061393457069051781704597583102347870981412394371643439210357485488770333519933373783860477290159744334434381753349919822946253451335841046892028860947035990447375072910911235624098480911925435066223144531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.8376492158390154215e-06,-2.8376492158390154215,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
6,3/50,0.06,19130903/50000000,0.38261806,-35565281391022902889797094947464334331218517002664997668264644359073713114141554797655684444013333898908038957520807540139162852459705090736567127326001657918458688327211707630251224716626228216026128259555611316783652469488549060181384250610438726205480698670332587215893122214775851292199372657031101743776925638837304607718683145310332601133518074443817405246700065457943175087478926090576028628606249520258102760468006312360401669590997874796400039941539946114595003895082836058306922554380393950840807215585550455183253782160319489517365154452027803019646807686775412919727503748286962194515342597949182698528340447121212027564991283005912611088112792389947344398615263412109445662377174671061164746906168104183777558329323512069557650387739877020214609924000058369102430340493924866486455177566638010632566144599650791753131348384586384147649596890582549214099602040252296231423228918866765287458724544677111352027543816265515613186403761650384348472157671947661892562781180978030973751732513006496527633/12748566636149145155962620024731018190421181066466971268132953137773954784190081608025549780534442626838392612295810268887139661713299248655475650476055962721064538577049682151860898745060961070882802929689174130552691599750915811208064262884303464596112678833561245601267479396274756087593647194644624113768022458639328771070239764210096272269552430854036494780386502140290261309019115287810564041137695312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.7897474599360775989e-06,-2.7897474599360775989,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
7,7/100,0.07,38261807/100000000,0.38261807,-14051262780307388277815192392881968296267281060819158058308652103597797242330400351634604570959264464091098474177494612637547851378463574538930050674547518680722237932622628526991531979940316035964646557236453190235145026378219428733213513815170761818268783475476992919158032787464201318203177622389034306154395883366112774325191407522664404688240375672719289682128829997689942544990987126893395457496834309517297863966294679633988696403137423328802792529276613936909040944952219554961323283000671772892332488462003499421270316608026414582439083787131223223058227093525206692952250389332636496217336808958463425297036318963823766926939725117656515507593772966353493869117687686552771857647984207796968650373532088723160229009400836606647903186881543124573840492378447451152057082068772766965036032540595421862455726130682282457938268464217962372553671125949382054377714053446822384797551855563927591194039073338018719612329412493674351269664277257772274703233926776304770103871570243892898808242797721164406007850190321412193112581603769388901/5124745994929846270966293658070075503128499803365534335867657154358989397791317474201120634976810332246125751921233031338144251511277040219951217592972247383016331254010014380124546280427756091268622353344793986243235516301278196556315873068523673435796572415166169788691043192676833028685700193840636443866814887494959621094814394837158033624291419982910156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.7418457020521538996e-06,-2.7418457020521538996,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
8,2/25,0.08,2391363/6250000,0.38261808,-18106081986983356716530378892968000160286367188133720838625953311875248050351330885010521693218456574392427147507454400853783444436223559420737625653136489820431587339756930068041884743362923814826023631235905724514537966034881853917955712745091198910771725287265919843910930036250933874641715332779626382789377770730407494291187402323187045331850072105658111911001976940013431164396236777430609507085358796710887336944128037774340198576782994722445004980708930992605943169433672096100451481569501540558389165033779400811250259111711398850687909173947004308560850535353341759735214385182768951656195754640416309698634181056038387101548246623932251183218583325574852340972425416335718658632517794588441979728876378970380508695072354005858678343634368438569880355343210403518260789000503179927665299732817287246259257149643918142429596263806207167737627631571285015832753392212626180157377974021422339278762857909316179/6721031460024672830676291290089594351811629334364238834421878754216169290505242368396750148250785291279427493843776271027982518217196708588626603598576873451223057054472320507397208971123037188759746095141871172382793578405550662038997169425639061090981110751601473649314286048916571233402238219899198968554172280954796916235633072305123873275781758032493414558471542418789798611140078416245053024837154019421701365808854748796659701462027411227805763846200440332094173668095798468427906804364532918494895692132409109609270103646849747747182846069335937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.6939439421872442022e-06,-2.6939439421872442022,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
9,9/100,0.09,38261809/100000000,0.38261809,-1196151580991293261534262369948219147392441001029903502771386937812937347674158034716822509436121816310044578765331509855863862917768171846427304810136375761649594993532729384439034986710799856324268615548297353043452833891361843165246674430452042304014690084367303486701163810596033248979891153701012098180732480993562814535409525916644840521619088657114776162797176096761599625623865331145265814882354181899846263994286442420039158301417536091873915811364739311669521284840557169214776226702836755077542279713104604887361392806986558655554016863657805429199060387802860301992257684484025954553224243199712893059544575417657845987833502519851701392717576476967269847968312229701189165052936493129250352365144770423297339826282637847589950581049035814614953214812837014477164668433176023881609763951784619320111906296698983184050396078262254605555024036042955037439024975668371801939125194934106596854468277817973806152053300766990993706335760229998408253914170466601970980155723534174510263596849136097190614583868637498773247915188704670164899/452053104020052191495780379321843202176134439324400910240261485757870311169828338253171578322172794498546740817092758719303441482289988230039078389256718470728041257251556264220620873808709363350707033637482197139958743423065085982214428963120928927038833931911467498701164126927176580745314741907490567129638336503304326882690666877806506818160414695739746093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.6460421803413483851e-06,-2.6460421803413483851,negative,exact rational presentation sample of the explicit degree-80 charge-character threshold polynomial
