grid,sampleIndex,characterExact,characterDecimal,thresholdRadiusDecimal,absoluteResidualDecimal,newtonIterations,classification
global,0,9/20,0.45,0.3382948807121929910184713131161333745425204863264920262624470269078382797676406944,0.0,8,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,1,91/200,0.455,0.3399436208330150379396373330861829505710533129855692046108115260350750351598653074,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,2,23/50,0.46,0.3415482061509759884633503071554865390030315557373610360036269796905141345029228219,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,3,93/200,0.465,0.3431093895376757182828811212876444145861248230492103120148746163861333281948367293,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,4,47/100,0.47,0.3446279253340911313137204061918921640229972045300575601456051368071929268533607699,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,5,19/40,0.475,0.3461045681778851370816592823249824040973981447565917114827239295650911106844976159,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,6,12/25,0.48,0.3475400719074149829637941949115525359311706019452619625762378653023903481764829083,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,7,97/200,0.485,0.3489351885404684533109876804125593993249718753373213792622632365985579209753901451,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,8,49/100,0.49,0.3502906673255413099957086506327536132729802390233717972966859958280846226128632863,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,9,99/200,0.495,0.3516072538632929447221722803458730032628585472480721324728875306232282878753287296,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,10,1/2,0.5,0.3528856892956764676820849584876749349513990649609651329082919287510917326741567361,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,11,101/200,0.505,0.3541267095601313046968006268842759055691734989800655316749954654669486578268281126,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,12,51/100,0.51,0.3553310447061478006383203571730784259921835947011949026855782283491310180389336341,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,13,103/200,0.515,0.3564994182714613984473553351144344147067953755133606579231183007712577872366795872,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,14,13/25,0.52,0.3576325467151058577408962394008394272922667470169132536092268191528090895702709809,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,15,21/40,0.525,0.3587311389045480021471246688359240292442270976119606539685650113575390425741545192,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,16,53/100,0.53,0.3597958956541380927481470302594056616047078603597487946574016075720022325008744444,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,17,107/200,0.535,0.3608275093121377248734234097782817956279516701657054932529922676064822012041451858,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,18,27/50,0.54,0.3618266633936289079362656364227465765234202581910466624567102717363170264405249957,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,19,109/200,0.545,0.3627940322566616495446278756027562694848095291072807784129735795158551895952213449,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,20,11/20,0.55,0.3637302808190610279617719358686571126988415585902941974500117799554982857274966984,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,21,111/200,0.555,0.3646360643133866668442182316508265867112636396108931222333249018882182830377051431,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,22,14/25,0.56,0.3655120280776161480534071517969445442096632489419279002381366315020414438756375502,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,23,113/200,0.565,0.3663588073792077908229040584366310962895629412745743995994808547305162009594340904,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,24,57/100,0.57,0.3671770272702861139575397585246825902097857730782371813880859256593407107377771379,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,25,23/40,0.575,0.3679673024717840462740978889295878137457314604669097011004810084975940459477924054,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,26,29/50,0.58,0.3687302372844685539871362987172104244329907051452857308601224184243045617518430356,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,27,117/200,0.585,0.3694664255248699289143300095940341153391111244265837094153910459250950174118254957,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,28,59/100,0.59,0.3701764504842287579759909959114646630275814343086225444551213600607738902408410326,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,29,119/200,0.595,0.3708608849086679064279623964901806423699104474320746635831625720803076637310082897,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,30,3/5,0.6,0.3715202909988891239928580002616915552446700466406349939734490165253293004486570423,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,31,121/200,0.605,0.3721552204277846409195623238039307809960135121034779749515568877549781108787251607,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,32,61/100,0.61,0.3727662143744429552024784961599621703787082738985147598947688750765413020203266384,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,33,123/200,0.615,0.373353803573114588965780554567456887706545801351500675290934803451762038373423937,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,34,31/50,0.62,0.373918508375787641279067568886089279584617334435209914401737539921686494359622321,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
