grid,sampleIndex,characterExact,characterDecimal,thresholdRadiusDecimal,absoluteResidualDecimal,gainRelativeToFourFifthsPpmDecimal,newtonIterations,classification
local,0,159/200,0.795,0.3826089369312902208422036543621283714575454362918600267124358192681697013554468734,1.22727336632e-91,-25.3658769211199923699084,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,1,7951/10000,0.7951,0.382609228360183964847917005747624428960240774040863871243692507538723057663273826,1.22727336632e-91,-24.6042075682504594824075,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,2,497/625,0.7952,0.3826095157874031303399386526551764358290329339967487353385513570084826078769705951,1.22727336632e-91,-23.8529968656796452218156,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,3,7953/10000,0.7953,0.3826097992147976959934011209331067199019717992479502801111147317417505046326352551,1.22727336632e-91,-23.1122399783617097326966,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,4,3977/5000,0.7954,0.3826100786442167878772533619763748282141401966803310886233610350923271395007732979,1.22727336632e-91,-22.381932073479157754252,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,5,1591/2000,0.7955,0.3826103540775086798495810822386631622499805146873792548560677623029936391706275983,1.22727336632e-91,-21.6620683204418054235929,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,6,1989/2500,0.7956,0.3826106255165207939527773173582617466050296835789704275335591527504415715777601955,1.22727336632e-91,-20.9526438908857474704072,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,7,7957/10000,0.7957,0.3826108929630997008085632358989138780542188966631003282415547296416227380304231638,0.0,-20.2536539586723248030629,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,8,3979/5000,0.7958,0.3826111564190911200128591578617225418637256490745992132311444459327582040083105118,1.22727336632e-91,-19.5650936998870924861844,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,9,7959/10000,0.7959,0.3826114158863399205305057732788606625239026947671454685664390090270941813084824285,1.22727336632e-91,-18.8869582928387881097416,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,10,199/250,0.796,0.3826116713666901210898355463541769146280816356691582504879100752635394688435298174,0.0,-18.2192429180583005496897,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,11,7961/10000,0.7961,0.3826119228619848905770942907698433935333378876755555431172400942221155202465296485,0.0,-17.5619427582976391201958,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,12,3981/5000,0.7962,0.3826121703740665484307129019319523713236457014219015968916113589926201151587996829,1.22727336632e-91,-16.9150529985289031174918,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,13,7963/10000,0.7963,0.3826124139047765650354292320814370775145485002114859299334865788967721881331353124,2.45454673265e-91,-16.2785688259432517553883,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,14,1991/2500,0.7964,0.3826126534559555621162600943498663814055951537653664216219700437606399157711327693,0.0,-15.6524854299498744924875,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,15,1593/2000,0.7965,0.3826128890294433131323233819925458489697010397462920723277004859747295779558917349,0.0,-15.0367980021749617511295,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,16,3983/5000,0.7966,0.3826131206270787436705102891839483360884255582743751963438129935166962268254598855,1.22727336632e-91,-14.4315017364606760281094,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,17,7967/10000,0.7967,0.3826133482506999318390076199127964956743520719199793643338708077774548438804220692,1.22727336632e-91,-13.8365918288641233971982,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,18,498/625,0.7968,0.3826135719021441086606701716661277520965517809354111577904562219354391755433086309,0.0,-13.2520634776563254035047,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,19,7969/10000,0.7969,0.3826137915832476584662431807433898651280599759147235732733445744052928040904788736,0.0,-12.677911883321191349711,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,20,797/1000,0.797,0.3826140072958461192874348161930425996067596335212143713552849205922109336637024632,0.0,-12.1141322485544909742159,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,21,7971/10000,0.7971,0.3826142190417741832498387095152786678407472563359100599488444462540965497437061167,1.22727336632e-91,-11.5607197782628275212208,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,22,1993/2500,0.7972,0.3826144268228656969657065074253254506506762366643051322394876090417942350258283098,1.22727336632e-91,-11.0176696795626112027902,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,23,7973/10000,0.7973,0.3826146306409536619265704351223484604366016629265408665893498775692189536109845326,0.0,-10.4849771617790330529197,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,24,3987/5000,0.7974,0.3826148304978702348957158576592485158552035503511483577313333478777570553399946433,1.22727336632e-91,-9.96263743644503917364499,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,25,319/400,0.7975,0.3826150263954467283005038271586275821230150255143280215323973365688782851265581881,1.22727336632e-91,-9.45064571730030537322224,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,26,997/1250,0.7976,0.3826152183355136106245436037698936226093635161334075255225534569432628618821366458,1.22727336632e-91,-8.94899722029021219641312,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,27,7977/10000,0.7977,0.3826154063199005067997151384118830346954529271008590353514987703194469954288064466,0.0,-8.45768716356482034690452,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,28,3989/5000,0.7978,0.3826155903504361985980415054945007337595579955092353922816626758477836197226441581,0.0,-7.97671076747784650189437,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,29,7979/10000,0.7979,0.3826157704289486250234112739617131309692393024698553589029149052488542246609291941,0.0,-7.50606325458563951887398,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,30,399/500,0.798,0.3826159465572648827031508051467785501472829391273855888347699658162377757423817691,1.22727336632e-91,-7.04573984964615703463683,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,31,7981/10000,0.7981,0.3826161187372112262794464660788634726175875394322796913040833031399842285095142301,0.0,-6.59573577961794245654373,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,32,3991/5000,0.7982,0.3826162869706130688006167470281718123812364677569376794214909722758956829915605793,0.0,-6.15604627365910234607336,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,33,7983/10000,0.7983,0.3826164512592949821122342722244086324346931307643737366235462206145501044954735358,1.22727336632e-91,-5.72666656312628419468744,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,34,499/625,0.7984,0.3826166116050806972480976928308097411975543441517525994112850081032474131822880407,0.0,-5.30759188157365459203871,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,35,1597/2000,0.7985,0.3826167680097931048210534514030948800061323463361987713565865027058441548556279868,1.22727336632e-91,-4.89881746475187778655024,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,36,3993/5000,0.7986,0.3826169204752542554136674072095451520547898649655753028395076073701611336679617366,1.22727336632e-91,-4.50033855060709463839354,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,37,7987/10000,0.7987,0.3826170690032853599687463119349653730973488441592280542579098527090190763525625394,0.0,-4.11215037927990196489297,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,38,1997/2500,0.7988,0.3826172135957067901797091254375695671889082667999553776916958808299174576450721167,1.22727336632e-91,-3.7342481931043322783835,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,39,7989/10000,0.7989,0.3826173542543380788808081613738233087523753733570625728890730480910373674369704414,0.0,-3.36662723660683391654832,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,40,799/1000,0.799,0.3826174909809979204372000526519904467582392245139532837383251545655734514593855034,0.0,-3.00928275650525156526267,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,41,7991/10000,0.7991,0.3826176237775041711348665268205643587413711401123011703004444760541551498296940796,0.0,-2.66221000170780717396963,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,42,999/1250,0.7992,0.3826177526456738495703849816429156921426787151233895901434112219577026748061457292,1.22727336632e-91,-2.3254042233120812636134,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,43,7993/10000,0.7993,0.3826178775873231370405488512543599779215120073679361864503582528063460155163750979,0.0,-1.99886067460399462715519,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,44,3997/5000,0.7994,0.3826179986042673779318377534424399658700597256311789483673800046165904774253770407,1.22727336632e-91,-1.68257461105679042269646,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,45,1599/2000,0.7995,0.382618115698321080109737408735529451375318831648576897603148750292976840709647419,1.22727336632e-91,-1.37654129033001665923371,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,46,1999/2500,0.7996,0.3826182288712979153079093221288981577883201908489687563049249732917218066060716677,2.45454673265e-91,-1.08075597226850907506901,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,47,7997/10000,0.7997,0.382618338125010719517210218421131324814408153536571529365331383645997152637056297,1.22727336632e-91,-0.795213918901374408899667,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,48,3999/5000,0.7998,0.3826184434612714933745612222772734486427874898026075552272737808967445376017272317,0.0,-0.519910394440974063610384,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,49,7999/10000,0.7999,0.3826185448818914025516667742782635405690798130036851708957344007359861013680828606,0.0,-0.254840665281908162790668,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,50,4/5,0.8,0.3826186423886807781435832743591497337831216600159038968138120840972376198266055097,1.22727336632e-91,0.0,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,51,8001/10000,0.8001,0.3826187359834491170571374441812144884190777958963067945786471192840637642853759316,0.0,0.244616330648719119197151,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,52,4001/5000,0.8002,0.3826188256680050823991944001255084379915745711647938117492789978804035825518843184,0.0,0.479013053729024642404734,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,53,8003/10000,0.8003,0.3826189114441565038647754287373815005379727276601120764774960944332664723695807378,1.22727336632e-91,0.703194894127513142755605,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,54,2001/2500,0.8004,0.382618993313710378125025456593414659194151760681365670339954316148050176956175114,0.0,0.917166574553616298438093,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,55,1601/2000,0.8005,0.3826190712784728692150302067036952130638914070395599766266546537629288838013901158,0.0,1.12093281554061447936805,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,56,4003/5000,0.8006,0.3826191453402493089214830337036427230888067315109592565157730747577924239035288372,2.45454673265e-91,1.31449833544664994098614,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
