sampleIndex,lambdaExact,lambdaDecimal,activeLowerDecimal,zeroUpperDecimal,activeMinusZeroPpmDecimal,isCertifiedChoice,classification
0,1913/2500,0.7652,1.0000000000466664868079676825561,0.99991369271539674222404299478051,86.30733126974458392468777559,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
1,382601/500000,0.765202,1.0000000000457329621088341781986,0.9999150626971922834972989586176,84.93734854067861153521958104,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
2,191301/250000,0.765204,1.0000000000447994422505237389005,0.9999164326789878247705549224547,83.56736581161747996881644578,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
3,382603/500000,0.765206,1.0000000000438659272329987113881,0.99991780266078336604381088629179,82.19738308256118918782509634,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
4,95651/125000,0.765208,1.0000000000429324170562214427786,0.99991917264257890731706685012889,80.82740035350973915459264976,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
5,76521/100000,0.76521,1.0000000000419989117201542805796,0.99992054262437444859032281396598,79.45741762446312983146661357,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
6,191303/250000,0.765212,1.0000000000410654112247595726889,0.99992191260616998986357877780308,78.08743489542136118079488579,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
7,382607/500000,0.765214,1.0000000000401319155699996673951,0.99992328258796553113683474164017,76.71745216638443316492575494,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
8,23913/31250,0.765216,1.0000000000391984247558369133773,0.99992465256976107241009070547727,75.34746943735234574620790001,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
9,382609/500000,0.765218,1.0000000000382649387822336597048,0.99992602255155661368334666931436,73.97748670832509888699039049,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
10,38261/50000,0.76522,1.0000000000373314576491522558378,0.99992739253335215495660263315146,72.6075039793026925496226863,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
11,382611/500000,0.765222,1.0000000000363979813565550516264,0.99992876251514769622985859698855,71.23752125028512669645463786,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
12,95653/125000,0.765224,1.0000000000354645099044043973117,0.99993013249694323750311456082565,69.86753852127240128983648606,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
13,382613/500000,0.765226,1.000000000034531043292662643525,0.99993150247873877877637052466274,68.49755579226451629211886221,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
14,191307/250000,0.765228,1.0000000000335975815212921412879,0.99993287246053432004962648849984,67.12757306326147166565278811,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
15,76523/100000,0.76523,1.0000000000326641245902552420129,0.99993424244232986132288245233693,65.75759033426326737278967597,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
16,47827/62500,0.765232,1.0000000000317306724995142975025,0.99993561242412540259613841617403,64.38760760526990337588132848,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
17,382617/500000,0.765234,1.0000000000307972252490316599499,0.99993698240592094386939438001112,63.01762487628137963727993874,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
18,191309/250000,0.765236,1.0000000000298637828387696819385,0.99993835238771648514265034384822,61.64764214729769611933809029,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
19,382619/500000,0.765238,1.0000000000289303452686907164424,0.99993972236951202641590630768531,60.2776594183188527844087571,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
