rankByGap,label,gapDecimal,gapSha256,isNearest,classification
1,"s=164,j=82",0.00014527650997576197022,9f33a46a41c1c8deaaafd4f7f38d3f534a215155f9b812bc254cf5d24f86b6a6,true,formal exact root-box upper-envelope gap
2,"s=166,j=83",0.00028708468680047153131,785ebf4093feaae097575bd7253000044130f66d185e742b37ea290a3248fef3,false,formal exact root-box upper-envelope gap
3,"s=168,j=84",0.00042554730531546042468,df6a475f081c3ea21553efe187403ab0f4a7cbea33310dba37783e894fe784b6,false,formal exact root-box upper-envelope gap
4,"s=170,j=85",0.00056078141156554989501,683ed16eec621f74e16b602298f7f87650ff6005747c7f9438a8045c2c8a4f4d,false,formal exact root-box upper-envelope gap
5,"s=172,j=86",0.00069289865317454611017,18eac1218462f093eec171ceab22b19b0e7ccb25d3e42193853f472c68a93809,false,formal exact root-box upper-envelope gap
6,"s=174,j=87",0.0008220055871125068936,053001d3c9d5841e9ba065c74ab7e3917713ee3c81e3cd2586b919cc29f5fefe,false,formal exact root-box upper-envelope gap
7,"s=176,j=88",0.00094820396663985553721,c53ba2016e804cc4e2b42d29bf61b5bcfb5040a2efcfb79023465d5287e67a64,false,formal exact root-box upper-envelope gap
8,"s=178,j=89",0.0010715910090540961407,32a8b06e83598fe3936104db54958df8a5c5fdb47fe6efa6745cf5d9bd3c7128,false,formal exact root-box upper-envelope gap
9,"s=180,j=90",0.0011922596457213880446,bdd9a88ddb9cef1e574be35eac48fc30451cd9342e2b89f5ffc20f0903b33ae4,false,formal exact root-box upper-envelope gap
10,"s=182,j=91",0.0013102987557458367647,48f6265a517d179f78f875cb93b80302f8730d3958776276f0d99e9dd59e9ebc,false,formal exact root-box upper-envelope gap
11,"s=184,j=92",0.0014257933845125329807,6cae2cdb3e86c7cde016f9aa14d04497b17acf6f83767ebf3b4f0f2467aebf76,false,formal exact root-box upper-envelope gap
12,"s=186,j=93",0.0015388249482347761208,f8d696be3b1a76523d51593e49595e097d7a6c7793ba80bfd167d2f46fa431da,false,formal exact root-box upper-envelope gap
13,"s=188,j=94",0.0016494714255403677258,6a02acb8d46547a923c015deb41e0d2ec2163a5031f01d9861b2f548ecac677a,false,formal exact root-box upper-envelope gap
14,"s=190,j=95",0.0017578075370453015015,f1da0f5a44aa3dcb29b17ac91df6b569c4d4be43b298f54cbf9e024c34b44abe,false,formal exact root-box upper-envelope gap
15,"s=192,j=96",0.0018639049137846808567,f0dba8739acba69f52bb53b21d8189c42dafec1b413164df3a688c1d63746d74,false,formal exact root-box upper-envelope gap
16,s>=241,0.001864970427234742954,0cc641fcbaeb0cdab1c36ba0924f514d4a4bff32ef21e0b14045153a9f46d508,false,formal exact root-box upper-envelope gap
17,"s=194,j=97",0.0019678322552994348039,b7eae0144e61fc8ec5874b4117e51d6d67c6ba382bcce326099cb7d0727981b4,false,formal exact root-box upper-envelope gap
18,"s=196,j=98",0.0020696554781126455464,78b8949c0e4691063817138a193851e83ceb1680ae270574cf2e136a5e955f0e,false,formal exact root-box upper-envelope gap
19,"s=198,j=99",0.0021694378552703931127,de73b9d9ebfc35c9e1c1d14b00ddb8c7655a05a77abb1924db12ceea6fe11194,false,formal exact root-box upper-envelope gap
20,"s=200,j=100",0.0022672401475683826567,c1357e5326c49772bf1eb96361cb6b3a9a84c81754c63adf8bbab0a5039f6968,false,formal exact root-box upper-envelope gap
21,"s=202,j=101",0.0023631207270367300631,61ec0cca843f8c6c1e2d77a59c37b15aa47a6b7d1c302844954c3fec6351e2f0,false,formal exact root-box upper-envelope gap
22,"s=204,j=102",0.0024571356932106784365,16d0a82087ac36492500fdb9dac72bd973b4f06187dc319d108466627782e10c,false,formal exact root-box upper-envelope gap
23,"s=206,j=103",0.0025493389826742882037,391dab6fe1dfaaa58cd26a28b77b417b94e0231f102666716886415d156312ac,false,formal exact root-box upper-envelope gap
24,"s=208,j=104",0.0026397824723269167011,32183743af59d0189ea7b1aa2105fb66e245dc9075dccb3a9bd315e96418e207,false,formal exact root-box upper-envelope gap
25,"s=210,j=105",0.0027285160767882476337,929ff367c0197192295049940237d68213e63410ee8878f4cfc953437460c4bb,false,formal exact root-box upper-envelope gap
26,"s=212,j=106",0.0028155878403264492268,2c1c0ae265ac156d643a36f0673e10cc7d2a93a43c6dbe409cf8d13a84b95392,false,formal exact root-box upper-envelope gap
27,"s=214,j=107",0.0029010440236654652571,75b10121a944fe77176312d138afbf424b4aadb6ee3ce56f3384321bc9cf7719,false,formal exact root-box upper-envelope gap
28,"s=216,j=108",0.0029849291860012354367,1c2217b08db6879e2e25bf7a751f97055026d9334033411a6bb07e0736e8314f,false,formal exact root-box upper-envelope gap
29,"s=218,j=109",0.0030672862625325849665,b6e7de90471cb7aa619d549d2bd2ffde448b432484e33ae483ece7809327a1ab,false,formal exact root-box upper-envelope gap
30,"s=220,j=110",0.0031481566377904230271,bb31dfe99b6ad857e70461ca1c8865ca2167c95472079be287cfcfbd2cf648d3,false,formal exact root-box upper-envelope gap
31,"s=222,j=111",0.0032275802150285712798,3653e56732be16b340a2d22e93a51b2657239bd1d13b5c4544244c4ab78ef17e,false,formal exact root-box upper-envelope gap
32,"s=224,j=112",0.0033055954819208479654,ed000dba06f8cce61360f92dcd3824702253a8dfb6309cf584bebe18038fe5c6,false,formal exact root-box upper-envelope gap
33,"s=226,j=113",0.0033822395727918180649,976a89b198dc2ac84d8e8972fd557ace6ab09fe381f2264ad7413b75805121a4,false,formal exact root-box upper-envelope gap
34,"s=228,j=114",0.0034575483275927561119,3fc5117cd3190fa76b0560c752b9536042e2fb461a097720c650ebd0b25efd5f,false,formal exact root-box upper-envelope gap
35,"s=230,j=115",0.0035315563478197387651,82594c34889d920d8dddb2fb8619df0291325c7fe5b45ec3bc6d0e0247f2fe80,false,formal exact root-box upper-envelope gap
36,"s=232,j=116",0.0036042970495572833403,4c5bbfe0735025a3965526780a7af236d114a8668000f8c330c849b6c115e1c2,false,formal exact root-box upper-envelope gap
37,"s=234,j=117",0.0036758027138184802439,aa5f6de0777a315d5e21d31add924da03858d1eea600dd85d6fb81c0cf0791bc,false,formal exact root-box upper-envelope gap
38,"s=236,j=118",0.0037461045343410445989,c47c549830a0c612a840cc720b61d4fc76a237e333b42ae79eca16bfcf3d67ea,false,formal exact root-box upper-envelope gap
39,"s=238,j=119",0.0038152326629880562918,fbc4089057af520864bde0bf81be9e2bbd493c7a9dcd524ff1eecf695ba9e287,false,formal exact root-box upper-envelope gap
40,"s=240,j=120",0.0038832162528922963605,c6927cb797f8076509eee1ca68ad502c1b24f70d5ea0e50d4bf8851ff94dd3e8,false,formal exact root-box upper-envelope gap
41,"s=239,j=121",0.014078042603280720779,eebe0224d499e5b1fa529a069fb032a2eda2eaa70c844fa04920d4429a8b1f76,false,formal exact root-box upper-envelope gap
42,"s=237,j=120",0.014096245857504422012,0e2fabbac723ff611208a925b6306b0e94a99c1ee477bfd12dfdfc7f1db32a8f,false,formal exact root-box upper-envelope gap
43,"s=235,j=119",0.014114773767629466912,c972ba4f8dc19b321e4555aab93208210801c7e321a691549613b77e783d2cbb,false,formal exact root-box upper-envelope gap
44,"s=233,j=118",0.01413363505883063584,964fb6bf01a331344bd1a4fa29d2a50cdb94ddeeb25846f055545141f8a2dc59,false,formal exact root-box upper-envelope gap
45,"s=231,j=117",0.014152838770528784561,7807af15e97b9ce7ad29463e38931221e367321b4c9e5fede9526c265d628b59,false,formal exact root-box upper-envelope gap
46,"s=229,j=116",0.014172394270616502525,4f0e5427626fc7cfb4376d4941c5ab9092b845ff1cf8c453fc4c84b171d1c4c6,false,formal exact root-box upper-envelope gap
