order,region,characterDepth,characterIndex,invariantDepth,invariantIndex,characterLowerExact,characterLowerDecimal,characterUpperExact,characterUpperDecimal,scaledALowerExact,scaledALowerDecimal,scaledAUpperExact,scaledAUpperDecimal,excludedBy,minimumCoefficientDecimal,minimumCoefficientSha256,classification
1,A>=h,1,0,0,0,1337/10000,0.1337,9367/20000,0.46835,1,1,2,2,H,0.073328091912393053471,19614237b5f51d5413a7b6cb25cd13b67c6074008f96595b26c6b844d935535a,formal exact continuous-cover leaf
2,A>=h,1,1,1,0,9367/20000,0.46835,803/1000,0.803,1,1,3/2,1.5,Q,0.069197116038209531105,cdce53517b85bcd3976a0bea05157a26ccb69ac4e3a94f710a8c32772be4e77b,formal exact continuous-cover leaf
3,A>=h,2,2,1,1,9367/20000,0.46835,25427/40000,0.635675,3/2,1.5,2,2,H,0.017852890776251042313,e8e23f5e58e41330a764b3f9fb0a85edb08880245fa76dd19e8961df123c42ee,formal exact continuous-cover leaf
4,A>=h,2,3,2,2,25427/40000,0.635675,803/1000,0.803,3/2,1.5,7/4,1.75,Q,0.037712135132446554896,9860e763549f03b78859349fcea345ee673665d2bf8f50b3a7e379167f76f0be,formal exact continuous-cover leaf
5,A>=h,3,6,2,3,25427/40000,0.635675,57547/80000,0.7193375,7/4,1.75,2,2,H,0.0039715362197199312469,4da1b8201b686d2798bb7a666f283730e605d62730802f6b77f4f90e7a34e70d,formal exact continuous-cover leaf
6,A>=h,3,7,3,6,57547/80000,0.7193375,803/1000,0.803,7/4,1.75,15/8,1.875,Q,0.016212114646835635513,ba4013913ca94bf303bd659eed2541b4ab4d770c50cee97524f73932703f502a,formal exact continuous-cover leaf
7,A>=h,4,14,3,7,57547/80000,0.7193375,121787/160000,0.76116875,15/8,1.875,2,2,H,0.00073826889330654465377,4003ea7f4ecc9ed4e6c38a90eafe54fceb73c347956b7a1141a5d656e0d066a0,formal exact continuous-cover leaf
8,A>=h,4,15,4,14,121787/160000,0.76116875,803/1000,0.803,15/8,1.875,31/16,1.9375,Q,0.0040775268654895703381,1de2d9257ca2f52b63db5fe8bc5b9c273ca0cc7e7de7c1f9277a8aa4f9fc50bb,formal exact continuous-cover leaf
9,A>=h,5,30,4,15,121787/160000,0.76116875,250267/320000,0.782084375,31/16,1.9375,2,2,H,8.2300581787559357372e-05,93d116e848e79ff2478fd0667d4da9012e58bec0de2a3860fca04f174ab04672,formal exact continuous-cover leaf
10,A>=h,6,62,5,30,250267/320000,0.782084375,507227/640000,0.7925421875,31/16,1.9375,63/32,1.96875,H,7.7433366148055161004e-08,fa37aa33bdca45a207bf7c7f33ea6572de41402ca44d0e2a36e5b16b6db6785e,formal exact continuous-cover leaf
11,A>=h,6,63,5,30,507227/640000,0.7925421875,803/1000,0.803,31/16,1.9375,63/32,1.96875,H,2.7244718020783803883e-08,1361ffb905637bafdba6e52f37afe7ee67a0bd69abf4100fd417856307bc6e81,formal exact continuous-cover leaf
12,A>=h,5,31,5,31,250267/320000,0.782084375,803/1000,0.803,63/32,1.96875,2,2,P,3.0067021701730008078e-05,5d2bdaafaf43add64c3a96e13ba07cd4de1964a614f9d6c694332f1f5f8daa97,formal exact continuous-cover leaf
13,A<=h,1,0,0,0,1337/10000,0.1337,9367/20000,0.46835,0,0,1,1,H,0.075061792602514638609,909dc74b3302d6daccb3dd39b7e0d6b410eae7d60d150e26779f21d3bf8d0db8,formal exact continuous-cover leaf
14,A<=h,1,1,0,0,9367/20000,0.46835,803/1000,0.803,0,0,1,1,H,7.6243645972134416954e-06,0ba12172ac363bc5831e5be8dc79114f68c3cc9c1fedf582b3e30dfb764db887,formal exact continuous-cover leaf
