sampleIndex,scaledAExact,scaledADecimal,scaledBLowerExact,scaledBLowerDecimal,scaledBUpperExact,scaledBUpperDecimal,classification
0,0,0,0,0,0,0,exact invariant-domain presentation sample
1,1/100,0.01,0,0,1/40000,0.000025,exact invariant-domain presentation sample
2,1/50,0.02,0,0,1/10000,0.0001,exact invariant-domain presentation sample
3,3/100,0.03,0,0,9/40000,0.000225,exact invariant-domain presentation sample
4,1/25,0.04,0,0,1/2500,0.0004,exact invariant-domain presentation sample
5,1/20,0.05,0,0,1/1600,0.000625,exact invariant-domain presentation sample
6,3/50,0.06,0,0,9/10000,0.0009,exact invariant-domain presentation sample
7,7/100,0.07,0,0,49/40000,0.001225,exact invariant-domain presentation sample
8,2/25,0.08,0,0,1/625,0.0016,exact invariant-domain presentation sample
9,9/100,0.09,0,0,81/40000,0.002025,exact invariant-domain presentation sample
10,1/10,0.1,0,0,1/400,0.0025,exact invariant-domain presentation sample
11,11/100,0.11,0,0,121/40000,0.003025,exact invariant-domain presentation sample
12,3/25,0.12,0,0,9/2500,0.0036,exact invariant-domain presentation sample
13,13/100,0.13,0,0,169/40000,0.004225,exact invariant-domain presentation sample
14,7/50,0.14,0,0,49/10000,0.0049,exact invariant-domain presentation sample
15,3/20,0.15,0,0,9/1600,0.005625,exact invariant-domain presentation sample
16,4/25,0.16,0,0,4/625,0.0064,exact invariant-domain presentation sample
17,17/100,0.17,0,0,289/40000,0.007225,exact invariant-domain presentation sample
18,9/50,0.18,0,0,81/10000,0.0081,exact invariant-domain presentation sample
19,19/100,0.19,0,0,361/40000,0.009025,exact invariant-domain presentation sample
20,1/5,0.2,0,0,1/100,0.01,exact invariant-domain presentation sample
21,21/100,0.21,0,0,441/40000,0.011025,exact invariant-domain presentation sample
22,11/50,0.22,0,0,121/10000,0.0121,exact invariant-domain presentation sample
23,23/100,0.23,0,0,529/40000,0.013225,exact invariant-domain presentation sample
24,6/25,0.24,0,0,9/625,0.0144,exact invariant-domain presentation sample
25,1/4,0.25,0,0,1/64,0.015625,exact invariant-domain presentation sample
