sampleIndex,sigmaExact,sigmaDecimal,spatialScalingExponentExact,spatialScalingExponentDecimal,classification
0,-2,-2,-1,-1,exact change-of-variables presentation sample
1,-39/20,-1.95,-19/20,-0.94999999999999996,exact change-of-variables presentation sample
2,-19/10,-1.8999999999999999,-9/10,-0.90000000000000002,exact change-of-variables presentation sample
3,-37/20,-1.8500000000000001,-17/20,-0.84999999999999998,exact change-of-variables presentation sample
4,-9/5,-1.8,-4/5,-0.80000000000000004,exact change-of-variables presentation sample
5,-7/4,-1.75,-3/4,-0.75,exact change-of-variables presentation sample
6,-17/10,-1.7,-7/10,-0.69999999999999996,exact change-of-variables presentation sample
7,-33/20,-1.6499999999999999,-13/20,-0.65000000000000002,exact change-of-variables presentation sample
8,-8/5,-1.6000000000000001,-3/5,-0.59999999999999998,exact change-of-variables presentation sample
9,-31/20,-1.55,-11/20,-0.55000000000000004,exact change-of-variables presentation sample
10,-3/2,-1.5,-1/2,-0.5,exact change-of-variables presentation sample
11,-29/20,-1.45,-9/20,-0.45000000000000001,exact change-of-variables presentation sample
12,-7/5,-1.3999999999999999,-2/5,-0.40000000000000002,exact change-of-variables presentation sample
13,-27/20,-1.3500000000000001,-7/20,-0.34999999999999998,exact change-of-variables presentation sample
14,-13/10,-1.3,-3/10,-0.29999999999999999,exact change-of-variables presentation sample
15,-5/4,-1.25,-1/4,-0.25,exact change-of-variables presentation sample
16,-6/5,-1.2,-1/5,-0.20000000000000001,exact change-of-variables presentation sample
17,-23/20,-1.1499999999999999,-3/20,-0.14999999999999999,exact change-of-variables presentation sample
18,-11/10,-1.1000000000000001,-1/10,-0.10000000000000001,exact change-of-variables presentation sample
19,-21/20,-1.05,-1/20,-0.050000000000000003,exact change-of-variables presentation sample
20,-1,-1,0,0,exact change-of-variables presentation sample
21,-19/20,-0.94999999999999996,1/20,0.050000000000000003,exact change-of-variables presentation sample
22,-9/10,-0.90000000000000002,1/10,0.10000000000000001,exact change-of-variables presentation sample
23,-17/20,-0.84999999999999998,3/20,0.14999999999999999,exact change-of-variables presentation sample
24,-4/5,-0.80000000000000004,1/5,0.20000000000000001,exact change-of-variables presentation sample
25,-3/4,-0.75,1/4,0.25,exact change-of-variables presentation sample
26,-7/10,-0.69999999999999996,3/10,0.29999999999999999,exact change-of-variables presentation sample
