N,leftFrequencySquaredExact,rightFrequencySquaredExact,outputFrequencySquaredExact,criticalSymbolRatioExact,criticalSymbolRatioDecimal,minimumInputOutputSeparationExact,minimumInputOutputSeparationDecimal,classification
1,1,2,1,1,1.0,1,1.0,formal all-index identity presentation row
2,4,5,1,1,1.0,2,2.0,formal all-index identity presentation row
3,9,10,1,1,1.0,3,3.0,formal all-index identity presentation row
4,16,17,1,1,1.0,4,4.0,formal all-index identity presentation row
5,25,26,1,1,1.0,5,5.0,formal all-index identity presentation row
6,36,37,1,1,1.0,6,6.0,formal all-index identity presentation row
7,49,50,1,1,1.0,7,7.0,formal all-index identity presentation row
8,64,65,1,1,1.0,8,8.0,formal all-index identity presentation row
9,81,82,1,1,1.0,9,9.0,formal all-index identity presentation row
10,100,101,1,1,1.0,10,10.0,formal all-index identity presentation row
11,121,122,1,1,1.0,11,11.0,formal all-index identity presentation row
12,144,145,1,1,1.0,12,12.0,formal all-index identity presentation row
13,169,170,1,1,1.0,13,13.0,formal all-index identity presentation row
14,196,197,1,1,1.0,14,14.0,formal all-index identity presentation row
15,225,226,1,1,1.0,15,15.0,formal all-index identity presentation row
16,256,257,1,1,1.0,16,16.0,formal all-index identity presentation row
17,289,290,1,1,1.0,17,17.0,formal all-index identity presentation row
18,324,325,1,1,1.0,18,18.0,formal all-index identity presentation row
19,361,362,1,1,1.0,19,19.0,formal all-index identity presentation row
20,400,401,1,1,1.0,20,20.0,formal all-index identity presentation row
21,441,442,1,1,1.0,21,21.0,formal all-index identity presentation row
22,484,485,1,1,1.0,22,22.0,formal all-index identity presentation row
23,529,530,1,1,1.0,23,23.0,formal all-index identity presentation row
24,576,577,1,1,1.0,24,24.0,formal all-index identity presentation row
25,625,626,1,1,1.0,25,25.0,formal all-index identity presentation row
26,676,677,1,1,1.0,26,26.0,formal all-index identity presentation row
27,729,730,1,1,1.0,27,27.0,formal all-index identity presentation row
28,784,785,1,1,1.0,28,28.0,formal all-index identity presentation row
29,841,842,1,1,1.0,29,29.0,formal all-index identity presentation row
30,900,901,1,1,1.0,30,30.0,formal all-index identity presentation row
31,961,962,1,1,1.0,31,31.0,formal all-index identity presentation row
32,1024,1025,1,1,1.0,32,32.0,formal all-index identity presentation row
33,1089,1090,1,1,1.0,33,33.0,formal all-index identity presentation row
34,1156,1157,1,1,1.0,34,34.0,formal all-index identity presentation row
35,1225,1226,1,1,1.0,35,35.0,formal all-index identity presentation row
36,1296,1297,1,1,1.0,36,36.0,formal all-index identity presentation row
37,1369,1370,1,1,1.0,37,37.0,formal all-index identity presentation row
38,1444,1445,1,1,1.0,38,38.0,formal all-index identity presentation row
39,1521,1522,1,1,1.0,39,39.0,formal all-index identity presentation row
40,1600,1601,1,1,1.0,40,40.0,formal all-index identity presentation row
41,1681,1682,1,1,1.0,41,41.0,formal all-index identity presentation row
42,1764,1765,1,1,1.0,42,42.0,formal all-index identity presentation row
43,1849,1850,1,1,1.0,43,43.0,formal all-index identity presentation row
44,1936,1937,1,1,1.0,44,44.0,formal all-index identity presentation row
45,2025,2026,1,1,1.0,45,45.0,formal all-index identity presentation row
46,2116,2117,1,1,1.0,46,46.0,formal all-index identity presentation row
47,2209,2210,1,1,1.0,47,47.0,formal all-index identity presentation row
48,2304,2305,1,1,1.0,48,48.0,formal all-index identity presentation row
49,2401,2402,1,1,1.0,49,49.0,formal all-index identity presentation row
50,2500,2501,1,1,1.0,50,50.0,formal all-index identity presentation row
51,2601,2602,1,1,1.0,51,51.0,formal all-index identity presentation row
52,2704,2705,1,1,1.0,52,52.0,formal all-index identity presentation row
53,2809,2810,1,1,1.0,53,53.0,formal all-index identity presentation row
54,2916,2917,1,1,1.0,54,54.0,formal all-index identity presentation row
55,3025,3026,1,1,1.0,55,55.0,formal all-index identity presentation row
56,3136,3137,1,1,1.0,56,56.0,formal all-index identity presentation row
57,3249,3250,1,1,1.0,57,57.0,formal all-index identity presentation row
58,3364,3365,1,1,1.0,58,58.0,formal all-index identity presentation row
59,3481,3482,1,1,1.0,59,59.0,formal all-index identity presentation row
60,3600,3601,1,1,1.0,60,60.0,formal all-index identity presentation row
61,3721,3722,1,1,1.0,61,61.0,formal all-index identity presentation row
62,3844,3845,1,1,1.0,62,62.0,formal all-index identity presentation row
63,3969,3970,1,1,1.0,63,63.0,formal all-index identity presentation row
64,4096,4097,1,1,1.0,64,64.0,formal all-index identity presentation row
65,4225,4226,1,1,1.0,65,65.0,formal all-index identity presentation row
66,4356,4357,1,1,1.0,66,66.0,formal all-index identity presentation row
67,4489,4490,1,1,1.0,67,67.0,formal all-index identity presentation row
68,4624,4625,1,1,1.0,68,68.0,formal all-index identity presentation row
69,4761,4762,1,1,1.0,69,69.0,formal all-index identity presentation row
70,4900,4901,1,1,1.0,70,70.0,formal all-index identity presentation row
71,5041,5042,1,1,1.0,71,71.0,formal all-index identity presentation row
72,5184,5185,1,1,1.0,72,72.0,formal all-index identity presentation row
73,5329,5330,1,1,1.0,73,73.0,formal all-index identity presentation row
74,5476,5477,1,1,1.0,74,74.0,formal all-index identity presentation row
75,5625,5626,1,1,1.0,75,75.0,formal all-index identity presentation row
76,5776,5777,1,1,1.0,76,76.0,formal all-index identity presentation row
77,5929,5930,1,1,1.0,77,77.0,formal all-index identity presentation row
78,6084,6085,1,1,1.0,78,78.0,formal all-index identity presentation row
79,6241,6242,1,1,1.0,79,79.0,formal all-index identity presentation row
