sampleIndex,deltaExact,deltaDecimal,nearSaturationMeasureSquaredExact,nearSaturationMeasureDecimal,classification
0,0/1,0,0/1,0,exact squared-measure presentation row
1,1/400,0.0025000000000000001,799/160000,0.070666470125512845,exact squared-measure presentation row
2,1/200,0.0050000000000000001,399/40000,0.099874921777190886,exact squared-measure presentation row
3,3/400,0.0074999999999999997,2391/160000,0.12224463178397652,exact squared-measure presentation row
4,1/100,0.01,199/10000,0.14106735979665885,exact squared-measure presentation row
5,1/80,0.012500000000000001,159/6400,0.15761900266148116,exact squared-measure presentation row
6,3/200,0.014999999999999999,1191/40000,0.17255433926737399,exact squared-measure presentation row
7,7/400,0.017500000000000002,5551/160000,0.18626258346753383,exact squared-measure presentation row
8,1/50,0.02,99/2500,0.198997487421324,exact squared-measure presentation row
9,9/400,0.022499999999999999,7119/160000,0.21093541665637849,exact squared-measure presentation row
10,1/40,0.025000000000000001,79/1600,0.22220486043288973,exact squared-measure presentation row
11,11/400,0.0275,8679/160000,0.23290287675337976,exact squared-measure presentation row
12,3/100,0.029999999999999999,591/10000,0.24310491562286435,exact squared-measure presentation row
13,13/400,0.032500000000000001,10231/160000,0.25287101455089706,exact squared-measure presentation row
14,7/200,0.035000000000000003,2751/40000,0.26224988083886713,exact squared-measure presentation row
15,3/80,0.037499999999999999,471/6400,0.27128168017763382,exact squared-measure presentation row
16,1/25,0.040000000000000001,49/625,0.27999999999999997,exact squared-measure presentation row
17,17/400,0.042500000000000003,13311/160000,0.28843326784544115,exact squared-measure presentation row
18,9/200,0.044999999999999998,3519/40000,0.2966057989992778,exact squared-measure presentation row
19,19/400,0.047500000000000001,14839/160000,0.30453858540421441,exact squared-measure presentation row
20,1/20,0.050000000000000003,39/400,0.31224989991991992,exact squared-measure presentation row
21,21/400,0.052499999999999998,16359/160000,0.31975576617162044,exact squared-measure presentation row
22,11/200,0.055,4279/40000,0.32707032882852582,exact squared-measure presentation row
23,23/400,0.057500000000000002,17871/160000,0.33420614895599993,exact squared-measure presentation row
24,3/50,0.059999999999999998,291/2500,0.3411744421846396,exact squared-measure presentation row
25,1/16,0.0625,31/256,0.34798527267687634,exact squared-measure presentation row
26,13/200,0.065000000000000002,5031/40000,0.35464771252610666,exact squared-measure presentation row
27,27/400,0.067500000000000004,20871/160000,0.36116997383503519,exact squared-measure presentation row
28,7/100,0.070000000000000007,1351/10000,0.36755951898978212,exact squared-measure presentation row
29,29/400,0.072499999999999995,22359/160000,0.37382315337603156,exact squared-measure presentation row
30,3/40,0.074999999999999997,231/1600,0.37996710383926657,exact squared-measure presentation row
31,31/400,0.077499999999999999,23839/160000,0.38599708548122486,exact squared-measure presentation row
32,2/25,0.080000000000000002,96/625,0.39191835884530846,exact squared-measure presentation row
33,33/400,0.082500000000000004,25311/160000,0.39773577912981378,exact squared-measure presentation row
34,17/200,0.085000000000000006,6511/40000,0.40345383874738383,exact squared-measure presentation row
35,7/80,0.087499999999999994,1071/6400,0.4090767042988393,exact squared-measure presentation row
36,9/100,0.089999999999999997,1719/10000,0.41460824883255759,exact squared-measure presentation row
37,37/400,0.092499999999999999,28231/160000,0.4200520801043604,exact squared-measure presentation row
38,19/200,0.095000000000000001,7239/40000,0.42541156542811576,exact squared-measure presentation row
39,39/400,0.097500000000000003,29679/160000,0.43068985360697787,exact squared-measure presentation row
40,1/10,0.10000000000000001,19/100,0.43588989435406733,exact squared-measure presentation row
41,41/400,0.10249999999999999,31119/160000,0.44101445554539365,exact squared-measure presentation row
42,21/200,0.105,7959/40000,0.44606613859381888,exact squared-measure presentation row
43,43/400,0.1075,32551/160000,0.45104739218844841,exact squared-measure presentation row
44,11/100,0.11,2079/10000,0.45596052460711989,exact squared-measure presentation row
45,9/80,0.1125,1359/6400,0.46080771477916904,exact squared-measure presentation row
46,23/200,0.115,8671/40000,0.46559102225021476,exact squared-measure presentation row
47,47/400,0.11749999999999999,35391/160000,0.47031239617939052,exact squared-measure presentation row
48,3/25,0.12,141/625,0.4749736834815167,exact squared-measure presentation row
49,49/400,0.1225,36799/160000,0.47957663621156527,exact squared-measure presentation row
50,1/8,0.125,15/64,0.48412291827592713,exact squared-measure presentation row
51,51/400,0.1275,38199/160000,0.48861411154406909,exact squared-measure presentation row
52,13/100,0.13,2431/10000,0.49305172142484199,exact squared-measure presentation row
53,53/400,0.13250000000000001,39591/160000,0.49743718196371289,exact squared-measure presentation row
54,27/200,0.13500000000000001,10071/40000,0.50177186051033196,exact squared-measure presentation row
55,11/80,0.13750000000000001,1639/6400,0.50605706199992906,exact squared-measure presentation row
56,7/50,0.14000000000000001,651/2500,0.51029403288692299,exact squared-measure presentation row
57,57/400,0.14249999999999999,42351/160000,0.51448396476469505,exact squared-measure presentation row
58,29/200,0.14499999999999999,10759/40000,0.51862799770162815,exact squared-measure presentation row
59,59/400,0.14749999999999999,43719/160000,0.52272722332015575,exact squared-measure presentation row
60,3/20,0.14999999999999999,111/400,0.52678268764263692,exact squared-measure presentation row
61,61/400,0.1525,45079/160000,0.5307953937253036,exact squared-measure presentation row
62,31/200,0.155,11439/40000,0.53476630409927661,exact squared-measure presentation row
63,63/400,0.1575,46431/160000,0.53869634303566605,exact squared-measure presentation row
64,4/25,0.16,184/625,0.54258639865002145,exact squared-measure presentation row
65,13/80,0.16250000000000001,1911/6400,0.54643732485985985,exact squared-measure presentation row
66,33/200,0.16500000000000001,12111/40000,0.55024994320762999,exact squared-measure presentation row
67,67/400,0.16750000000000001,49111/160000,0.55402504456026169,exact squared-measure presentation row
68,17/100,0.17000000000000001,3111/10000,0.55776339069537362,exact squared-measure presentation row
69,69/400,0.17249999999999999,50439/160000,0.56146571578325244,exact squared-measure presentation row
70,7/40,0.17499999999999999,511/1600,0.56513272777286583,exact squared-measure presentation row
71,71/400,0.17749999999999999,51759/160000,0.56876510968940419,exact squared-measure presentation row
72,9/50,0.17999999999999999,819/2500,0.5723635208501674,exact squared-measure presentation row
73,73/400,0.1825,53071/160000,0.57592859800499574,exact squared-measure presentation row
74,37/200,0.185,13431/40000,0.57946095640690065,exact squared-measure presentation row
75,3/16,0.1875,87/256,0.58296119081805098,exact squared-measure presentation row
76,19/100,0.19,3439/10000,0.58642987645583,exact squared-measure presentation row
77,77/400,0.1925,55671/160000,0.58986756988327471,exact squared-measure presentation row
78,39/200,0.19500000000000001,14079/40000,0.59327480984784786,exact squared-measure presentation row
79,79/400,0.19750000000000001,56959/160000,0.59665211807216434,exact squared-measure presentation row
80,1/5,0.20000000000000001,9/25,0.59999999999999998,exact squared-measure presentation row
81,81/400,0.20250000000000001,58239/160000,0.60331894550063647,exact squared-measure presentation row
82,41/200,0.20499999999999999,14719/40000,0.60660942953435859,exact squared-measure presentation row
83,83/400,0.20749999999999999,59511/160000,0.60987191278169228,exact squared-measure presentation row
84,21/100,0.20999999999999999,3759/10000,0.61310684223877332,exact squared-measure presentation row
85,17/80,0.21249999999999999,2431/6400,0.61631465178105249,exact squared-measure presentation row
