N,saturationNormalGainSquaredExact,saturationNormalGainDecimal,saturationPlanarGainSquaredExact,saturationPlanarGainDecimal,halfLimitNormalGainSquaredExact,halfLimitNormalGainDecimal,halfLimitPlanarGainSquaredExact,halfLimitPlanarGainDecimal,classification
1,1/1,1,1/2,0.70710678118654757,1/2,0.70710678118654757,2/5,0.63245553203367588,exact all-index family presentation row
2,1/1,1,1/5,0.44721359549995793,1/2,0.70710678118654757,9/26,0.58834840541455213,exact all-index family presentation row
3,1/1,1,1/10,0.31622776601683794,1/2,0.70710678118654757,8/25,0.56568542494923801,exact all-index family presentation row
4,1/1,1,1/17,0.24253562503633297,1/2,0.70710678118654757,25/82,0.55215763037423271,exact all-index family presentation row
5,1/1,1,1/26,0.19611613513818404,1/2,0.70710678118654757,18/61,0.54321447625511121,exact all-index family presentation row
6,1/1,1,1/37,0.16439898730535729,1/2,0.70710678118654757,49/170,0.53687549219315933,exact all-index family presentation row
7,1/1,1,1/50,0.1414213562373095,1/2,0.70710678118654757,32/113,0.53215208419019144,exact all-index family presentation row
8,1/1,1,1/65,0.12403473458920845,1/2,0.70710678118654757,81/290,0.52849819756323313,exact all-index family presentation row
9,1/1,1,1/82,0.11043152607484655,1/2,0.70710678118654757,50/181,0.52558833122763671,exact all-index family presentation row
10,1/1,1,1/101,0.099503719020998915,1/2,0.70710678118654757,121/442,0.52321664356994346,exact all-index family presentation row
11,1/1,1,1/122,0.090535746042518531,1/2,0.70710678118654757,72/265,0.52124669131568324,exact all-index family presentation row
12,1/1,1,1/145,0.083045479853739973,1/2,0.70710678118654757,169/626,0.51958449853533051,exact all-index family presentation row
13,1/1,1,1/170,0.076696498884737049,1/2,0.70710678118654757,98/365,0.51816324713832373,exact all-index family presentation row
14,1/1,1,1/197,0.071247049987909636,1/2,0.70710678118654757,225/842,0.51693413759668316,exact all-index family presentation row
15,1/1,1,1/226,0.06651901052377393,1/2,0.70710678118654757,128/481,0.51586070417532881,exact all-index family presentation row
16,1/1,1,1/257,0.062378286155180533,1/2,0.70710678118654757,289/1090,0.51491515289307521,exact all-index family presentation row
17,1/1,1,1/290,0.058722021951470346,1/2,0.70710678118654757,162/613,0.51407593017978592,exact all-index family presentation row
18,1/1,1,1/325,0.055470019622522911,1/2,0.70710678118654757,361/1370,0.51332606561038419,exact all-index family presentation row
19,1/1,1,1/362,0.052558833122763667,1/2,0.70710678118654757,200/761,0.51265201585101605,exact all-index family presentation row
20,1/1,1,1/401,0.049937616943892232,1/2,0.70710678118654757,441/1682,0.51204284154887925,exact all-index family presentation row
21,1/1,1,1/442,0.047565149415449412,1/2,0.70710678118654757,242/925,0.51148961047280483,exact all-index family presentation row
22,1/1,1,1/485,0.045407660918649978,1/2,0.70710678118654757,529/2026,0.51098495755837847,exact all-index family presentation row
23,1/1,1,1/530,0.043437224276306939,1/2,0.70710678118654757,288/1105,0.51052275577382045,exact all-index family presentation row
24,1/1,1,1/577,0.041630544712181326,1/2,0.70710678118654757,625/2402,0.51009786656298273,exact all-index family presentation row
25,1/1,1,1/626,0.039968038348871575,1/2,0.70710678118654757,338/1301,0.50970594829558502,exact all-index family presentation row
26,1/1,1,1/677,0.038433122101204392,1/2,0.70710678118654757,729/2810,0.50934330758556789,exact all-index family presentation row
27,1/1,1,1/730,0.037011660509880265,1/2,0.70710678118654757,392/1513,0.50900678269041888,exact all-index family presentation row
28,1/1,1,1/785,0.03569153051241248,1/2,0.70710678118654757,841/3250,0.50869365119807697,exact all-index family presentation row
29,1/1,1,1/842,0.034462275839778879,1/2,0.70710678118654757,450/1741,0.5084015562986306,exact all-index family presentation row
30,1/1,1,1/901,0.033314830232638482,1/2,0.70710678118654757,961/3722,0.50812844741833318,exact all-index family presentation row
31,1/1,1,1/962,0.032241294010958051,1/2,0.70710678118654757,512/1985,0.50787253205516136,exact all-index family presentation row
32,1/1,1,1/1025,0.031234752377721213,1/2,0.70710678118654757,1089/4226,0.50763223642573141,exact all-index family presentation row
33,1/1,1,1/1090,0.030289126640769135,1/2,0.70710678118654757,578/2245,0.50740617309891534,exact all-index family presentation row
34,1/1,1,1/1157,0.029399051601892739,1/2,0.70710678118654757,1225/4762,0.50719311421084767,exact all-index family presentation row
35,1/1,1,1/1226,0.028559773898876994,1/2,0.70710678118654757,648/2521,0.50699196916998202,exact all-index family presentation row
36,1/1,1,1/1297,0.027767067240353285,1/2,0.70710678118654757,1369/5330,0.50680176599806925,exact all-index family presentation row
37,1/1,1,1/1370,0.027017161347914959,1/2,0.70710678118654757,722/2813,0.50662163563367835,exact all-index family presentation row
38,1/1,1,1/1445,0.026306682088232818,1/2,0.70710678118654757,1521/5930,0.50645079866371656,exact all-index family presentation row
39,1/1,1,1/1522,0.025632600792550801,1/2,0.70710678118654757,800/3121,0.50628855405584572,exact all-index family presentation row
40,1/1,1,1/1601,0.024992191160203066,1/2,0.70710678118654757,1681/6562,0.50613426954844498,exact all-index family presentation row
41,1/1,1,1/1682,0.024382992454708534,1/2,0.70710678118654757,882/3445,0.50598737342048161,exact all-index family presentation row
42,1/1,1,1/1765,0.023802777946288958,1/2,0.70710678118654757,1849/7226,0.50584734741555304,exact all-index family presentation row
43,1/1,1,1/1850,0.023249527748763855,1/2,0.70710678118654757,968/3785,0.50571372063560005,exact all-index family presentation row
44,1/1,1,1/1937,0.022721405353294154,1/2,0.70710678118654757,2025/7922,0.50558606425273844,exact all-index family presentation row
45,1/1,1,1/2026,0.022216737285146889,1/2,0.70710678118654757,1058/4141,0.50546398691413574,exact all-index family presentation row
46,1/1,1,1/2117,0.02173399540921557,1/2,0.70710678118654757,2209/8650,0.50534713073624216,exact all-index family presentation row
47,1/1,1,1/2210,0.021271781490575854,1/2,0.70710678118654757,1152/4513,0.50523516780204192,exact all-index family presentation row
