step,L,scaledTimeTau,physicalTimeNuEqualsOne,normalizedOutput,normalizedBlockNormProduct,exactNormRatio
0,64,0,0,1,1,1
1,64,0.050000000000000003,1.2207031250000001e-05,0.79668542570276635,0.79668542570276635,1
2,64,0.10000000000000001,2.4414062500000001e-05,0.63935240378414404,0.63935240378414404,1
3,64,0.14999999999999999,3.6621093749999999e-05,0.51672299071495209,0.51672299071495209,1
4,64,0.20000000000000001,4.8828125000000003e-05,0.42045167138776074,0.42045167138776074,1
5,64,0.25,6.103515625e-05,0.3443306516065992,0.3443306516065992,1
6,64,0.29999999999999999,7.3242187499999997e-05,0.28371703062497361,0.28371703062497361,1
7,64,0.34999999999999998,8.5449218749999995e-05,0.23511852758304272,0.23511852758304272,1
8,64,0.40000000000000002,9.7656250000000005e-05,0.19589281482569401,0.19589281482569401,1
9,64,0.45000000000000001,0.00010986328125,0.16402848552408511,0.16402848552408511,1
10,64,0.5,0.0001220703125,0.13798485897710411,0.13798485897710411,1
11,64,0.55000000000000004,0.00013427734375000001,0.11657432914371266,0.11657432914371266,1
12,64,0.59999999999999998,0.00014648437499999999,0.098875578951648196,0.098875578951648196,1
13,64,0.65000000000000002,0.00015869140625000001,0.084169268451349741,0.084169268451349741,1
14,64,0.69999999999999996,0.00017089843749999999,0.071890148292281464,0.071890148292281464,1
15,64,0.75,0.00018310546875,0.061591225504337009,0.061591225504337009,1
16,64,0.80000000000000004,0.00019531250000000001,0.052916809605754574,0.052916809605754574,1
17,64,0.84999999999999998,0.00020751953124999999,0.045582130320788825,0.045582130320788825,1
18,64,0.90000000000000002,0.00021972656250000001,0.039357840441437843,0.039357840441437843,1
19,64,0.94999999999999996,0.00023193359374999999,0.034058167242064251,0.034058167242064251,1
20,64,1,0.000244140625,0.029531802132760254,0.029531802132760254,1
21,64,1.05,0.00025634765625000001,0.02565485565796519,0.02565485565796519,1
22,64,1.1000000000000001,0.00026855468750000002,0.02232537830959274,0.02232537830959274,1
23,64,1.1499999999999999,0.00028076171874999998,0.019459074671567326,0.019459074671567326,1
24,64,1.2,0.00029296874999999999,0.016985931871122083,0.016985931871122083,1
25,64,1.25,0.00030517578125,0.014847552332688163,0.014847552332688163,1
26,64,1.3,0.00031738281250000001,0.012995032011201748,0.012995032011201748,1
27,64,1.3500000000000001,0.00032958984375000002,0.011387263394552358,0.011387263394552358,1
28,64,1.3999999999999999,0.00034179687499999998,0.0099895710701367567,0.0099895710701367567,1
29,64,1.45,0.00035400390624999999,0.0087726090655482324,0.0087726090655482324,1
30,64,1.5,0.0003662109375,0.0077114653357182334,0.0077114653357182334,1
31,64,1.55,0.00037841796875000001,0.0067849310238871693,0.0067849310238871693,1
32,64,1.6000000000000001,0.00039062500000000002,0.0059749014604234497,0.0059749014604234497,1
33,64,1.6499999999999999,0.00040283203124999998,0.0052658830110155598,0.0052658830110155598,1
34,64,1.7,0.00041503906249999999,0.0046445853840149671,0.0046445853840149671,1
35,64,1.75,0.00042724609375,0.0040995832569226624,0.0040995832569226624,1
36,64,1.8,0.00043945312500000001,0.0036210343835348159,0.0036210343835348159,1
37,64,1.8500000000000001,0.00045166015625000002,0.0032004439203422576,0.0032004439203422576,1
38,64,1.8999999999999999,0.00046386718749999998,0.0028304667321036978,0.0028304667321036978,1
39,64,1.95,0.00047607421874999999,0.0025047410295159184,0.0025047410295159184,1
40,64,2,0.00048828125,0.0022177479532646377,0.0022177479532646377,1
41,64,2.0499999999999998,0.00050048828124999996,0.0019646927221240763,0.0019646927221240763,1
42,64,2.1000000000000001,0.00051269531250000002,0.0017414037645592808,0.0017414037645592808,1
43,64,2.1499999999999999,0.00052490234374999998,0.0015442468968105247,0.0015442468968105247,1
44,64,2.2000000000000002,0.00053710937500000004,0.0013700521291635103,0.0013700521291635103,1
45,64,2.25,0.00054931640625,0.0012160511019814585,0.0012160511019814585,1
46,64,2.2999999999999998,0.00056152343749999996,0.001079823494306634,0.001079823494306634,1
47,64,2.3500000000000001,0.00057373046875000002,0.00095925102624145838,0.00095925102624145838,1
48,64,2.3999999999999999,0.00058593749999999998,0.0008524779043160561,0.0008524779043160561,1
49,64,2.4500000000000002,0.00059814453125000004,0.00075787674644241156,0.00075787674644241156,1
