exponent,L,scaleRatioNumerator,scaleRatioDenominator,scaleRatioDecimal,capTangentNumerator,capTangentDenominator,capAngleRadiansDecimal,fixedOutputNormRatioNumerator,fixedOutputNormRatioDenominator,fixedOutputNormRatioDecimal,orderedPairs
0,1,1,1,1,1,1,0.78539816339744828,1,1,1,2
1,2,1,2,0.5,1,2,0.46364760900080615,1,1,1,4
2,4,1,4,0.25,1,4,0.24497866312686414,1,1,1,8
3,8,1,8,0.125,1,8,0.12435499454676144,1,1,1,16
4,16,1,16,0.0625,1,16,0.06241880999595735,1,1,1,32
5,32,1,32,0.03125,1,32,0.031239833430268277,1,1,1,64
6,64,1,64,0.015625,1,64,0.015623728620476831,1,1,1,128
7,128,1,128,0.0078125,1,128,0.0078123410601011111,1,1,1,256
8,256,1,256,0.00390625,1,256,0.0039062301319669718,1,1,1,512
9,512,1,512,0.001953125,1,512,0.0019531225164788188,1,1,1,1024
10,1024,1,1024,0.0009765625,1,1024,0.00097656218955931946,1,1,1,2048
11,2048,1,2048,0.00048828125,1,2048,0.00048828121119489829,1,1,1,4096
12,4096,1,4096,0.000244140625,1,4096,0.00024414062014936177,1,1,1,8192
13,8192,1,8192,0.0001220703125,1,8192,0.00012207031189367021,1,1,1,16384
14,16384,1,16384,6.103515625e-05,1,16384,6.1035156174208773e-05,1,1,1,32768
15,32768,1,32768,3.0517578125e-05,1,32768,3.0517578115526096e-05,1,1,1,65536
16,65536,1,65536,1.52587890625e-05,1,65536,1.5258789061315762e-05,1,1,1,131072
17,131072,1,131072,7.62939453125e-06,1,131072,7.62939453110197e-06,1,1,1,262144
18,262144,1,262144,3.814697265625e-06,1,262144,3.8146972656064961e-06,1,1,1,524288
