exponent,L,observationTime,duhamelCoefficient,scaledCoefficient,certifiedScaledLower,certifiedScaledUpper
0,1,0.34657359027997264,0.17677669529663689,0.17677669529663689,0.03125,0.5
1,2,0.086643397569993161,0.097547624368551869,0.19509524873710374,0.03125,0.5
2,4,0.02166084939249829,0.0477596799986304,0.1910387199945216,0.03125,0.5
3,8,0.0054152123481245725,0.023210650330055534,0.18568520264044427,0.03125,0.5
4,16,0.0013538030870311431,0.011389971481817529,0.18223954370908046,0.03125,0.5
5,32,0.00033845077175778578,0.0056355014111264248,0.18033604515604559,0.03125,0.5
6,64,8.4612692939446446e-05,0.0028021997385291588,0.17934078326586617,0.03125,0.5
7,128,2.1153173234861612e-05,0.0013971288528784335,0.17883249316843949,0.03125,0.5
8,256,5.2882933087154029e-06,0.00069756137279050167,0.17857571143436843,0.03125,0.5
9,512,1.3220733271788507e-06,0.00034852864248679496,0.17844666495323902,0.03125,0.5
10,1024,3.3051833179471268e-07,0.00017420115064116005,0.17838197825654789,0.03125,0.5
11,2048,8.262958294867817e-08,8.70847627442703e-05,0.17834959410026557,0.03125,0.5
12,4096,2.0657395737169542e-08,4.3538425739053395e-05,0.17833339182716271,0.03125,0.5
13,8192,5.1643489342923856e-09,2.1768223650237953e-05,0.17832528814274931,0.03125,0.5
14,16384,1.2910872335730964e-09,1.0883864481426206e-05,0.17832123566368696,0.03125,0.5
15,32768,3.227718083932741e-10,5.4418703999315078e-06,0.17831920926495565,0.03125,0.5
16,65536,8.0692952098318525e-11,2.7209197391630803e-06,0.17831819602579163,0.03125,0.5
