exponent,L,blockLower,blockUpper,xMinusOneLower,xMinusOneUpper,hOneHalfLower,hOneHalfUpper,heatBesovUniformLower,periodicBmoUniformLower
0,1,0.03125,0.5,0.015625,1,0.011048543456039804,0.35355339059327373,0.0031253661093035945,0.00062959727355664822
1,2,0.0078125,0.125,0.0078125,0.5,0.0013810679320049755,0.044194173824159216,0.0031253661093035945,0.00062959727355664822
2,4,0.001953125,0.03125,0.00390625,0.25,0.00017263349150062194,0.005524271728019902,0.0031253661093035945,0.00062959727355664822
3,8,0.00048828125,0.0078125,0.001953125,0.125,2.1579186437577742e-05,0.00069053396600248776,0.0031253661093035945,0.00062959727355664822
4,16,0.0001220703125,0.001953125,0.0009765625,0.0625,2.6973983046972178e-06,8.6316745750310969e-05,0.0031253661093035945,0.00062959727355664822
5,32,3.0517578125e-05,0.00048828125,0.00048828125,0.03125,3.3717478808715222e-07,1.0789593218788871e-05,0.0031253661093035945,0.00062959727355664822
6,64,7.62939453125e-06,0.0001220703125,0.000244140625,0.015625,4.2146848510894028e-08,1.3486991523486089e-06,0.0031253661093035945,0.00062959727355664822
7,128,1.9073486328125e-06,3.0517578125e-05,0.0001220703125,0.0078125,5.2683560638617535e-09,1.6858739404357611e-07,0.0031253661093035945,0.00062959727355664822
8,256,4.76837158203125e-07,7.62939453125e-06,6.103515625e-05,0.00390625,6.5854450798271919e-10,2.1073424255447014e-08,0.0031253661093035945,0.00062959727355664822
9,512,1.1920928955078125e-07,1.9073486328125e-06,3.0517578125e-05,0.001953125,8.2318063497839899e-11,2.6341780319308768e-09,0.0031253661093035945,0.00062959727355664822
10,1024,2.9802322387695312e-08,4.76837158203125e-07,1.52587890625e-05,0.0009765625,1.0289757937229987e-11,3.2927225399135959e-10,0.0031253661093035945,0.00062959727355664822
11,2048,7.4505805969238281e-09,1.1920928955078125e-07,7.62939453125e-06,0.00048828125,1.2862197421537484e-12,4.1159031748919949e-11,0.0031253661093035945,0.00062959727355664822
12,4096,1.862645149230957e-09,2.9802322387695312e-08,3.814697265625e-06,0.000244140625,1.6077746776921855e-13,5.1448789686149937e-12,0.0031253661093035945,0.00062959727355664822
13,8192,4.6566128730773926e-10,7.4505805969238281e-09,1.9073486328125e-06,0.0001220703125,2.0097183471152319e-14,6.4310987107687421e-13,0.0031253661093035945,0.00062959727355664822
14,16384,1.1641532182693481e-10,1.862645149230957e-09,9.5367431640625e-07,6.103515625e-05,2.5121479338940399e-15,8.0388733884609276e-14,0.0031253661093035945,0.00062959727355664822
15,32768,2.9103830456733704e-11,4.6566128730773926e-10,4.76837158203125e-07,3.0517578125e-05,3.1401849173675498e-16,1.0048591735576159e-14,0.0031253661093035945,0.00062959727355664822
16,65536,7.2759576141834259e-12,1.1641532182693481e-10,2.384185791015625e-07,1.52587890625e-05,3.9252311467094373e-17,1.2560739669470199e-15,0.0031253661093035945,0.00062959727355664822
