level,L,sampledRudinShapiroMaximum,sampledRudinShapiroOverSqrtL,exactFullPolynomialUpperOverSqrtL,allPositiveMaximumOverSqrtL,samplesOnUnitCircle
0,1,1,1,1.4142135623730951,1,16
1,2,2,1.4142135623730949,1.4142135623730951,1.4142135623730951,32
2,4,2.6594569044911531,1.3297284522455766,1.4142135623730951,2,64
3,8,4,1.4142135623730949,1.4142135623730951,2.8284271247461903,128
4,16,5.5314989347877388,1.3828747336969347,1.4142135623730951,4,256
5,32,8,1.4142135623730949,1.4142135623730951,5.6568542494923806,512
6,64,11.308691095940777,1.4135863869925971,1.4142135623730951,8,1024
7,128,16,1.4142135623730949,1.4142135623730951,11.313708498984761,2048
8,256,22.626799930322964,1.4141749956451852,1.4142135623730951,16,4096
9,512,32,1.4142135623730949,1.4142135623730951,22.627416997969522,8192
10,1024,45.253967572448857,1.4141864866390268,1.4142135623730951,32,16384
11,2048,64,1.4142135623730949,1.4142135623730951,45.254833995939045,32768
12,4096,90.509091187332686,1.4142045498020732,1.4142135623730951,64,65536
13,8192,128,1.4142135623730949,1.4142135623730951,90.509667991878089,131072
14,16384,181.01915780136298,1.4142121703231483,1.4142135623730951,128,262144
15,32768,256,1.4142135623730949,1.4142135623730951,181.01933598375618,524288
16,65536,362.03748709240034,1.4142089339546888,1.4142135623730951,256,1048576
