levelL,levelM,L,M,H,observationTime,additionalHeatTime,heatWitness,scaledHeatWitness,certifiedScaledHeatLower,certifiedScaledBmoLower
0,0,1,1,4,0.02166084939249829,0.25,0.0057090044693639359,0.022836017877455744,0.0012980013051190082,0.00030765513656419013
0,1,1,2,8,0.0054152123481245725,0.0625,0.0017688244015291379,0.014150595212233103,0.0012980013051190082,0.00030765513656419013
0,2,1,4,16,0.0013538030870311431,0.015625,0.00066661913743779196,0.010665906199004671,0.0012980013051190082,0.00030765513656419013
0,3,1,8,32,0.00033845077175778578,0.00390625,0.00028482261837228611,0.0091143237879131554,0.0012980013051190082,0.00030765513656419013
0,4,1,16,64,8.4612692939446446e-05,0.0009765625,0.00013099636895898484,0.0083837676133750299,0.0012980013051190082,0.00030765513656419013
0,5,1,32,128,2.1153173234861612e-05,0.000244140625,6.2730588561180008e-05,0.008029515335831041,0.0012980013051190082,0.00030765513656419013
0,6,1,64,256,5.2882933087154029e-06,6.103515625e-05,3.0684029642946117e-05,0.0078551115885942061,0.0012980013051190082,0.00030765513656419013
0,7,1,128,512,1.3220733271788507e-06,1.52587890625e-05,1.5173019788517267e-05,0.0077685861317208409,0.0012980013051190082,0.00030765513656419013
0,8,1,256,1024,3.3051833179471268e-07,3.814697265625e-06,7.5444257709502526e-06,0.0077254919894530587,0.0012980013051190082,0.00030765513656419013
0,9,1,512,2048,8.262958294867817e-08,9.5367431640625e-07,3.7617124025359303e-06,0.0077039870003935852,0.0012980013051190082,0.00030765513656419013
0,10,1,1024,4096,2.0657395737169542e-08,2.384185791015625e-07,1.8782336470560556e-06,0.0076932450183416039,0.0012980013051190082,0.00030765513656419013
1,0,2,1,8,0.0054152123481245725,0.25,0.0027895442345536648,0.022316353876429319,0.0012980013051190082,0.00030765513656419013
1,1,2,2,16,0.0013538030870311431,0.0625,0.00087784443977738749,0.0140455110364382,0.0012980013051190082,0.00030765513656419013
1,2,2,4,32,0.00033845077175778578,0.015625,0.00033357206073497111,0.010674305943519076,0.0012980013051190082,0.00030765513656419013
1,3,2,8,64,8.4612692939446446e-05,0.00390625,0.00014312520802116401,0.0091600133133544967,0.0012980013051190082,0.00030765513656419013
1,4,2,16,128,2.1153173234861612e-05,0.0009765625,6.5966493497435121e-05,0.0084437111676716955,0.0012980013051190082,0.00030765513656419013
1,5,2,32,256,5.2882933087154029e-06,0.000244140625,3.1623231487310174e-05,0.0080955472607514047,0.0012980013051190082,0.00030765513656419013
1,6,2,64,512,1.3220733271788507e-06,6.103515625e-05,1.5476436448721147e-05,0.0079239354617452271,0.0012980013051190082,0.00030765513656419013
1,7,2,128,1024,3.3051833179471268e-07,1.52587890625e-05,7.6550232921499813e-06,0.0078387438511615809,0.0012980013051190082,0.00030765513656419013
1,8,2,256,2048,8.262958294867817e-08,3.814697265625e-06,3.8067877034946851e-06,0.0077963012167571151,0.0012980013051190082,0.00030765513656419013
1,9,2,512,4096,2.0657395737169542e-08,9.5367431640625e-07,1.8982222027366654e-06,0.0077751181424093813,0.0012980013051190082,0.00030765513656419013
1,10,2,1024,8192,5.1643489342923856e-09,2.384185791015625e-07,9.4781935543632612e-07,0.0077645361597343835,0.0012980013051190082,0.00030765513656419013
2,0,4,1,16,0.0013538030870311431,0.25,0.0013724686191282684,0.021959497906052294,0.0012980013051190082,0.00030765513656419013
2,1,4,2,32,0.00033845077175778578,0.0625,0.00043579347473089508,0.013945391191388642,0.0012980013051190082,0.00030765513656419013
2,2,4,4,64,8.4612692939446446e-05,0.015625,0.00016637448201172722,0.010647966848750542,0.0012980013051190082,0.00030765513656419013
2,3,4,8,128,2.1153173234861612e-05,0.00390625,7.1556374948525547e-05,0.00915921599341127,0.0012980013051190082,0.00030765513656419013
2,4,4,16,256,5.2882933087154029e-06,0.0009765625,3.3019975762021662e-05,0.0084531137950775454,0.0012980013051190082,0.00030765513656419013
2,5,4,32,512,1.3220733271788507e-06,0.000244140625,1.5838750125674107e-05,0.0081094400643451428,0.0012980013051190082,0.00030765513656419013
2,6,4,64,1024,3.3051833179471268e-07,6.103515625e-05,7.7538330281952082e-06,0.0079399250208718932,0.0012980013051190082,0.00030765513656419013
2,7,4,128,2048,8.262958294867817e-08,1.52587890625e-05,3.8358130957272086e-06,0.0078557452200493233,0.0012980013051190082,0.00030765513656419013
2,8,4,256,4096,2.0657395737169542e-08,3.814697265625e-06,1.9076658723060477e-06,0.0078137994129655712,0.0012980013051190082,0.00030765513656419013
2,9,4,512,8192,5.1643489342923856e-09,9.5367431640625e-07,9.5127715953943256e-07,0.0077928624909470315,0.0012980013051190082,0.00030765513656419013
2,10,4,1024,16384,1.2910872335730964e-09,2.384185791015625e-07,4.7500018433297282e-07,0.0077824030201114267,0.0012980013051190082,0.00030765513656419013
3,0,8,1,32,0.00033845077175778578,0.25,0.00067993666909196111,0.021757973410942755,0.0012980013051190082,0.00030765513656419013
3,1,8,2,64,8.4612692939446446e-05,0.0625,0.00021693229359508008,0.013883666790085125,0.0012980013051190082,0.00030765513656419013
3,2,8,4,128,2.1153173234861612e-05,0.015625,8.3024930478775257e-05,0.010627191101283233,0.0012980013051190082,0.00030765513656419013
3,3,8,8,256,5.2882933087154029e-06,0.00390625,3.5753443027584963e-05,0.0091528814150617505,0.0012980013051190082,0.00030765513656419013
3,4,8,16,512,1.3220733271788507e-06,0.0009765625,1.6509042606854314e-05,0.008452629814709409,0.0012980013051190082,0.00030765513656419013
3,5,8,32,1024,3.3051833179471268e-07,0.000244140625,7.9214413279834397e-06,0.0081115559198550423,0.0012980013051190082,0.00030765513656419013
3,6,8,64,2048,8.262958294867817e-08,6.103515625e-05,3.8785456801300974e-06,0.0079432615529064395,0.0012980013051190082,0.00030765513656419013
3,7,8,128,4096,2.0657395737169542e-08,1.52587890625e-05,1.9188653675625673e-06,0.0078596725455362757,0.0012980013051190082,0.00030765513656419013
3,8,8,256,8192,5.1643489342923856e-09,3.814697265625e-06,9.5434781276585979e-07,0.0078180172821779234,0.0012980013051190082,0.00030765513656419013
3,9,8,512,16384,1.2910872335730964e-09,9.5367431640625e-07,4.7590481096941555e-07,0.0077972244229229043,0.0012980013051190082,0.00030765513656419013
3,10,8,1024,32768,3.227718083932741e-10,2.384185791015625e-07,2.3763539678079844e-07,0.0077868366817132034,0.0012980013051190082,0.00030765513656419013
4,0,16,1,64,8.4612692939446446e-05,0.25,0.00033830640555826581,0.021651609955729012,0.0012980013051190082,0.00030765513656419013
4,1,16,2,128,2.1153173234861612e-05,0.0625,0.00010820257619911154,0.013849929753486277,0.0012980013051190082,0.00030765513656419013
4,2,16,4,256,5.2882933087154029e-06,0.015625,4.1464501616967583e-05,0.010614912413943701,0.0012980013051190082,0.00030765513656419013
4,3,16,8,512,1.3220733271788507e-06,0.00390625,1.7867640768773419e-05,0.0091482320736119907,0.0012980013051190082,0.00030765513656419013
4,4,16,16,1024,3.3051833179471268e-07,0.0009765625,8.2530179137515542e-06,0.0084510903436815915,0.0012980013051190082,0.00030765513656419013
4,5,16,32,2048,8.262958294867817e-08,0.000244140625,3.9606463890265802e-06,0.0081114038047264362,0.0012980013051190082,0.00030765513656419013
4,6,16,64,4096,2.0657395737169542e-08,6.103515625e-05,1.9393950915591414e-06,0.0079437622950262431,0.0012980013051190082,0.00030765513656419013
4,7,16,128,8192,5.1643489342923856e-09,1.52587890625e-05,9.5953242740542732e-07,0.0078604896453052606,0.0012980013051190082,0.00030765513656419013
4,8,16,256,16384,1.2910872335730964e-09,3.814697265625e-06,4.7723328001728972e-07,0.0078189900598032748,0.0012980013051190082,0.00030765513656419013
4,9,16,512,32768,3.227718083932741e-10,9.5367431640625e-07,2.3798444874058508e-07,0.0077982744163314919,0.0012980013051190082,0.00030765513656419013
4,10,16,1024,65536,8.0692952098318525e-11,2.384185791015625e-07,1.1883430675490306e-07,0.0077879251274893266,0.0012980013051190082,0.00030765513656419013
5,0,32,1,128,2.1153173234861612e-05,0.25,0.00016872696243324533,0.021597051191455403,0.0012980013051190082,0.00030765513656419013
5,1,32,2,256,5.2882933087154029e-06,0.0625,5.4032611131854676e-05,0.013832348449754797,0.0012980013051190082,0.00030765513656419013
5,2,32,4,512,1.3220733271788507e-06,0.015625,2.0719340143162777e-05,0.010608302153299342,0.0012980013051190082,0.00030765513656419013
5,3,32,8,1024,3.3051833179471268e-07,0.00390625,8.9311889159921617e-06,0.0091455374499759736,0.0012980013051190082,0.00030765513656419013
5,4,32,16,2048,8.262958294867817e-08,0.0009765625,4.1259747844206137e-06,0.0084499963584934168,0.0012980013051190082,0.00030765513656419013
5,5,32,32,4096,2.0657395737169542e-08,0.000244140625,1.9802307558455032e-06,0.008111025175943181,0.0012980013051190082,0.00030765513656419013
5,6,32,64,8192,5.1643489342923856e-09,6.103515625e-05,9.6969246133032197e-07,0.0079437206432179976,0.0012980013051190082,0.00030765513656419013
5,7,32,128,16384,1.2910872335730964e-09,1.52587890625e-05,4.7977364343649868e-07,0.0078606113740635943,0.0012980013051190082,0.00030765513656419013
5,8,32,256,32768,3.227718083932741e-10,3.814697265625e-06,2.3862280915183116e-07,0.0078191922102872034,0.0012980013051190082,0.00030765513656419013
5,9,32,512,65536,8.0692952098318525e-11,9.5367431640625e-07,1.1899591768786069e-07,0.0077985164615916383,0.0012980013051190082,0.00030765513656419013
5,10,32,1024,131072,2.0173238024579631e-11,2.384185791015625e-07,5.9419151620846155e-08,0.0077881870412475473,0.0012980013051190082,0.00030765513656419013
6,0,64,1,256,5.2882933087154029e-06,0.25,8.4255588117117871e-05,0.021569430557982175,0.0012980013051190082,0.00030765513656419013
6,1,64,2,512,1.3220733271788507e-06,0.0625,2.6998789821989611e-05,0.013823380388858681,0.0012980013051190082,0.00030765513656419013
6,2,64,4,1024,3.3051833179471268e-07,0.015625,1.0356327680280779e-05,0.010604879544607518,0.0012980013051190082,0.00030765513656419013
6,3,64,8,2048,8.262958294867817e-08,0.00390625,4.4648914745388667e-06,0.009144097739855599,0.0012980013051190082,0.00030765513656419013
6,4,64,16,4096,2.0657395737169542e-08,0.0009765625,2.0628340661926954e-06,0.0084493683351252805,0.0012980013051190082,0.00030765513656419013
6,5,64,32,8192,5.1643489342923856e-09,0.000244140625,9.9008303542768073e-07,0.0081107602262235606,0.0012980013051190082,0.00030765513656419013
6,6,64,64,16384,1.2910872335730964e-09,6.103515625e-05,4.8484050342780835e-07,0.0079436268081612121,0.0012980013051190082,0.00030765513656419013
6,7,64,128,32768,3.227718083932741e-10,1.52587890625e-05,2.3988649061747292e-07,0.0078606005245533527,0.0012980013051190082,0.00030765513656419013
6,8,64,256,65536,8.0692952098318525e-11,3.814697265625e-06,1.1931186240879608e-07,0.0078192222148228598,0.0012980013051190082,0.00030765513656419013
6,9,64,512,131072,2.0173238024579631e-11,9.5367431640625e-07,5.9498342391935404e-08,0.0077985667339957572,0.0012980013051190082,0.00030765513656419013
6,10,64,1024,262144,5.0433095061449078e-12,2.384185791015625e-07,2.9709806090786722e-08,0.0077882474078631945,0.0012980013051190082,0.00030765513656419013
7,0,128,1,512,1.3220733271788507e-06,0.25,4.2100654903331842e-05,0.021555535310505903,0.0012980013051190082,0.00030765513656419013
7,1,128,2,1024,3.3051833179471268e-07,0.0625,1.3494972761202513e-05,0.013818852107471373,0.0012980013051190082,0.00030765513656419013
7,2,128,4,2048,8.262958294867817e-08,0.015625,5.1773139178437083e-06,0.010603138903743915,0.0012980013051190082,0.00030765513656419013
7,3,128,8,4096,2.0657395737169542e-08,0.00390625,2.2322643549077706e-06,0.0091433547977022283,0.0012980013051190082,0.00030765513656419013
7,4,128,16,8192,5.1643489342923856e-09,0.0009765625,1.0313762293382201e-06,0.008449034070738699,0.0012980013051190082,0.00030765513656419013
7,5,128,32,16384,1.2910872335730964e-09,0.000244140625,4.9503227810097026e-07,0.0081106088444062967,0.0012980013051190082,0.00030765513656419013
7,6,128,64,32768,3.227718083932741e-10,6.103515625e-05,2.4241826290311645e-07,0.0079435616388093197,0.0012980013051190082,0.00030765513656419013
7,7,128,128,65536,8.0692952098318525e-11,1.52587890625e-05,1.1994288896364706e-07,0.007860577171121574,0.0012980013051190082,0.00030765513656419013
7,8,128,256,131072,2.0173238024579631e-11,3.814697265625e-06,5.9655910101960565e-08,0.0078192194488841751,0.0012980013051190082,0.00030765513656419013
7,9,128,512,262144,5.0433095061449078e-12,9.5367431640625e-07,2.9749199607661328e-08,0.0077985741819507712,0.0012980013051190082,0.00030765513656419013
7,10,128,1024,524288,1.260827376536227e-12,2.384185791015625e-07,1.4854926953954379e-08,0.0077882599428348333,0.0012980013051190082,0.00030765513656419013
8,0,256,1,1024,3.3051833179471268e-07,0.25,2.1043521974827387e-05,0.021548566502223244,0.0012980013051190082,0.00030765513656419013
8,1,256,2,2048,8.262958294867817e-08,0.0625,6.7463754476993069e-06,0.013816576916888181,0.0012980013051190082,0.00030765513656419013
