level,L,M,totalPhases,sampledTensorMaximum,sampledTensorOverSqrtLM,exactFullTensorUpperOverSqrtLM,formalPrefixUpperOverSqrtLM,allPositiveMaximumOverSqrtLM,samplesPerCircle
0,1,1,1,1,1,2,8.2426406871192839,1,16
1,2,2,4,4,2,2,8.2426406871192839,2,32
2,4,4,16,7.0727110268456661,1.7681777567114165,2,8.2426406871192839,4,64
3,8,8,64,16,2,2,8.2426406871192839,8,128
4,16,16,256,30.59748046555789,1.9123425290973681,2,8.2426406871192839,16,256
5,32,32,1024,64,2,2,8.2426406871192839,32,512
6,64,64,4096,127.8864943034102,1.9982264734907844,2,8.2426406871192839,64,1024
7,128,128,16384,256,2,2,8.2426406871192839,128,2048
8,256,256,65536,511.9720750868633,1.9998909183080598,2,8.2426406871192839,256,4096
9,512,512,262144,1024,2,2,8.2426406871192839,512,8192
10,1024,1024,1048576,2047.9215810482528,1.9999234189924344,2,8.2426406871192839,1024,16384
