N,H,order,gap,gapOverH,targetStatus,classification
1,4,3,4,1,excluded,formal interval lower bound
1,4,5,4,1,excluded,formal interval lower bound
1,4,7,4,1,excluded,formal interval lower bound
1,4,9,4,1,excluded,formal interval lower bound
1,4,11,4,1,excluded,interval lower bound
2,8,3,7,0.875,excluded,formal interval lower bound
2,8,5,6,0.75,excluded,formal interval lower bound
2,8,7,5,0.625,excluded,formal interval lower bound
2,8,9,4,0.5,excluded,formal interval lower bound
2,8,11,3,0.375,excluded,interval lower bound
4,16,3,13,0.8125,excluded,formal interval lower bound
4,16,5,10,0.625,excluded,formal interval lower bound
4,16,7,7,0.4375,excluded,formal interval lower bound
4,16,9,4,0.25,excluded,formal interval lower bound
4,16,11,1,0.0625,excluded,interval lower bound
5,20,3,16,0.80000000000000004,excluded,formal interval lower bound
5,20,5,12,0.59999999999999998,excluded,formal interval lower bound
5,20,7,8,0.40000000000000002,excluded,formal interval lower bound
5,20,9,4,0.20000000000000001,excluded,formal interval lower bound
5,20,11,0,0,support-admissible,explicit zero-support witness
8,32,3,25,0.78125,excluded,formal interval lower bound
8,32,5,18,0.5625,excluded,formal interval lower bound
8,32,7,11,0.34375,excluded,formal interval lower bound
8,32,9,4,0.125,excluded,formal interval lower bound
8,32,11,0,0,support-admissible,explicit zero-support witness
16,64,3,49,0.765625,excluded,formal interval lower bound
16,64,5,34,0.53125,excluded,formal interval lower bound
16,64,7,19,0.296875,excluded,formal interval lower bound
16,64,9,4,0.0625,excluded,formal interval lower bound
16,64,11,0,0,support-admissible,explicit zero-support witness
32,128,3,97,0.7578125,excluded,formal interval lower bound
32,128,5,66,0.515625,excluded,formal interval lower bound
32,128,7,35,0.2734375,excluded,formal interval lower bound
32,128,9,4,0.03125,excluded,formal interval lower bound
32,128,11,0,0,support-admissible,explicit zero-support witness
64,256,3,193,0.75390625,excluded,formal interval lower bound
64,256,5,130,0.5078125,excluded,formal interval lower bound
64,256,7,67,0.26171875,excluded,formal interval lower bound
64,256,9,4,0.015625,excluded,formal interval lower bound
64,256,11,0,0,support-admissible,explicit zero-support witness
128,512,3,385,0.751953125,excluded,formal interval lower bound
128,512,5,258,0.50390625,excluded,formal interval lower bound
128,512,7,131,0.255859375,excluded,formal interval lower bound
128,512,9,4,0.0078125,excluded,formal interval lower bound
128,512,11,0,0,support-admissible,explicit zero-support witness
256,1024,3,769,0.7509765625,excluded,formal interval lower bound
256,1024,5,514,0.501953125,excluded,formal interval lower bound
256,1024,7,259,0.2529296875,excluded,formal interval lower bound
256,1024,9,4,0.00390625,excluded,formal interval lower bound
256,1024,11,0,0,support-admissible,explicit zero-support witness
512,2048,3,1537,0.75048828125,excluded,formal interval lower bound
512,2048,5,1026,0.5009765625,excluded,formal interval lower bound
512,2048,7,515,0.25146484375,excluded,formal interval lower bound
512,2048,9,4,0.001953125,excluded,formal interval lower bound
512,2048,11,0,0,support-admissible,explicit zero-support witness
1024,4096,3,3073,0.750244140625,excluded,formal interval lower bound
1024,4096,5,2050,0.50048828125,excluded,formal interval lower bound
1024,4096,7,1027,0.250732421875,excluded,formal interval lower bound
1024,4096,9,4,0.0009765625,excluded,formal interval lower bound
1024,4096,11,0,0,support-admissible,explicit zero-support witness
2048,8192,3,6145,0.7501220703125,excluded,formal interval lower bound
2048,8192,5,4098,0.500244140625,excluded,formal interval lower bound
2048,8192,7,2051,0.2503662109375,excluded,formal interval lower bound
2048,8192,9,4,0.00048828125,excluded,formal interval lower bound
2048,8192,11,0,0,support-admissible,explicit zero-support witness
4096,16384,3,12289,0.75006103515625,excluded,formal interval lower bound
4096,16384,5,8194,0.5001220703125,excluded,formal interval lower bound
4096,16384,7,4099,0.25018310546875,excluded,formal interval lower bound
4096,16384,9,4,0.000244140625,excluded,formal interval lower bound
4096,16384,11,0,0,support-admissible,explicit zero-support witness
