L,M,target,normalizedSignedRatio,cancellationConditionNumber,orderedQuarticPaths,classification
1,16,16,0.00083530311289070061,5.8090687025103787,408,finite long-double edge observation
1,32,32,0.0007311558696372764,12.856659789010322,1584,finite long-double edge observation
1,64,64,0.00096631951665102371,19.141582296966057,6240,finite long-double edge observation
1,128,128,0.00049272730822086722,74.464413683178037,24768,finite long-double edge observation
1,256,256,0.00072319694060104026,101.04910207382029,98688,finite long-double edge observation
1,512,512,0.00058621604227062436,248.8059072521043,393984,finite long-double edge observation
1,1024,1024,0.00046441750409743351,627.46406461834147,1574400,finite long-double edge observation
1,2048,2048,0.00086797404323928279,671.11210059399775,6294528,finite long-double edge observation
1,4096,4096,0.00057636019441653749,2020.8076228888856,25171968,finite long-double edge observation
1,8192,8192,0.00091483980166597652,2545.9358666016105,100675584,finite long-double edge observation
2,16,16,0.0010949155893449395,8.8174658571128521,3258,finite long-double edge observation
2,32,32,0.00094296415020110136,19.894546880976687,12666,finite long-double edge observation
2,64,64,0.0012045953917726733,30.680844551761687,49914,finite long-double edge observation
2,128,128,0.0005378339836883152,136.37656377067344,198138,finite long-double edge observation
2,256,256,0.00085379759225181822,171.14672361932372,789498,finite long-double edge observation
2,512,512,0.00066099576412489546,441.26831884608794,3151866,finite long-double edge observation
2,1024,1024,0.000557807158367527,1044.7685077116521,12595194,finite long-double edge observation
2,2048,2048,0.0011279058725507836,1032.8740268854274,50356218,finite long-double edge observation
2,4096,4096,0.00075754145868109802,3074.9407985990742,201375738,finite long-double edge observation
4,16,16,0.0011172436920786736,17.245365018717575,26052,finite long-double edge observation
4,32,32,0.00098815906885932315,37.932622239910131,101316,finite long-double edge observation
4,64,64,0.0013286562612066827,55.606876548378303,399300,finite long-double edge observation
4,128,128,0.00071611258196577308,204.80528433597757,1585092,finite long-double edge observation
4,256,256,0.0010191726472650101,286.72053145197651,6315972,finite long-double edge observation
4,512,512,0.00084180837831085897,692.93882958492736,25214916,finite long-double edge observation
4,1024,1024,0.0006498765607871619,1793.4599800349527,100761540,finite long-double edge observation
4,2048,2048,0.0011719460661008378,1988.0934883850452,402849732,finite long-double edge observation
8,16,16,0.0011015610605273091,34.948074383096596,208392,finite long-double edge observation
8,32,32,0.00096351471580641062,77.770360122760138,810504,finite long-double edge observation
8,64,64,0.0012652866053285692,116.75801740868913,3194376,finite long-double edge observation
8,128,128,0.00062661110945120798,468.06633597090848,12680712,finite long-double edge observation
8,256,256,0.00093622365769995084,624.2142199389541,50527752,finite long-double edge observation
8,512,512,0.00075129617792101899,1552.799452876216,201719304,finite long-double edge observation
8,1024,1024,0.00060379868536352874,3860.5982934977292,806092296,finite long-double edge observation
16,1,1,0.0007243011046065695,8.0895917488211477,8208,finite long-double edge observation
16,16,16,0.0011089716964328808,69.397572268207128,1667088,finite long-double edge observation
16,64,64,0.0012968391262500871,227.80987662892863,25554960,finite long-double edge observation
16,128,128,0.00067132207547920483,873.73812033808304,101445648,finite long-double edge observation
16,256,256,0.00097767076971404243,1195.4709976295146,404221968,finite long-double edge observation
32,1,1,0.00073077605712915832,15.956324684174591,65568,finite long-double edge observation
32,32,32,0.00096941319022234593,309.08722040636911,51871776,finite long-double edge observation
32,64,64,0.0012809567975825319,461.244162363393,204439584,finite long-double edge observation
64,1,1,0.0007262837841751534,32.04194440805734,524352,finite long-double edge observation
64,64,64,0.0012888549723970905,916.81079248988181,1635516480,finite long-double edge observation
128,1,1,0.0007278430229500564,63.884558600268001,4194432,finite long-double edge observation
256,1,1,0.00072674357519947471,127.90321972029425,33554688,finite long-double edge observation
512,1,1,0.0007271296939743427,255.61291169575409,268435968,finite long-double edge observation
1024,1,1,0.00072685629893843987,511.3611358413628,2147484672,finite long-double edge observation
