L,M,target,targetFraction,normalizedSignedRatio,cancellationConditionNumber,orderedQuarticPaths,classification
1,256,1,0.00390625,8.3164347045676875e-09,123.38721051983562,98688,finite long-double observation
1,256,2,0.0078125,3.0125866809570233e-08,137.34098442701818,99450,finite long-double observation
1,256,3,0.01171875,9.4081257702866656e-08,99.733279966586196,100206,finite long-double observation
1,256,4,0.015625,1.9775174024824351e-07,85.010180592938866,100956,finite long-double observation
1,256,5,0.01953125,3.7265813355116212e-07,71.02671820946388,101700,finite long-double observation
1,256,6,0.0234375,3.5310988239325697e-07,108.75706226676884,102438,finite long-double observation
1,256,7,0.02734375,7.4458677594665644e-07,70.724583419986928,103170,finite long-double observation
1,256,8,0.03125,6.1988335419259026e-07,111.77317577989911,103896,finite long-double observation
1,256,9,0.03515625,1.3255061581353287e-06,66.6350609594068,104616,finite long-double observation
1,256,10,0.0390625,1.2799126045010848e-06,85.803685430906299,105330,finite long-double observation
1,256,11,0.04296875,1.0306460606344943e-06,129.83876511081959,106038,finite long-double observation
1,256,12,0.046875,1.2480194542389063e-06,128.489698488903,106740,finite long-double observation
1,256,13,0.05078125,1.8789203041357829e-06,100.84658486256136,107436,finite long-double observation
1,256,14,0.0546875,2.0571016150134481e-06,107.54658494707692,108126,finite long-double observation
1,256,15,0.05859375,3.0301563642660263e-06,84.369540894282238,108810,finite long-double observation
1,256,16,0.0625,1.9464893760970707e-06,150.41362518012306,109488,finite long-double observation
1,256,17,0.06640625,3.4781397475681051e-06,95.640292529010296,110160,finite long-double observation
1,256,18,0.0703125,2.6321373448367399e-06,142.586298090963,110826,finite long-double observation
1,256,19,0.07421875,5.7252942278903387e-06,73.495882454619576,111486,finite long-double observation
1,256,20,0.078125,3.5356706996790392e-06,132.6831340721848,112140,finite long-double observation
1,256,21,0.08203125,8.188503413217474e-06,63.54739244714078,112788,finite long-double observation
1,256,22,0.0859375,8.3216329619593678e-06,69.03978161578371,113430,finite long-double observation
1,256,23,0.08984375,4.8028079091434507e-06,131.51803697866836,114066,finite long-double observation
1,256,24,0.09375,6.8818141945432619e-06,100.52417869355862,114696,finite long-double observation
1,256,25,0.09765625,8.9247801839838757e-06,84.590969642115752,115320,finite long-double observation
1,256,26,0.1015625,7.3035228049060243e-06,112.43751551274181,115938,finite long-double observation
1,256,27,0.10546875,8.2614285940557428e-06,107.79289147910067,116550,finite long-double observation
1,256,28,0.109375,7.2347445002353164e-06,133.10589707111851,117156,finite long-double observation
1,256,29,0.11328125,9.8433101738494197e-06,105.514533628072,117756,finite long-double observation
1,256,30,0.1171875,1.0550054183284059e-05,105.91686058133293,118350,finite long-double observation
1,256,31,0.12109375,1.0123636031155484e-05,118.48168079071168,118938,finite long-double observation
1,256,32,0.125,8.1729271492742475e-06,157.19596831940615,119520,finite long-double observation
1,256,33,0.12890625,1.1196773612971163e-05,122.65263470353324,120096,finite long-double observation
