levelM,M,weightedMaximumRatio,weightedMaximumTarget,unweightedOuterMaximum,unweightedMaximumTargetBlock,unweightedMaximumCarry,unweightedOuterMaximumOverM,fftIntegerRecoveryResidual
8,256,0.0010776917490606618,246,576,19,-1,2.25,2.2737367544323206e-13
9,512,0.0009855702272829397,481,1128,291,-1,2.203125,5.684341886080801e-13
10,1024,0.0012127996801718404,981,2574,148,-1,2.513671875,1.1368683772161603e-12
11,2048,0.0011457637853978923,1912,4892,1910,-1,2.388671875,2.7284841053187847e-12
12,4096,,,11688,291,-1,2.853515625,7.275957614183426e-12
13,8192,,,21816,7642,-1,2.6630859375,1.2278178473934531e-11
14,16384,,,51216,2387,-1,3.1259765625,2.9103830456733704e-11
15,32768,,,99324,30582,-1,3.0311279296875,5.820766091346741e-11
16,65536,,,230128,5290,-1,3.511474609375,1.4551915228366852e-10
17,131072,,,455928,122330,-1,3.47845458984375,2.9103830456733704e-10
18,262144,,,1123112,18723,-1,4.284332275390625,6.402842700481415e-10
19,524288,,,2086396,489334,-1,3.9794845581054688,1.3969838619232178e-09
20,1048576,,,4919816,74275,-1,4.691902160644531,2.7939677238464355e-09
