r,M,target,y,absoluteY,sign,absoluteYOverM,observedBlockGrowth,classification
0,1,0,1,1,1,1,,exact recurrence value
1,16,2,22,22,1,1.375,22,exact recurrence value
2,256,34,274,274,1,1.0703125,16.5529453572469,exact recurrence value
3,4096,546,5666,5666,1,1.38330078125,17.8275716288372,exact recurrence value
4,65536,8738,77474,77474,1,1.18215942382812,16.6835702667553,exact recurrence value
5,1048576,139810,1399138,1399138,1,1.33432197570801,16.950093976273,exact recurrence value
6,16777216,2236962,19990306,19990306,1,1.19151508808136,16.4741585105673,exact recurrence value
7,268435456,35791394,332411106,332411106,1,1.23832786828279,16.4961356000752,exact recurrence value
8,4294967296,572662306,4719006370,4719006370,1,1.09872929053381,16.1894211329235,exact recurrence value
9,68719476736,9162596898,71111720034,71111720034,1,1.03481172167812,16.0609504629173,exact recurrence value
10,1099511627776,146601550370,895587135010,895587135010,1,0.814531754267591,15.675116766202,exact recurrence value
11,17592186044416,2345624805922,9797648754658,9797648754658,1,0.556931852012099,15.1708906745811,exact recurrence value
12,281474976710656,37529996894754,23759466736034,23759466736034,1,0.0844105824741135,13.021261400764,exact recurrence value
13,4503599627370496,600479950316066,-2738046354541726,2738046354541726,-1,0.60796842106064,15.3991037807324,exact recurrence value
14,72057594037927936,9607679205057058,-124989033312467678,124989033312467678,-1,1.73457128261428,16.6419853885308,exact recurrence value
15,1152921504606846976,153722867280912930,-4008646158511120670,4008646158511120670,-1,3.47694629902674,17.3860069219725,exact recurrence value
16,18446744073709551616,2459565876494606882,-115062167509924085598,115062167509924085598,-1,6.23753259925754,17.9394153193005,exact recurrence value
17,295147905179352825856,39353054023913710114,-3117019688878196446622,3117019688878196446622,-1,10.5608734948807,18.3796662249158,exact recurrence value
18,4722366482869645213696,629648864382619361826,-82024176026337401119710,82024176026337401119710,-1,17.3692948914235,18.749805670569,exact recurrence value
19,75557863725914323419136,10074381830121909789218,-2120362012824348022499870,2120362012824348022499870,-1,28.0627575776354,19.0694149555214,exact recurrence value
20,1208925819614629174706176,161190109281950556627490,-54256034214409940753950814,54256034214409940753950814,-1,44.8795396161736,19.351846134501,exact recurrence value
21,19342813113834066795298816,2579041748511208906039842,-1379333573558929964106636958,1379333573558929964106636958,-1,71.3098743932145,19.6049258979312,exact recurrence value
22,309485009821345068724781056,41264667976179342496637474,-34928976478688929623696674014,34928976478688929623696674014,-1,112.861609998016,19.834330201301,exact recurrence value
23,4951760157141521099596496896,660234687618869479946199586,-882289356101063831999317029662,882289356101063831999317029662,-1,178.176916510912,20.043939753006,exact recurrence value
24,79228162514264337593543950336,10563755001901911679139193378,-22251477206552155854586407702878,22251477206552155854586407702878,-1,280.853127226647,20.2367120441996,exact recurrence value
