r,M,q,m,S4Lower,S4Upper,S4Center,S4OverMLower,S4OverMUpper,S4OverMCenter,signCertified,tailBound,relativeTail,absoluteBlockRatioLower,absoluteBlockRatioUpper,absoluteBlockRatioCenter,classification
1,16,2,3,1.9053476449320089736098271071115938E-1,1.9053476449320089736098271071115938E-1,0.19053476449320089736098271071115938,0.01190842278082505608506141941944746125,0.01190842278082505608506141941944746125,0.01190842278082505608506141941944746125,positive,6.4470351653934007414034795799530313E-39,3.3836529425702041781026036832164026E-38,,,,exact rational interval at a specified finite scale
2,256,34,35,2.4009124473890282277757978009267303E+0,2.4009124473890282277757978009267303E+0,2.4009124473890282277757978009267303,0.009378564247613391514749210159870040234375,0.009378564247613391514749210159870040234375,0.009378564247613391514749210159870040234375,positive,1.6504410023407105897992907724679760E-36,6.8742240231856479308423445971800644E-37,1.2600915396070427582779802035552445E+1,1.2600915396070427582779802035552445E+1,12.600915396070427582779802035552445,exact rational interval at a specified finite scale
3,4096,546,547,4.8576285343223913142668933565540189E+1,4.8576285343223913142668933565540190E+1,48.5762853432239131426689335655401895,0.011859444663873025669596907608774460205078125,0.01185944466387302566959690760877446044921875,0.0118594446638730256695969076087744603271484375,positive,4.2251289659922191098861843775180186E-34,8.6979252039114556883030885917156157E-36,2.0232426799257177578100313225221455E+1,2.0232426799257177578100313225221456E+1,20.2324267992571775781003132252214555,exact rational interval at a specified finite scale
4,65536,8738,8739,6.7958048622162370694894647237438154E+2,6.7958048622162370694894647237438176E+2,679.58048622162370694894647237438165,0.01036957529024694377058328967856417144775390625,0.0103695752902469437705832896785641748046875,0.010369575290246943770583289678564173126220703125,positive,1.0816330152940080921308632006446128E-31,1.5916187077526938495250131419201497E-34,1.3989964062091893129177307273321716E+1,1.3989964062091893129177307273321721E+1,13.9899640620918931291773072733217185,exact rational interval at a specified finite scale
5,1048576,139810,139811,1.2193380480882856884072303495558711E+4,1.2193380480882856884072303495558766E+4,12193.3804808828568840723034955587385,0.01162851379478727043540220593982573604583740234375,0.0116285137947872704354022059398257884979248046875,0.011628513794787270435402205939825762271881103515625,positive,2.7689805191526607158550097936502087E-29,2.2708883098447968533533615199804114E-33,1.7942511193451736401693211714022749E+1,1.7942511193451736401693211714022836E+1,17.9425111934517364016932117140227925,exact rational interval at a specified finite scale
6,16777216,2236962,2236963,1.7844467103839563307110552134911613E+5,1.7844467103839563307110552134913031E+5,178444.67103839563307110552134912322,0.01063613122930500704473886021072364628314971923828125,0.01063613122930500704473886021072449147701263427734375,0.0106361312293050070447388602107240688800811767578125,positive,7.0885901290308114325888250717445342E-27,3.9724302708404061457186465702937685E-32,1.4634552847601735572535861431737597E+1,1.4634552847601735572535861431738826E+1,14.6345528476017355725358614317382115,exact rational interval at a specified finite scale
7,268435456,35791394,35791395,2.9979800451663570408245704415427142E+6,2.9979800451663570408245704415463435E+6,2997980.04516635704082457044154452885,0.0111683459772406408221444876549494050443172454833984375,0.01116834597724064082214448765496292524039745330810546875,0.011168345977240640822144487654956165142357349395751953125,positive,1.8146790730318877267427392183666008E-24,6.0530058429097773155148158905901219E-31,1.6800614037509065366659829888833350E+1,1.6800614037509065366659829888855023E+1,16.8006140375090653666598298888441865,exact rational interval at a specified finite scale
8,4294967296,572662306,572662307,4.4454216304862594301760474649161556E+7,4.4454216304862594301760474650090672E+7,44454216.304862594301760474649626114,0.010350303795389503776505699998038251884281635284423828125,0.0103503037953895037765056999982545785605907440185546875,0.0103503037953895037765056999981464152224361896514892578125,positive,4.6455784269616325804614123990184979E-22,1.0450253796181486467569969851178781E-29,1.4828056102820338407994497085397631E+1,1.4828056102820338407994497085725496E+1,14.8280561028203384079944970855615635,exact rational interval at a specified finite scale
9,68719476736,9162596898,9162596899,7.0546651579416463332621705116091308E+8,7.0546651579416463332621705139876669E+8,705466515.794164633326217051279839885,0.010265888934288008507082370505099433357827365398406982421875,0.0102658889342880085070823705085606589273083955049514770507812,0.0102658889342880085070823705068300461425678804516792297363281,positive,1.1892680773021779405981215741487355E-19,1.6857895458913220055811860623356184E-28,1.5869507426610457576367969989287630E+1,1.5869507426610457576367969994969841E+1,15.8695074266104575763679699921287355,exact rational interval at a specified finite scale
10,1099511627776,146601550370,146601550371,1.0120406703297697726600944780073352E+10,1.0120406703297697726600944840963878E+10,10120406703.297697726600944810518615,0.0092044562764364834280067450709551412728615105152130126953125,0.00920445627643648342800674512633475205802824348211288452148438,0.00920445627643648342800674509864494666544487699866294860839844,positive,3.0445262778935755279311912298207628E-17,3.0083042778325575691913241144050946E-27,1.4345693915613918228701860457350735E+1,1.4345693915613918228701860548499924E+1,14.3456939156139182287018605029253295,exact rational interval at a specified finite scale
