r,normalizedCenter,signCertified,classification
1,0.007575456245020114790464434594532638160277828373468933107568296059350984,positive,display center from a certified finite interval; not used in the R0.66 proof
2,0.003795294283876781340346682489044218792797299639092665823773668305517088,positive,display center from a certified finite interval; not used in the R0.66 proof
3,0.003053008410727502219017002584842191292982220018875232280960901872406728,positive,display center from a certified finite interval; not used in the R0.66 proof
4,0.001698162186889401819670346893240592445909187779492640005705139071662094,positive,display center from a certified finite interval; not used in the R0.66 proof
5,0.001211426190282459044410361342834624692278334729276555630203810115343280,positive,display center from a certified finite interval; not used in the R0.66 proof
6,0.0007048731739039733441888725392784590719955796749686274519680981787995957,positive,display center from a certified finite interval; not used in the R0.66 proof
7,0.0004708371301251482840631569204062832203619158871859417258110626791454465,positive,display center from a certified finite interval; not used in the R0.66 proof
8,0.0002775808434229117206474300273120447706692138522119249197813296745621714,positive,display center from a certified finite interval; not used in the R0.66 proof
9,0.0001751408707286786437023041242453574917172076917351295140352294997337197,positive,display center from a certified finite interval; not used in the R0.66 proof
10,0.00009989497244936150457701396434591633329444477559673780025428583647024672,positive,display center from a certified finite interval; not used in the R0.66 proof
11,0.00005676187808352865395330782796779095629222437122590071040238945431537623,positive,display center from a certified finite interval; not used in the R0.66 proof
12,0.00002702367705904371638140068277908754800142101061662711294008178329808805,positive,display center from a certified finite interval; not used in the R0.66 proof
13,0.000009195606623098305840129106628051408416699656356467143863845027876027653,positive,display center from a certified finite interval; not used in the R0.66 proof
14,-0.000002671385953069996445802633662293463469941837870237977519565977749656043,negative,display center from a certified finite interval; not used in the R0.66 proof
15,-0.000009970113196266293773705323412562140282460696424317173812609498590960800,negative,display center from a certified finite interval; not used in the R0.66 proof
16,-0.00001473353089501479464501559179363002240626205488355898473625527130005187,negative,display center from a certified finite interval; not used in the R0.66 proof
17,-0.00001770627045170079616934551559295242967511518606879501778611516361586707,negative,display center from a certified finite interval; not used in the R0.66 proof
18,-0.00001962493938459817148152379155947812071394262738524998445163880570460807,negative,display center from a certified finite interval; not used in the R0.66 proof
19,-0.00002083230006448686182656511373449882249366749183168812371405609683887987,negative,display center from a certified finite interval; not used in the R0.66 proof
20,-0.00002160667567287411415026226749336482759208188442031450241467749411637619,negative,display center from a certified finite interval; not used in the R0.66 proof
21,-0.00002209626442110547064664299548254113422118725352419343070176229430795319,negative,display center from a certified finite interval; not used in the R0.66 proof
22,-0.00002240916201482875155832601673931493997883376047904362543588941470001248,negative,display center from a certified finite interval; not used in the R0.66 proof
23,-0.00002260751586493163438671627784768269463195182696759752597110151815598387,negative,display center from a certified finite interval; not used in the R0.66 proof
24,-0.00002273402949947141591138226635355289465819129283582181907311730973305092,negative,display center from a certified finite interval; not used in the R0.66 proof
