r,Y,normalizedByMu,absoluteOverM2,asymptoticGuideOverM2,sign,classification
0,1,1,1,0.01306339681528448258620705,positive,exact integer sequence; decimal normalizations are display values
1,500,1.2424662149532624662991206023858390460323392160262366644051590440431630537800597,1.953125,0.02053532450040283427109663209388962662046875,positive,exact integer sequence; decimal normalizations are display values
2,75418,0.46569779226782806275814278763258737558649265382016161641255024897303431858605010,1.150787353515625,0.03228100304229038545995622650476414265435992313522631884765625,positive,exact integer sequence; decimal normalizations are display values
3,32255026,0.49492700153325212449754981886179887539359096651663371711031780655026527561735312,1.92254936695098876953125,0.05074490823828565910777051870672327908578826812572302318744852131733856201171875,positive,exact integer sequence; decimal normalizations are display values
4,6260885266,0.23872289959901598383989874996485166998818112355215467303209250125842454928629132,1.4577259463258087635040283203125,0.079769693300376716218234927719128924782392826535276822479239505277745600181288664,positive,exact integer sequence; decimal normalizations are display values
5,1886227033874,0.17871741932501215946232787461940588251136652634670989084967986484990390579348403,1.715513493649268639273941516876220703125,0.12539591044989418038569722999116661057734982682465204340880682116862185730288022,positive,exact integer sequence; decimal normalizations are display values
6,380802181479314,0.089657563238614429829240423188775579533421019371894281210435809305688423264166563,1.35288111905862962203173083253204822540283203125,0.19711915273821947272023507562608366190748790347836220613601837874870745339425410,positive,exact integer sequence; decimal normalizations are display values
7,101535304263219730,0.059404475000327226211609939120528112218331743632720953141738831521865637336839600,1.4090854075668420020139848247708869166672229766845703125,0.30986624872235845213637091759652681718461647773294386001485105563731720733994718,positive,exact integer sequence; decimal normalizations are display values
8,18359164314463772818,0.026691291001746200239791066387574490371696289269594709814106933464898380922622384,0.995252291737998459196685996364095672106486745178699493408203125,0.48710178977270805560222823658144032982671843803210356833025608384691851057537822,positive,exact integer sequence; decimal normalizations are display values
9,3885989945187432679186,0.014038895065666094534491847988803673792623162301499864384448748217808702961424417,0.82289037906817203257306981016745706103421298394096083939075469970703125,0.76571151126681371264576882280511184371574867498270620726129807658354392529184398,positive,exact integer sequence; decimal normalizations are display values
10,247322679009770724461970,0.0022202904014017421156179614893846796292110829308284084264369320239834944772403593,0.2045805251215579879558769745832817331561426232866551799816079437732696533203125,1.2036788424860731629447128110258728020646224005780625221845844918337977106854934,positive,exact integer sequence; decimal normalizations are display values
