degree,partialSum
0,2.08336846037944428491E-1
1,-1.05350635119618135009E-1
2,1.57564274873794458761E-1
3,-5.66726621722155805101E-3
4,7.86914525358925120154E-2
5,4.01006491001179936345E-2
6,5.62724204296125015794E-2
7,4.99493286424891106845E-2
8,5.22769421680830279779E-2
9,5.14669695357453712780E-2
10,5.17339315576879016170E-2
11,5.16504840015800406515E-2
12,5.16752541762409930856E-2
13,5.16682615404048271385E-2
14,5.16701420105020814676E-2
15,5.16696594364321603960E-2
16,5.16697778229795597205E-2
17,5.16697500105966033728E-2
18,5.16697562782054469008E-2
19,5.16697549211739359273E-2
20,5.16697552038974814712E-2
21,5.16697551471377231315E-2
22,5.16697551581331577138E-2
23,5.16697551560752264696E-2
24,5.16697551564478054185E-2
25,5.16697551563824820044E-2
26,5.16697551563935852749E-2
27,5.16697551563917537644E-2
28,5.16697551563920472373E-2
29,5.16697551563920015147E-2
30,5.16697551563920084471E-2
31,5.16697551563920074234E-2
32,5.16697551563920075707E-2
