block,certifiedSimpleBound,rootEnclosureDisplayBound
0,3.333333333333333493e-05,3.333333333333333493e-05
1,2.239583333333333335e-05,2.183518790123899184e-05
2,1.504720052083333461e-05,1.430326292047240985e-05
3,1.010983784993489624e-05,9.369433004080182152e-06
4,6.792547305425008678e-06,6.137499905164827608e-06
5,4.563742720832427547e-06,4.020403910193314595e-06
6,3.066264640559287205e-06,2.633588244538409501e-06
7,2.060146555375771323e-06,1.725146825219709689e-06
8,1.384160966893096172e-06,1.130067152576947862e-06
9,9.299831496312990105e-07,7.402568585260731287e-07
10,6.248324286585289780e-07,4.849094280329308497e-07
11,4.198092880049491703e-07,3.176426542854411264e-07
12,2.820593653783252528e-07,2.080736112531270937e-07
13,1.895086361135622726e-07,1.362997919700415658e-07
14,1.273261148887996403e-07,8.928394705696929226e-08
15,8.554723344091225709e-08,5.848595281659595947e-08
16,5.747704746811292790e-08,3.831155308000111606e-08
