block,exactInteger,normalizedByDominantRootMidpoint,sign
0,1,1.000000000000000000000000000000e+0,positive
1,11896,1.847547261635501287386792335748e+0,positive
2,19053696,4.595877394230295283485962299360e-1,positive
3,190789779104,7.147248941221558257570850896371e-1,positive
4,510830384639264,2.972043260632300732073818338223e-1,positive
5,2565842213885031200,2.318477856393460073739901237899e-1,positive
6,6668247354337862721312,9.357919586920633335820248453162e-2,positive
7,29290745512013673750758176,6.383996414770997949054144605511e-2,positive
8,38338803917947704616479639328,1.297762946026566055433634373748e-2,positive
9,54800063137599571805546767584032,2.880928436136675508585972363227e-3,positive
10,-1671813337199044461260665537436430560,-1.365003604779711507492341693356e-2,negative
11,-14969916096173338105583208685808423857376,-1.898278724080447257732041940825e-2,negative
12,-119008065711010693300001884930282999003719904,-2.343751762899236965848159635047e-2,negative
13,-832103520175404790134276465451887063329056875744,-2.545113624389795687653659188072e-2,negative
14,-5588555055027804549682989476653646945311740092195040,-2.654751968439871564343468796598e-2,negative
15,-36504004530986705650506576849439663837047403275011284192,-2.693143710858094456118576358684e-2,negative
16,-236553929682658845339036381092343694345147551809993835649248,-2.710464898470644812755847821593e-2,negative
17,-1520317975021306024008805928898131415014468895185552812282860768,-2.705469559827143794795717047956e-2,negative
18,-9748052852881485927015149720661515887005658443244866537442987315424,-2.694143338569566983247096319506e-2,negative
19,-62503169348336710311795692802786524231128928395613393508562379807968480,-2.682868978467976299697456112145e-2,negative
20,-400289557965725798677909640134487130843050430947396956745488910112393758944,-2.668494343730815573934743895161e-2,negative
21,-2567390830431270628009844095558027993203709877409315340311988269761344272712928,-2.658144661807837774561072363379e-2,negative
22,-16466757436874395017260271389151882187196350515489565245646437986783604132611064032,-2.647825230610602939811172631933e-2,negative
23,-105720425273521226634961037561091019486020207212609656654889947253368529536922292894944,-2.640187257788897951359186487548e-2,negative
24,-679028343286050121020971605481863255630015922510480138521737534710790019413392329439279328,-2.633651663537770750715329296037e-2,negative
25,-4363960275107806930828687980369683167917063183521742862061550337817660997937587850470075774176,-2.628729024705558682382449125353e-2,negative
26,-28056439557429068572133825703885318822606338082259666071442348894362300119598726966435850269847776,-2.624775659546945236361000593898e-2,negative
27,-180446205578585893433478300127493496766737576787244802424077870080417539444984733380850296206765632736,-2.621814665844596456406511924873e-2,negative
28,-1160840510250567293744103135844332144724849654479721161749976532454678936722018919412204993961770789595360,-2.619518023969715517728437967818e-2,negative
29,-7469503944669119080074242474361061632366329365907131116816052634402996237892085428299696785303191222554305760,-2.617792371677376036210185883602e-2,negative
30,-48070827504847910190981068042353280475138555337379025450287727215017084373848670032263154946315622687469826433248,-2.616493356738918399467147539678e-2,negative
31,-309402483785593556917805930099752950827451321006355099806194416487053952922989423293620541684019139603561858826542304,-2.615510303217252684342656709079e-2,negative
32,-1991629862109542460379077359526625719150791927031823786826163063903254656210559308465745654464834805296118624847663814880,-2.614784308475359777074147949733e-2,negative
33,-12821026447544156051839039573342472901634026850192418706928711270932123393966266812697549117030282904797242700922189998036192,-2.614235079602331100345853521120e-2,negative
34,-82539399505645956742366767907105352298069381099803976982344578693635737986908264868063208868098706239997603605913272768834392288,-2.613832467329096085660765902874e-2,negative
35,-531393656299019943094276627403497828958463126363258834005263324594819396736402397919632019932997148340534469681275639563972902423776,-2.613529521288408915279476447156e-2,negative
36,-3421250957162811762390841307771308382681053242468074392507792317282839434643292177261942759109918064754905605963706021853534065879107808,-2.613307878133208728594611842361e-2,negative
37,-22027376206822824943382299198453930140957741940502906021084130541376383366990845845761336007537102131062029968148114879552769005817227740384,-2.613142036128259650982548351436e-2,negative
38,-141823435607670915357965745954320257024126280354655938441415677448724573517728861630161115193097689207602617216957183642927392861941685109604576,-2.613020699419344669212201967130e-2,negative
39,-913142153530323594339517710794514218278878710554659750155201448722432691224390159878887996877463370055258236414855900055282968265874761004939246816,-2.612930397323513912052898130172e-2,negative
40,-5879397091988757562745440687474845406080683254622521046115410985772218625218651693967785255128080697656952597558045732502111350534425949013092797855968,-2.612864233963616882727043511276e-2,negative
41,-37855592782521935929806341954857288739214645365088551754527103271906810599012590764405504981353916232626154369376775647278029632300851022170473173860840672,-2.612815256811804323699269294187e-2,negative
42,-243741496347557794767389371628745671191050123896746334801343694445157977796191717687354276000306177168207580245456294023930385710873843270384195454528323662048,-2.612779298240212330154296242774e-2,negative
43,-1569388503842565456085697262970014699037753416478780200412146545947266533420035897551480810686568586868528715579765413144651421817453164881477332673543273661361376,-2.612752798883225232453726307447e-2,negative
44,-10104914113366953353019611374868791026113710747436268068741830137931891573959740867345318921984805676383024050861924000148420382227125161709458447707472805878062852320,-2.612733312164998336974648808734e-2,negative
45,-65063233875709203059350978593509839064622011289265329667624220664880717034072708246025722701512876186367764040502096916809800892896174893299452733365849548809754734847200,-2.612718994989876619260841652625e-2,negative
46,-418927907762607781171813784430605607859858200294347235370074407941178293376935645396881046647297273145100762285014626250216789984273911088110889120578585084915107876252098784,-2.612708458348947928947643587842e-2,negative
47,-2697387912265244580725766022146860210066115127703148254577004214156285982351385849712860847034947389078646152083258139126047408314357323079062302248574062153672720433727717530848,-2.612700730754082755155624873458e-2,negative
48,-17367922009747573529277440459836751664888442656591131587700368657037226304159895519722432332860429071959128169174274798413867334138097335097610502180820722466304134426555814020978912,-2.612695042982134745764926987331e-2,negative
49,-111828517157786978880889247000173692589892637586765680695393227636693911245728110567029457117892435708416047279274649840734718669728358354672444075941533061956097605231724263001564206304,-2.612690875236660044636560726458e-2,negative
50,-720041379375465224112943065176416562858690571893521307366242804786621262705757807004128647583705431426861572764361080905654131447965625494137365630414363370443403497339010087973321167933664,-2.612687808736300959320076362601e-2,negative
51,-4636203393393666574542340943325584875551526542415750278311949719787768068925924930320199876490884962236828416799745622499056455086497434211287556813958210707872518479957676805504505732039986400,-2.612685562198645260548247144071e-2,negative
52,-29851599384869488353330750172810666237526590078777213455757088896897346320239003641902456226788275865000309469510741942082305314323885342214889316106919396884868102684414044449411506928813636782304,-2.612683910383662334188596181960e-2,negative
53,-192208594139529867105805171160521370723253950541239497866269455723490584317435714174732254247934969358592861810628207487789365901863823752351819022855924627205345517130327756413729910733539796109575392,-2.612682699982362766951846348139e-2,negative
54,-1237593595095008656069834036271431323411311915236646583851903348175414502880740007951054712557968775582010847604511229552013449421602149467398920835918757797801214714092322230962117664712606352755252461792,-2.612681810717434759224553728397e-2,negative
55,-7968624153555646470260583870832250333886887664699514136252485999165516664671349415371887472319871733610139722336708954392941689336113284987907383218097924518119067061425756525100317368922418369462412030524640,-2.612681158834897208667875682187e-2,negative
56,-51308422542255653318812945862378647099300211431196858482696041375345060029692550551420794708692638239298573567145793623920613578472408313871036822397194012738125540139301791113283425540053954964374304586712021216,-2.612680680260128126753101195635e-2,negative
57,-330364979152248073039591774239470828097837187092981690809038117852837046993474198382337253287922297841831569000862117609378282767017457848245660932785255117907595794481606526311285619212383133427402902961660818699488,-2.612680329301565481917287868039e-2,negative
58,-2127156087567626492875543949797513230806724975673606894095090959349427013561359438370366821405967609073520677363615090386489541096168435295709159851660302226025486258025220385103138436620102097149046228942700666449621216,-2.612680071798889965764109060753e-2,negative
59,-13696346238964018484252259316817420815797311842763138288328848048209245288301499906982512050846006033892122637566145596286205579256827354100487769221036977838798752273587007286322299640731198176265005089114000063478478417120,-2.612679882905351875848129577048e-2,negative
60,-88188123574706864964128783655459526232666737280219031972568590924237825482117390152999158223784988582996161550732872693626605926166848971660582331981302139433084839238258383804544138983425065976613260173151635600842780558682336,-2.612679744367393988366813018372e-2,negative
61,-567826273793039866776065383438726668685453075980128868520719135790401017899596740786695651402537502257125474144667769943982727399487726909798101194297063645166956529199199183165819991814689536342892411922858078176531930436704740576,-2.612679642723568983210687704666e-2,negative
62,-3656123608101550325009304897086584352469462500657115428590461259359289816844928993822669914772059862056473841910815204871810704600927201311764567494642633033757224411159107506196706277425458244837609259204736407192302762155100505039072,-2.612679568192761293854460389323e-2,negative
63,-23541073310959422463332512542367878149418998462601667108665664950283132182245989022824978599247961414369555814279768375868704653099186546597961303770026907051202892308108878678434894086110697528548162501650311765450361163911791973249326304,-2.612679513507051385481162450868e-2,negative
64,-151576422224546894401204791261599663894555590196688819947580682795553406668908017870287502353174386996109584037166610945354927031540019400598344384583448918250358611638431771072443148824428747693755524514937934755513828240789269219272782567648,-2.612679473411560024375123654610e-2,negative
65,-975971297688842489265187770981406033255741419217002005466266678895397174634632220655379731900448178460437152509917824408671659024573289894334579350167689106966921374530231952630733079963698843403552001656776156187613406615360306531103516574684384,-2.612679443993023665138359142067e-2,negative
66,-6284090644141824466742931982625089924845049985147569540313781368142822374678140707721094183425090975685914323379813199625019440851621840180896440267852571920941406252826338891674964080041945150172691403943322799451671804491940889366400372111731118304,-2.612679422422847256573935731581e-2,negative
67,-40462045763170111448387278593147644895909808600249908762201951333465561992174536205858067484060374421474180470924178421249370697541809069540078648434507201045543216022873013601299376922947275792347103691711512350338163113112269345058612557209970934287584,-2.612679406597793897368630711732e-2,negative
68,-260527297058011659668775834875246849998208125106182935903535402050517556370471152177380415024722742096242974491546126418869411245842228055326168595669847248516483108625636238923345559482351925774095617811344452471951225434017850844821614132089545550455556320,-2.612679394993646898450695357280e-2,negative
69,-1677484944531623768076687887532781307319787982401818420897914337698181963627853214954109489719232366735449432269255284419702167524821861227653806633385670823575012443798500729969889430771251289892000832657935364478173516944845054751646630433325640694460899722464,-2.612679386481011206534589330203e-2,negative
70,-10801001558575372702106793723910289951552424697195680050006703843408882524882493283185795060946876790425856508983140747136174870924552986974999485136846745749912023358231327597499153325852698089236982818516719035700112180683658888806974744388532118211345916863889632,-2.612679380238256002324352063427e-2,negative
71,-69545562911267628318295947206475238936319361459086164364431676440006079717109840747240946850867461707337958419345503570240891300374074347797300391392686179390179443229492252110082523146167037148095681939353516739874742690158489363452961765451056617118694006811991211232,-2.612679375659043837633432654079e-2,negative
72,-447790447642782741355313075519415494525368666453613304898105211693903234179985446826347957299739687861337832958565376005698251239995801151125526007154881660732725233094856686669626385098087295112222081911878272368427698527658247612798904135217403397288953568075879519402208,-2.612679372300542486715497185086e-2,negative
73,-2883236207673766502550780297358035005456846114747260991964167797564535825813971731846055010924254669692352739221195108847637599196171686412578851710174817653269044168087161453829747720850472166190189548839753932992314162539734344718544311306097187923677987500328536920260670688,-2.612679369837145015299404567227e-2,negative
74,-18564601087608682857238881480531757947692092660929765886221014200153048571382713024147126497020588000209289053525985006804957163067293270298762708209319794083179873200711321458575673088043683988567277117206949423323617704060369595724542761540645567349757006736727661940960760738016,-2.612679368030285872529614651886e-2,negative
75,-119533880952346264332194520264397840109011403216107912279240638580150811266711841202818371193233595158400584930898949613917826022215136918240410367242063198838925583395612362164584330822677633643737283216501572317286505020413093817259307805873288489787708700542524040159239788753317088,-2.612679366705025865493361678923e-2,negative
76,-769655573531178293460524207619743912313605617075670654999739814418475124658660756785556513640746826079934598864963026679040978944873325159355604252324051681766463370142871296081804381655524443888515262921103236917182811904100720513948833554289304361081875824527176031897966688273415973088,-2.612679365732912946542178175595e-2,negative
77,-4955663592672186369835269814650308147809082089480974224115930100451948731159134755089502695273390060326452615892925122173691966406588236804934318855758854705020662191797199443326547942662239661751396470725861675212955508486536575447010062549316081093186869002612441036631610505411335766992096,-2.612679365019905678777333201364e-2,negative
78,-31908560777189622163818001419783755273619141743728744038586996765989489577386552210837065064796841406233776347640903990617442475986906039982574598631880543672041388161636872182977262333458816195174811673975847766706996404914700708735962736156972290699635005293084839445788721628000746611422175456,-2.612679364496874988260551300083e-2,negative
79,-205453060298816305287211361493836113024479438475561761988396506437822608361726589667116949678256975827039853043690013016021438797709181160670378132948343332416592776057470722530116058100321973426020440739534566348561910013655875921093482122966431539627852743057163702375716892824611575337341055655136,-2.612679364113242882572402679929e-2,negative
80,-1322872575875486625211127099446455146857104395869591880152498378653461413571782515124235874550933276089069106403082963036548312358564956365998212605158013222616384387802078671624168551271103070508550420874580275220895879814420243816351684203189661410181442522359990898319909378103039464747361530749688032,-2.612679363831819628192669669834e-2,negative
