degree,centre,radius,lower,upper,centreTimes1e8
0,-1.39323128788389621E-8,6.86102897563428424E-27,-1.39323128788389638E-8,-1.39323128788389621E-8,-1.3932312878838962100000000
1,-1.55459643041157952E-8,1.00833716091436593E-26,-1.55459643041157985E-8,-1.55459643041157952E-8,-1.5545964304115795200000000
2,-1.49756441073928559E-8,4.18686957049690037E-26,-1.49756441073928559E-8,-1.49756441073928525E-8,-1.4975644107392855900000000
3,-1.49234174041096861E-8,5.93565445651024582E-26,-1.49234174041096894E-8,-1.49234174041096861E-8,-1.4923417404109686100000000
4,-1.49236467695561685E-8,7.69500148572568401E-26,-1.49236467695561718E-8,-1.49236467695561685E-8,-1.4923646769556168500000000
5,-1.49238129174382181E-8,8.77718294894242357E-26,-1.49238129174382214E-8,-1.49238129174382181E-8,-1.4923812917438218100000000
6,-1.49238241043278258E-8,9.59860616768481104E-26,-1.49238241043278292E-8,-1.49238241043278225E-8,-1.4923824104327825800000000
7,-1.49238243631306167E-8,1.00746813687638799E-25,-1.49238243631306200E-8,-1.49238243631306167E-8,-1.4923824363130616700000000
8,-1.49238243203936553E-8,1.04131012566906517E-25,-1.49238243203936553E-8,-1.49238243203936520E-8,-1.4923824320393655300000000
9,-1.49238243184392856E-8,1.06149858368964926E-25,-1.49238243184392856E-8,-1.49238243184392823E-8,-1.4923824318439285600000000
10,-1.49238243184751323E-8,1.07451892110713391E-25,-1.49238243184751323E-8,-1.49238243184751290E-8,-1.4923824318475132300000000
