degree,channels,maximumRadius,centredGlobalMaximumRadius
0,1,3.16753271204648413E-33,1.88584884046089302E-20
1,7,4.78546663253775008E-28,1.88584884046089302E-20
2,28,2.81200343590310351E-25,1.88584884046089302E-20
3,84,1.46622745640775326E-23,1.88584884046089302E-20
4,210,8.16395020680655735E-23,1.88584884046089302E-20
5,462,1.54345294765162111E-22,1.88584884046089302E-20
6,924,2.37913463309725796E-22,1.88584884046089302E-20
7,1716,3.41147616140852173E-22,1.88584884046089302E-20
8,3003,4.66642058841795226E-22,1.88584884046089302E-20
9,5005,6.16122600492820621E-22,1.88584884046089302E-20
10,8008,7.91179658125257438E-22,1.88584884046089302E-20
