block,sixth_order,eighth_order,orders_at_least_ten
0,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1,6.361427020560715961e-01,4.046775373791999253e-01,6.718750000000000000e-01
2,4.046775373791998698e-01,1.637639092592937662e-01,4.514160156250000000e-01
3,2.574326620898011453e-01,6.627157551064175034e-02,3.032951354980468750e-01
4,1.637639092592937107e-01,2.681861797588619770e-02,2.037764191627502441e-01
5,1.041772157354724226e-01,1.085289227839516916e-02,1.369122816249728203e-01
6,6.627157551064172258e-02,4.391921720662691868e-03,9.198793921677861363e-02
7,4.215817911485261055e-02,1.777312066279996541e-03,6.180439666127313103e-02
8,2.681861797588618382e-02,7.192382701365262945e-04,4.152482900679288491e-02
9,1.706046810458977311e-02,2.910595719477252169e-04,2.789949448893896955e-02
10,1.085289227839516396e-02,1.177852708064495014e-04,1.874497285975586930e-02
11,6.903988219101774709e-03,4.766505332949615208e-05,1.259427864014847458e-02
12,4.391921720662688398e-03,1.928897640042873953e-05,8.461780961349757088e-03
13,2.793888950601113898e-03,7.805815468291006293e-06,5.685259083406868016e-03
14,1.777312066279995023e-03,3.158838180944470691e-06,3.819783446663989421e-03
15,1.130624100240215863e-03,1.278310856043999866e-06,2.566417003227367682e-03
16,7.192382701365256439e-04,5.173036892289828053e-07,1.724311424043387716e-03
17,4.575381765867841586e-04,2.093411830343597033e-07,1.158521738029151061e-03
18,2.910595719477248916e-04,8.471567442239304093e-08,7.783817927383358858e-04
19,1.851554225581092969e-04,3.428253050267208543e-08,5.229752669960694182e-04
20,1.177852708064493659e-04,1.387337001894864654e-08,3.513740075129841590e-04
