budget,minusLog10Budget,firstDepthStrictlyBelow
1.0,0.00,11
0.891250938133745529953108681078,0.05,12
0.794328234724281502065918282836,0.10,12
0.707945784384137910802214942189,0.15,13
0.630957344480193249434360136622,0.20,13
0.562341325190349080394951039776,0.25,14
0.501187233627272285001554186885,0.30,14
0.446683592150963118556250524319,0.35,15
0.398107170553497250770252305088,0.40,15
0.354813389233575458433218702264,0.45,16
0.316227766016837933199889354443,0.50,16
0.281838293126445381910192369916,0.55,17
0.25118864315095801110850320678,0.60,17
0.223872113856833961195495085247,0.65,18
0.199526231496887960135245539674,0.70,18
0.177827941003892280122542119519,0.75,19
0.158489319246111348520210137339,0.80,20
0.141253754462275430215560786393,0.85,20
0.12589254117941672104239541064,0.90,21
0.112201845430196343559103894648,0.95,21
0.1,1.00,22
0.0891250938133745529953108681078,1.05,22
0.0794328234724281502065918282836,1.10,23
0.0707945784384137910802214942189,1.15,23
0.0630957344480193249434360136622,1.20,24
0.0562341325190349080394951039776,1.25,24
0.0501187233627272285001554186885,1.30,25
0.0446683592150963118556250524319,1.35,25
0.0398107170553497250770252305088,1.40,26
0.0354813389233575458433218702264,1.45,26
0.0316227766016837933199889354443,1.50,27
0.0281838293126445381910192369916,1.55,27
0.025118864315095801110850320678,1.60,28
0.0223872113856833961195495085247,1.65,28
0.0199526231496887960135245539674,1.70,29
0.0177827941003892280122542119519,1.75,29
0.0158489319246111348520210137339,1.80,30
0.0141253754462275430215560786393,1.85,30
0.012589254117941672104239541064,1.90,31
0.0112201845430196343559103894648,1.95,31
0.01,2.00,32
0.00891250938133745529953108681078,2.05,32
0.00794328234724281502065918282836,2.10,33
0.00707945784384137910802214942189,2.15,33
0.00630957344480193249434360136622,2.20,34
0.00562341325190349080394951039776,2.25,34
0.00501187233627272285001554186885,2.30,35
0.00446683592150963118556250524319,2.35,35
0.00398107170553497250770252305088,2.40,36
0.00354813389233575458433218702264,2.45,36
0.00316227766016837933199889354443,2.50,37
0.00281838293126445381910192369916,2.55,37
0.0025118864315095801110850320678,2.60,38
0.00223872113856833961195495085247,2.65,38
0.00199526231496887960135245539674,2.70,39
0.00177827941003892280122542119519,2.75,39
0.00158489319246111348520210137339,2.80,40
0.00141253754462275430215560786393,2.85,40
0.0012589254117941672104239541064,2.90,41
0.00112201845430196343559103894648,2.95,41
0.001,3.00,42
0.000891250938133745529953108681078,3.05,42
0.000794328234724281502065918282836,3.10,43
0.000707945784384137910802214942189,3.15,43
0.000630957344480193249434360136622,3.20,44
0.000562341325190349080394951039776,3.25,44
0.000501187233627272285001554186885,3.30,45
0.000446683592150963118556250524319,3.35,45
0.000398107170553497250770252305088,3.40,46
0.000354813389233575458433218702264,3.45,46
0.000316227766016837933199889354443,3.50,47
0.000281838293126445381910192369916,3.55,48
0.00025118864315095801110850320678,3.60,48
0.000223872113856833961195495085247,3.65,49
0.000199526231496887960135245539674,3.70,49
0.000177827941003892280122542119519,3.75,50
0.000158489319246111348520210137339,3.80,50
0.000141253754462275430215560786393,3.85,51
0.00012589254117941672104239541064,3.90,51
0.000112201845430196343559103894648,3.95,52
0.0001,4.00,52
8.91250938133745529953108681078e-05,4.05,53
7.94328234724281502065918282836e-05,4.10,53
7.07945784384137910802214942189e-05,4.15,54
6.30957344480193249434360136622e-05,4.20,54
5.62341325190349080394951039776e-05,4.25,55
5.01187233627272285001554186885e-05,4.30,55
4.46683592150963118556250524319e-05,4.35,56
3.98107170553497250770252305088e-05,4.40,56
3.54813389233575458433218702264e-05,4.45,57
3.16227766016837933199889354443e-05,4.50,57
2.81838293126445381910192369916e-05,4.55,58
2.5118864315095801110850320678e-05,4.60,58
2.23872113856833961195495085247e-05,4.65,59
1.99526231496887960135245539674e-05,4.70,59
1.77827941003892280122542119519e-05,4.75,60
1.58489319246111348520210137339e-05,4.80,60
1.41253754462275430215560786393e-05,4.85,61
1.2589254117941672104239541064e-05,4.90,61
1.12201845430196343559103894648e-05,4.95,62
1e-05,5.00,62
8.91250938133745529953108681078e-06,5.05,63
7.94328234724281502065918282836e-06,5.10,63
7.07945784384137910802214942189e-06,5.15,64
6.30957344480193249434360136622e-06,5.20,64
5.62341325190349080394951039776e-06,5.25,65
5.01187233627272285001554186885e-06,5.30,65
4.46683592150963118556250524319e-06,5.35,66
3.98107170553497250770252305088e-06,5.40,66
3.54813389233575458433218702264e-06,5.45,67
3.16227766016837933199889354443e-06,5.50,67
2.81838293126445381910192369916e-06,5.55,68
2.5118864315095801110850320678e-06,5.60,68
2.23872113856833961195495085247e-06,5.65,69
1.99526231496887960135245539674e-06,5.70,69
1.77827941003892280122542119519e-06,5.75,70
1.58489319246111348520210137339e-06,5.80,70
1.41253754462275430215560786393e-06,5.85,71
1.2589254117941672104239541064e-06,5.90,71
1.12201845430196343559103894648e-06,5.95,72
1e-06,6.00,72
