r,physicalAmplitudeLower,epsilonUpper,criticalNormUpper
0,2.0,1.0,11.65685424949238019520675489683879231428
1,6.380684362322620292942020958570600467949,0.7975855452903291221747023131143398262744,9.297338452951270292914757080864193288565
2,20.35656646579421178009105402973667798796,0.6361427020560716473624540584188559776948,7.415422759745883886623173311347785579161
3,64.94441265943708822591571012767716190821,0.5073782239018552776864132103893020043191,5.914434005390238041610392815926359055359
4,207.1948991381487230015248912840584722933,0.4046775373791999425206294257848131799654,4.717267071272838379042714211250238989535
5,661.0226264418990567710708014105894058599,0.3227649543173367320104082965276430283102,3.762424029321260650111971850424113629611
6,2108.888367839626163252855619741508251524,0.2574326620898011862047507137529358597789,3.000855021039634921388459420664732104971
7,6728.07551527918828340399777423930492544,0.2053245701684351168443913247014286168253,2.393438588293119289408631611164920189979
8,21464.8631144338112188224615290625017605,0.1637639092592937666833723718402936397403,1.908972021562683092511196230902400883726
9,68480.25820683171807696982842478537767401,0.1306157268654497972344087590056850830485,1.522568490762054517279188542476815767598
10,218475.4563340732130313736901679333408191,0.1041772157354724675204021241829718171336,1.2143786199463266908576421469380676658
11,697011.4638910597069377605642851492102536,0.0830902414192050634348390331488037632617,0.9685708337788083231924824983636565011669
12,2223705.074004641193165276143012797777002,0.0662715755106417608389575596194168872969,0.7725180966117795658390332211153468247404
13,7094380.096059439579521367251809902142073,0.05285725069090443046163874403727189448025,0.6161492673327533592929585285447420516484
14,22633500.06964965746618429132676900070898,0.04215817911485263590631919989848617643467,0.4914317493658308603355594095245690892362
15,72208609.97952075331795613786981333689277,0.0336247542777671043389272023451187762879,0.3919588597909265595207160283592963719903
16,230370174.2606905869274357330766458478396,0.02681861797588620269003930727118716852006,0.3126207209177218177220021633124491522919
17,734959684.2253627162167896122307365127062,0.02139014204223021964539319995514256478163,0.2493417681622169556238585265680101737383
18,2344772882.037171437883837510080600107969,0.01706046810458978391365353600965242534744,0.1988713901233166356315206038693899380672
19,7480627830.806360905251897687615725860664,0.01360718275610751053289864783394176197831,0.158616946134151272157898062433597466691
20,23865762510.19076561021696509839474719161,0.01085289227839517229182664843548126614553,0.1265105834746938042496606326300993212162
21,76139948821.8398315291206114420835576055,0.008656110005841015905988531763477875957555,0.1009030127056613582166061447144401734914
22,242912490397.7790148500334415201012713622,0.006903988219101780674175011330489604863334,0.08047878441028192208224953626265504337728
23,774973964446.9761091983907372300146926415,0.005506521208410301988638650160770758405448,0.06418871514817754525914279920976542856521
24,2472432128076.993382791049450165706766648,0.004391921720662692763897085580981445728104,0.05119599137294479651476797936797260146179
25,7887904508262.454793495896513585489278347,0.003502933280447194347080421058933606066236,0.04083318269586916101731601481438967269756
26,25165114473682.17157787276356975322820302,0.002793888950601116891385841038049586532117,0.03256795628642443612637968612678582330923
27,80285326199141.23467427622075196605113386,0.002228365442145817219906304331166176441602,0.02597573117369943614883791519292335924909
28,256137662701415.5246864195503228267759081,0.001777312066279996979511992095543846450597,0.02071786771249006567646979681568028771994
29,817166789500393.9607024387052238096675747,0.001417558413535012965536003907889541827114,0.0165242718167192926859518051830143498541
30,2607041677587272.063452200528879584284435,0.001130624100240217182532083858358154946246,0.0131795203474636745000636700555126891771
31,8317355032052218.647622095558929376323219,0.0009017694395084813549805214734229306220377,0.0105117949229968027669986410508629544086
32,26535208594450473.90461528625896992246635,0.0007192382701365265634109483940870496990416,0.008384055685638518160648273380992903384108
33,84656395264789467.7983435403827116508311,0.0005736540478805145790882875006227798793659,0.006687001625774481707628303586410767123394
34,270082868718322438.7214675458298892663022,0.0004575381765867847915956918370479399488117,0.005333455838050657351863163669395825347459
35,861656768481116590.9241489085906482335718,0.0003649258360641136449724164566386911491828,0.004253887282873522833212826772969176217262
36,2748979934168451541.535660517628568762667,0.0002910595719477253341106247274637857591521,0.003392839008114275235664796011968522575915
37,8770186639143652468.242272928184114922177,0.0002321449074038962921410574201675115923224,0.002706079350369123607023614992098770188774
38,27979896371517340279.17644795705017517882,0.0001851554225581095864747052615181423414373,0.002158329774263057045608052146060343429501
39,89265443618574058847.52009466139549916921,0.0001476772886644711399953344555498641010819,0.001721452629921953315812704880418565340553
40,284787310096413516798.5315143702685442358,0.000117785270806449553913046151780338354923,0.001373005734527772273767606731041821438035
41,908568968060054302165.6447150473031130744,9.394382944333115125108988776342590047562e-05,0.001095089527460082116255106304523807479837
42,2898645903296194374666.358184835121613901,7.492824043322095242209024618032798224202e-05,0.0008734275779009784416482775253013696028942
43,9247672293536276845501.303910745804500886,5.976168150357541971406399470890140099593e-05,0.0006966332109917633083904596204305729869435
44,29503238995625541046082.67219044874747493,4.766505332949617711186267084541901477523e-05,0.0005556245794562184374585906330709600594758
45,94125427848627409884017.9980296552389482,3.801695755109882608874451116602406784715e-05,0.0004431581331822977824916704606515448937132
46,300292322785331495258667.5531490927264431,3.03217758186724524684149520394344125773e-05,0.0003534565213040472729923067743948972435147
47,958035264060950675964150.3817069989495225,2.418421010050698373472062351251933581955e-05,0.000281911812280711376492460791134461893847
48,3056460313973665105258956.961923232868497,1.928897640042874788733204571494401923494e-05,0.0002248487865216960851975779256602743693947
49,9751154264715725569405377.919372963656912,1.538460876042825270337035586996982263912e-05,0.0001793361420057757772495676839902621154027
50,31109518765733579380796932.44832695096351,1.227054156726454232223173831156342409453e-05,0.0001430359146119405711281296814209062955453
