r,rhoPower,packetCriticalUpper,singleCarrierGainUpper
0,1,11.65685424949238,0.25
1,0.7975855452903291,9.297338452951269,0.04984909658064557
2,0.6361427020560716,7.415422759745883,0.009939729719626119
3,0.5073782239018553,5.914434005390238,0.001981946187116622
4,0.4046775373791999,4.717267071272838,0.0003951929075968749
5,0.3227649543173367,3.76242402932126,7.880003767513103e-05
6,0.2574326620898011,3.000855021039635,1.571244275450446e-05
7,0.2053245701684351,2.393438588293119,3.133004305548631e-06
8,0.1637639092592937,1.908972021562683,6.247097368594884e-07
9,0.1306157268654498,1.522568490762054,1.245648640303133e-07
10,0.1041772157354724,1.214378619946326,2.483778375040828e-08
11,0.08309024141920504,0.968570833778808,4.952564324093165e-09
12,0.06627157551064174,0.7725180966117793,9.875234292543193e-10
13,0.05285725069090441,0.6161492673327531,1.969086032021955e-10
14,0.04215817911485262,0.4914317493658306,3.926286391434503e-11
15,0.03362475427776709,0.3919588597909264,7.828873181195719e-12
16,0.02681861797588619,0.3126207209177216,1.561049021308205e-12
17,0.02139014204223021,0.2493417681622168,3.112675337212598e-13
18,0.01706046810458978,0.1988713901233165,6.206562140356173e-14
19,0.0136071827561075,0.1586169461341512,1.237566062273573e-14
20,0.01085289227839517,0.1265105834746937,2.467662006528182e-15
21,0.008656110005841012,0.1009030127056613,4.920428867672519e-16
22,0.006903988219101776,0.08047878441028188,9.811157353712156e-17
23,0.005506521208410299,0.06418871514817751,1.956309321972433e-17
24,0.00439192172066269,0.05119599137294476,3.900810093304843e-18
25,0.003502933280447192,0.04083318269586914,7.778074363356407e-19
26,0.002793888950601115,0.03256795628642441,1.550919920601587e-19
27,0.002228365442145816,0.02597573117369941,3.092478276436627e-20
28,0.001777312066279996,0.02071786771249005,6.166289931025511e-21
29,0.001417558413535012,0.01652427181671928,1.229535929263812e-21
30,0.001130624100240216,0.01317952034746366,2.451650211489822e-22
31,0.0009017694395084806,0.01051179492299679,4.888501926980652e-23
32,0.000719238270136526,0.008384055685638511,9.74749618770922e-24
33,0.0005736540478805141,0.006687001625774475,1.943615515522365e-24
34,0.0004575381765867844,0.005333455838050652,3.875499101956625e-25
35,0.0003649258360641133,0.004253887282873518,7.727605161265638e-26
36,0.0002910595719477251,0.003392839008114272,1.540856544084104e-26
37,0.0002321449074038961,0.002706079350369121,3.07241226731873e-27
38,0.0001851554225581094,0.002158329774263055,6.126279033965265e-28
39,0.000147677288664471,0.001721452629921951,1.221557900976474e-28
40,0.0001177852708064494,0.001373005734527771,2.435742311385077e-29
41,9.394382944333105e-05,0.001095089527460081,4.856782149031984e-30
42,7.492824043322087e-05,0.0008734275779009775,9.684248096730027e-31
43,5.976168150357535e-05,0.0006966332109917625,1.931004074739313e-31
44,4.766505332949612e-05,0.0005556245794562177,3.850352344772005e-32
45,3.801695755109878e-05,0.0004431581331822972,7.677463436162192e-33
46,3.032177581867241e-05,0.0003534565213040468,1.530858465294496e-33
47,2.418421010050695e-05,0.000281911812280711,3.052476459510568e-34
48,1.928897640042872e-05,0.0002248487865216958,6.086527753611574e-35
49,1.538460876042823e-05,0.0001793361420057755,1.213631639322252e-35
50,1.227054156726453e-05,0.0001430359146119404,2.419937632076087e-36
